Name	Count
Turun akatemia	4593
Turku	 273
Helsingin yliopisto	 252
Upsala	 230
Uppsala	 163
Tartto	  70
Helsingfors universitet	  34
Suomen Keisarillinen Aleksanterin yliopisto	  27
Rostock	  21
Wittenberg	  16
Lund	  13
Universität Leipzig	  10
Jena	   9
Pärnu	   8
Greifswald	   7
Suomen keisarillinen Aleksanterin yliopisto	   6
[Helsingin yliopisto]	   4
Giessen	   4
Helsinki	   4
Kokkola	   4
Suomen yliopisto	   4
[Uppsala universität]	   3
1700	   3
Die Kaiserl. Alexander-Universität in Finnland	   3
Göttingen	   3
Leiden	   3
Marburg	   3
Uppsala universitet	   3
Viipuri	   3
Keisarillinen Suomen Aleksanterin yliopisto	   2
Kejserliga Aleksanders-Universitetet i Finland	   2
Kejserliga Alexanders-universitetet i Finland	   2
Kiel	   2
Leipzig	   2
Suomen Keisarillinen Aleksanterin-Yliopisto	   2
Universität Bern	   2
Universität Zürich	   2
[Suomen keisarillinen Aleksanterin-yliopisto]	   1
Basel Universität	   1
Bern	   1
Dorpat	   1
Friedrich-Wilhelms-Universität zu Berlin	   1
Göteborgs högskola	   1
Gymnasium of Strängnäs	   1
Helsingfors : Kejserliga Alexanders-Universitetet i Finland	   1
Helsingfors Universität	   1
Helsinki : Kaiserl. Alexanders-Universität in Finland	   1
Helsinki : Keisarillinen Aleksanterin yliopisto	   1
Helsinki : Suomen yliopisto [Helsingin yliopisto]	   1
HY	   1
Jena universitet	   1
Kaiserl. Alexander-Universität in Finland	   1
Kaiserl. Alexanders-Universität	   1
Kaiserl. Alexanders-Universität in Helsingfors	   1
Keisarillinen Aleksanterin-Yliopisto	   1
Kejserliga Alexanders-universitet	   1
Kejserliga Alexanders-Universitet	   1
kejserliga Alexanders-universitetet i Helsingfors	   1
Kejserliga Alexanders-Universitetet i Helsingfors	   1
Leipzig : Universität Leipzig	   1
Ludwigs-Universität	   1
Lund : Lunds universitet	   1
Lunds universitet	   1
Narva	   1
Porvoo	   1
Strasbourg	   1
Suomen Aleksanderin-Yliopisto	   1
Suomen Aleksanterin-Yliopisto	   1
Suomen Keisarillinen Aleksanteri-Yliopisto	   1
Suomen keisarillinen Aleksanterin - yliopisto	   1
Suomen Keisarillinen Aleksanterin yliopisto.	   1
Suomen keisarillinen Aleksanterin-yliopisto	   1
Suomen yliopisto [Helsingin yliopisto]	   1
Technischen Hochschule Hannover	   1
Teknillinen korkeakoulu	   1
Tekniska högskolan i Finland	   1
Tûbingen' : Tûbingenskìj universitet'	   1
Tukholma	   1
Turkun akatemia	   1
Turun akatemia,;Turun akatemia	   1
Universität Jena	   1
Universität Königsberg	   1
Universität Tübingen	   1
Université de Montpellier	   1
Université de Paris	   1
Université de Tubingen	   1
Universitetet i Helsingfors	   1
Upsala : Upsalan yliopisto	   1
Upsala universitet	   1
Wittenbergae : Academia Wittenbergensis	   1
