Name	Count
WSOY	2922
Otava	2168
[G. W. Londicer]	1823
Tekijä	1555
[J. C. Frenckell]	1207
Söderström	1188
typis Frenckellianis	1181
Edlund	 979
G. W. Edlund	 896
Karisto	 663
Suomalaisen Kirjallisuuden Seura	 532
Förf	 508
[C. A. Londicer]	 483
Raittiuden ystävät	 450
Yrjö Weilin	 436
Gummerus	 432
Weilin & Göös	 425
[Johan Winter]	 369
Kansanvalistusseura	 326
[Johan Larsson Wall]	 275
Kansanvalistus-seura	 271
Frenckell	 266
[Peter Hansson]	 250
Isak Julin	 249
Wilén	 244
Författare	 234
Senaten	 232
Helios	 229
Holm	 227
K. E. Holm	 225
Suomen lähetysseura	 224
Kirja	 215
excudebat Petrus Wald, Acad. typogr	 214
impressit direct. & typogr. reg. magn. duc. Finland. Jacob Merckell	 202
Schildt	 187
[J. C. Frenckells änka]	 185
[G. W. Londicers änka]	 181
Suomen luth. evank.-yhdistys	 175
Bonnier	 173
Sällskapet för Finlands geografi	 170
Finska Vetenskapssocieteten	 167
Hagelberg	 164
Clouberg	 161
W. Toivonen	 145
tryckt hos Johan Christopher Frenckell	 141
impressit Joh. Christoph. Frenckell	 137
[Tekijä]	 135
Universitet	 125
[Frenckell]	 123
Kongl. tryckeriet	 118
Svenska litteratursällskapet i Finland	 118
[Suomalaisen Kirjallisuuden Seura]	 117
Werner Söderström	 116
[Johan Wall]	 112
Kansa	 112
KS	 111
Otto Andersin	 110
Lutherska Evangeliföreningen	 109
typis Frenckelliorum	 108
exc. Jo. Wal	 105
in officina Frenckelliana	 105
G. W. Wilén	 103
Valistus	 103
Suomalainen Tiedeakatemia	 100
Teosofinen kirjakauppa	  99
Societatis pro fauna et flora Fennica	  95
Pellervo	  92
U. W. Telén & C:o	  92
Edlundska bokhandeln, distr	  91
Lilius & Hertzberg	  90
tryckt i Frenckellska boktryckeriet	  90
Kuopion uusi kirjapaino	  89
Sortavalan evank. seura	  87
Voen. Top. Depo	  87
Societas pro fauna et flora Fennica	  85
Suomalainen tiedeakatemia	  85
Suomentaja	  85
Kustannusoy. Kirja	  83
Edlundska Bokhandeln, distr	  81
prändätty Frenckellin kirjan-prändisä	  80
präntätty Kuningallisesa suomalaisesa präntisä	  79
Societas geographica Fenniae	  79
Beijer	  78
Karjalan kirjakauppa	  78
Suomen Historiallinen seura	  77
Toimittaja	  77
typis Johannis Christophori Frenckell	  75
Weilin ja Göös	  75
[J. Kämpe]	  74
tryckt af Joh. Kiämpe, Kongl. acad. boktr	  74
[J. Merckell]	  73
Telén	  73
Vihtori Kosonen	  72
Suomen merimieslähetysseura	  71
Suomalais-amerikkalainen kustannusyhtiö	  70
[Nya Pressen]	  69
[Johan Kämpe]	  68
Rauman kirjapaino-osakeyhtiö	  68
Suomalaisen Kirjallisuuden seura	  68
tryckt hos Joh. Christoph. Frenckell	  68
W. Hagelstam	  67
Rauman kirjapaino	  64
Työväen sanomalehti-o.y	  64
[Finska Litteratur-sällskapets tryckeri]	  63
Societas scientiarum Fennicae	  62
tryckt i Kongl. tryckeriet	  62
Yrjö Weilin & Kumpp	  61
P. A. Norstedt & Söner	  60
Satakunnan kirjakauppa	  59
impr. apud Jo. Wallium	  56
Suomen senaatti	  56
tryckt hos J. C. Frenckell	  56
Barck	  55
K. J. Gummerus	  55
Sampo	  55
Suomalaisen kirjallisuuden seura	  55
Suomalaisen Kirjallisuuden Seuran kirjapaino	  54
Suomen Lähetysseura	  54
[Jacob Merckell]	  52
Finska Missionssällskapet	  52
Holger Schildt	  52
impressit Johannes Christophorus Frenckell	  52
Suomen kirkon sisälähetysseura	  52
tryckt af Joh. Kiämpe Kongl. acad. boktr	  52
Työväen sanomalehti	  52
Lutherilainen Evankeliumi-yhtiö	  51
F. Vetenskapssocieteten	  50
Henkivakuutusyhtiö Suomi	  50
