Name	Count
[s.n.]	8963
excusa â Petro Hansonio Acad. typ.	 108
impressa â Petro Hansonio Acad. typ.	  48
impressa apud viduam Reg. Acad. typ. J. C. Frenckell	  43
excusa â Petro Hansonio Acad. typogr.	  30
excusa â Petro Hansonio, Acad. typog.	  26
excusa â Petro Hansonio Acad. typog.	  25
excusa â Petro Hansonio, Acad. typogr.	  21
excusa â Petro Hansonio	  20
impressa â Petro Hansonio, Acad. typog.	  20
excusa â Petro Hansonio A. t.	  17
impressa â Petro Hanson, Acad. typog.	  16
excusa â Petro Hansonio, Acad. typ.	  13
excusa â Petro Hansson, Acad. typog.	  12
impressa â Petro Hansonio Acad. typog.	  12
impressa â Petro Hansson, Acad. typog.	  11
excusa â Petro Hanson Acad. typogr.	   9
excusa â Petro Hansson, Acad. typogr.	   9
excus. apud viduam Hansonii	   8
impressa â Petro Wald, Acad. typogr.	   8
impressa apud viduam Reg. Acad. typogr. J. C. Frenckell	   8
impressa apud viduam Reg. Acad. typogr. Joh. Christoph. Frenckell	   8
[s. n.]	   7
Helios i distr	   6
Industriidkarenes i Finland Ömsesidiga Brandförsäkringsbolag	   6
excusa à Johanne L. Wallio, Reg. Academiae ibidem typographo	   5
excusa â Johanne L. Wallio, Regiae Univ. ibid. typogr.	   5
excusa apud Petrum Wald, Acad. typog.	   5
impressa â Petro Hansonio, A. t.	   5
excusa â Johanne Winter	   4
excusa à Johanne Winter, Reg. typogr.	   4
excusa apud Petrum Wald, Acad. typogr.	   4
impressa â Johanne Waldio, Acad. typogr.	   4
impressa â Petro Hansonio A. t.	   4
impressa â Petro Hansonio Acad. typogr.	   4
J. Gummerus i distr	   4
[impressa apud viduam Reg. Acad. typogr. J. C. Frenckell]	   3
excus. apud viduam Hansonii, Acad. typogr.	   3
excusa â Joh. L. Wallio, A. t.	   3
excusa â Johanne Wallio, A. t.	   3
excusa â Petro Hansonio Acad. t.	   3
excusa â Petro Hansson Acad. typ.	   3
excusa apud viduam Hansonii, Acad. typogr.	   3
impressa â Joh. L. Wallio, A. t.	   3
impressa à Johanne Wald, Acad. typogr.	   3
impressa â Johanne Winter	   3
impressa â Petro Hansonio, Acad. typ.	   3
impressa apud Imp. Acad. typ. J. C. Frenckell	   3
impressa apud Reg. Acad. typ. J. C. Frenckell	   3
impressa apud viduam Reg. Acad. typogr. Joh. C. Frenckell	   3
Industriidkarenes i Finland Ömsesidiga Brandstodsförening	   3
[impress. apud viduam Reg. Acad. typ. J. C. Frenckell]	   2
and are to be sold by George West and Amos Curtein	   2
excus. â Joh. Wallio, Reg. Acad. ibid. typ.	   2
excus. apud viduam Hans. A. typogr.	   2
excusa â Joh. Laur. Wallio, R. U. t.	   2
excusa à Joh. Waldio, Reg. Univ. Aboëns. typogr.	   2
excusa â Johanne Waldio, Acad. typogr.	   2
excusa à Johanne Waldio, Reg. Univ. Aboëns. typogr.	   2
excusa à Johanne Winter	   2
excusa â Johanne Winter, reg. typogr.	   2
excusa â Petro Hansonio, A. t.	   2
excusa apud Johannem L. Wallium, Reg. Univ. ibid. typogr.	   2
excusa apud Petr. Hanson. Acad. typogr.	   2
excusa apud Petrum Hansonium, Acad. typogr.	   2
excusa apud viduam Hans. A. t.	   2
excusa apud viduam Hanssonii	   2
excusus â Johanne Waldio, Reg. Universitatis ibidem typographo	   2
expressa à Johanne Winter, s:ae r:ae m:tis in Finlandiâ typogr.	   2
impress: apud Johannem Laurentii Wallium, Regiae Univ. ibidem typogr.	   2
impress. apud Johannem L. Wallium, Regiae Univ. ibidem typogr.	   2
impress. apud Johannem Winter, reg. typograph.	   2
impressa â Petro Hansonio, Acad. typogr.	   2
impressa â Petro Hansson Acad. typogr.	   2
impressa apud Johannem L. Wallium, A. t.	   2
impressa apud Petrum Wald, Acad. typ.	   2
impressa apud viduam Reg. Acad. typ. J. C. Frenckell.	   2
recusa â Johanne Winter, typ. reg.	   2
Sold by William Berry at the Sign of the Globe between Charing-Cross and White-Hall	   2
Uusi aika	   2
[chez la veuve Olivier de Varennes, au Palais dans la Salle royale, au Vase d'or]	   1
[E. Lagus i distr.]	   1
[excus. apud viduam Hans. Acad. typogr.]	   1
[excusa â Petro Hansonio, Acad. typog.	   1
[Föreningsbankens i Finland]	   1
[Frivilliga brandkårens i Borgå]	   1
[impress. apud viduam R. Acad. typ. J. C. Frenckell]	   1
[Industriidkarenes i Finland Ömsesidiga brandstodsförening]	   1
[Industriskolans i Helsingfors]	   1
[Jordbrukarenes i Finland Central-Andelslag]	   1
[Kock- och Stuertskolans i Åbo]	   1
[Konst- och Konstindustriföreningens i Björneborg]	   1
