Name	Count
Åbo tidningar	2
Betania	2
Etelä-Suomen sanomat	2
Haparandabladet	2
Mikkelin sanomat	2
Missionsstandaret	2
Suomen tilastollinen vuosikirja	2
Suomen vaatturityönantajain yhdistyksen yleisessä kokouksessa pidetty pöytäkirja	2
Toivon tähti	2
... Suomen Nuorison liiton kokouksen pöytäkirja	1
... Suomen Nuorison liiton kokouksen pöytäkirja;Pöytäkirja ... yleisestä Nuorison liiton kokouksesta	1
... yleisen Suomen puuseppien ammattiyhdistysten ja osastojen edustajain kokouksen pöytäkirja	1
... yleisen Suomen teollisuudenharjoittajain ... pidettävän kokouksen keskustelukysymykset alustuksineen	1
Åbo allmänna tidning	1
Åbo nya tidningar	1
Åbo stads adresskalender	1
Åbo tidning	1
Åbo underrättelser	1
Adress- och yrkeskalender för Helsingfors jämte förorter	1
Adresskalender :  handels-, yrkes- och kommunalkalender för Wasa och Jakobstad	1
Aftonbladet	1
Aftonposten	1
Aikataulut : rautateiden ja höyrylaivojen kulkuvuorot	1
Alkuopetus	1
Allmänna finska industriidkaremötets protokoll, och referaten till diskussionsfrågorna	1
Amerikan sanomat ja Suometar	1
Amerikan suomalainen	1
Amerikan uutiset	1
Annotations-kalender	1
Armonsanoma	1
Årsberättelse / Sjukhemmet i Borgå	1
Årsberättelse afgifven af bestyrelsen för Finska sjömansmissionssällskapet	1
Ayrshireföreningens i Finland r.f. årsbok	1
Barnens söndagsskoleblad	1
Berättelse / Reallyceum i Åbo	1
Berättelse avgiven av Ministeriet för kommunikationsväsendet och allmänna arbetena över kommunikationsexpeditionens i Finland senat verksamhet	1
Bidrag till kännedom av Finlands natur och folk	1
Biograafilehti;Bio	1
Biograftidning;Bio	1
Björneborg	1
Borgå folkhögskola jämte lantmanna och husmoderskola	1
Bulletin of Suomi College and Theological Seminary catalog : announcements	1
Dagens nyheter	1
Dagens tidning;Dagens press	1
Det inre kolonisationsarbetet i Finland	1
Ecclesiastikt litteraturblad	1
Eduskunnan kalenteri	1
Ekenäs notisblad	1
Ekenäs seminarium	1
Eläinsuojelus	1
Eläinsuojeluskalenteri	1
Esityksiä Suomen vaatetustyöntekijäin liiton ... edustajakokoukselle	1
Esityslistat [ja päätökset] / Kuopion kaupunginvaltuusto	1
Etelä-Pohjanmaa	1
Etelä-Saimaa	1
Etelä-Savo	1
Evangeliskt weckoblad	1
Excelsior;Excelsior	1
Finlands djurskydd	1
Finlands jakttidskrift	1
Finlands juridiska notisblad	1
Finlands ridderskaps och adels kalender	1
Finska jordbrukaren	1
Finska kemistsamfundets meddelanden	1
Finska konstföreningens matrikel	1
Finska teosofiska samfundets ... årsmöte	1
Folkförsäkraren;Kansanvakuuttaja	1
For kirke og kultur	1
För landtmannahem	1
Försäkringsårsbok för Finland	1
Fram	1
Guvernörens öfver Tavastehus län underdåniga berättelse om länets tillstånd och förvaltning	1
Hälsning till sydvästra Finlands svenska allmoge	1
Hämetär	1
Haminan sanomat	1
Hangö	1
Hangö-posten	1
Hangö-pressen	1
Hankasalmen maamiesseuraliiton toimintakertomus	1
Helsingfors	1
Helsingfors aftonblad	1
Helsingfors handelsförening	1
Helsingfors stads Elektricitetsverks årsberättelse	1
Helsingin sanomat	1
Hemvännen;Evangeliskt veckoblad	1
Herättäjän talvikynttilät	1
Ilmarinen	1
Ilmoitus-lehti	1
Iltalehti	1
Index' adressbok och yrkeskalender till Helsingfors	1
Industrialisti	1
Industrialistin joulu	1
Industriidkarnes i Finland ömsesidiga brandstodsförening	1
Itä-Hämeen maanviljelysseuran vuosikirja	1
Itä-Savo	1
Itä-Suomen sanomat	1
Izvestija Gelśingforsskago Sověta Deputatov Armii, Flota i Rabočih	1
Jaakkima	1
Jokamiehen viikkolehti	1
Kajaanin kaiku	1
Kajaanin maanviljelysseuran vuosikirja	1
Käkisalmen kaupungin talousarvio	1
Käkisalmen sanomat	1
Kalender för fiskare	1
Kalenteri Amerikassa asuville suomalaisille...vuodelle	1
Kamaritoimituskunnan tiedonantoja	1
Kansa	1
Kansan henki	1
Kansan tahto	1
Kansanvalistus-seuran luettelo kansakirjastoille sopivasta seuran välityksellä saatavasta suomenkielisestä kirjallisuudesta	1
Kantakirja suomenrotuisista hevosista. Oriit	1
Karjalainen	1
Karjalan kävijä	1
Käsitöitä ja pukuja	1
Käsityö ja teollisuus	1
Katalog öfver Finska kennelklubbens ... allmänna hundutställning i Helsingfors	1
Katalog öfver Konstföreningens i Åbo exposition i stadshusets festsal	1
Keisarillisen Suomen senaatin kauppa- ja teollisuustoimituskunnan kertomus	1
Keisarillisen Suomen senaatin maanviljelystoimituskunnan kertomus	1
Keisarillisen Suomen senaatin sota-asiain toimituskunnan kertomus	1
Keisarillisen Suomen talousseuran toimituksia	1
Keisarillisen Suomen talousseuran vuosikertomus	1
Kertomus Itä-Hämeen maalaisseuran toiminnasta	1
Kertomus itä-Hämeen maanviljelysseuran toiminnasta	1
Kertomus Kuopion läänin maanviljelysseuran toiminnasta	1
Kertomus Lappeen maamiesseuran toiminnasta	1
Kertomus liikevuodesta / Rauman rautatie	1
Kertomus Maarian kunnan kunnallishallinnosta	1
Kertomus Mikkelin hevosjalostusliiton toiminnasta	1
Kertomus Pohjois-Savon hevossiitosyhdistysten liiton toiminnasta	1
Kertomus Vaasan läänin maanviljelysseuran toiminnasta	1
Kertomus Viipurin kaupasta ja merenkulusta	1
Kertomus Viipurin kaupungin hallinnosta	1
Kertomus Viipurin kaupungin merenkulusta ja kaupasta	1
Keski-Savo	1
Keski-Suomen maanviljelysseuran vuosikirja	1
Keski-Suomi	1
Keski-Suomi;Keskisuomalainen	1
Kevät-albumi	1
Kevätkukkia	1
Kirja-opas	1
Kirjatyö	1
Kirkollinen sisälähetys	1
Kiskon kunnallislautakunnan vuosikertomus kunnallisesta hallinnosta	1
Kodin ja koulun ystävä	1
Koitar	1
Kommunalnämndens berättelse öfver kommunalförvaltningen i Sibbo	1
Koneteollisuus	1
Konstföreningens i Åbo utställning	1
Konstföreningens i Tammerfors konst- och konstindustriutställning	1
Koti	1
Kotimaisten ja ulkomaalaisten sanomalehtien ja aikakauslehtien luettelo;Katalog över inhemska och utländska tidningar och tidskrifter	1
Kotitaide	1
Kristillinen työmies	1
Kristillisen ylioppilaskokouksen ohjelma	1
Kuljetustyöläinen	1
Kunnalliset sanomat	1
Kuopion osote- ja ammattikalenteri	1
Kuopion osote-kalenteri	1
Kuopion sanomat	1
Kylväjä	1
Laatokka	1
Lahden sanomat	1
Lahti	1
Länsi-Savo	1
Länsi-Suomen karjanjalostusyhdistyksen tiedonantoja	1
Länsi-Suomen maatiaiskarjan kantakirja	1
Läntisen Viipurin läänin maanviljelysseuran ... vuosikertomus	1
Lasten lehti	1
Lördagens julblad	1
Luettelo / Helsingin yliopisto	1
Luettelo / Minerva	1
Luettelo / Suomen Aleksanterin yliopisto	1
Luettelo / Suomen eduskunnan kirjasto	1
Luettelo Uudenmaan hevosjalostajain liiton kantakirjaan hyväksytyistä tammoista ... sekä luettelo ennen merkityistä tammoista	1
Maakauppias	1
Maamme viikkosanoma	1
Maanvuokraajain ... pidetyn edustajakokouksen pöytäkirja	1
Maaseutu	1
Maaton	1
Maitotalous;Suomen meijerilehti : maitotalous	1
Matkasuuntia Suomessa	1
Meddelande [från] Nylands svenska ungdomsförbund	1
Meddelande till Fennias försäkringstagare	1
Meddelanden af Geografiska föreningen i Finland	1
Meddelanden af Societas pro fauna et flora Fennica	1
Menniskovännen	1
Meteorologisches Jahrbuch für Finnland. Schnee- und Eisverhältnisse in Finnland im Winter	1
Metodist-episkopal-kyrkans i Finland årsbok	1
Metsätaloudellinen aikakauskirja (laajempi painos);Metsätaloudellinen aikakauskirja (suppea painos)	1
Mikkeli	1
Mikkelin läänin maanviljelysseuran toiminta	1
Mikkelin läänin maanviljelysseuran vuosikirja	1
Mikkelin wiikko-sanomia	1
Missionären;Evangeliskt veckoblad	1
Missionen : meddelanden från Fria missionen i Finland	1
Missionsbladet : tidning för hemlands- och hednamissionen	1
Morgonbladet	1
Nuorison eläinten ystävä	1
Nya Argus	1
Nya pressen	1
Nya pressen;Dagens press	1
Nya svenska flickskolan	1
Nylands Fiskareförbunds årsbok	1
Nylands och Tavastehus läns landtbrukssällskaps årsberättelse	1
Nylands och Tavastehus läns lantbrukssällskaps årsbok	1
Nyländska avdelningens supplement till studentkatalogen	1
Nyländska jaktklubben	1
Ohjelma / Suomen Aleksanderin yliopisto	1
Ohjelma / Suomen Aleksanderin yliopisto, keisarillinen	1
Ohjelma / Suomen teknillinen korkeakoulu	1
Österbottens nyheter	1
Österbottningen	1
Osuuskauppalehti	1
Otava	1
Oulun kaupungin kunnalliskertomus	1
Oulun l. eteläisen vaalipiirin sosialidemokraattisen piirikokouksen pöytäkirja	1
Oulun läänin talousseuran vuosikirja	1
Oulun sanomat	1
Översikt av Finska vetenskaps-societetens förhandlingar. B. Humanistiska vetenskaper;Översikt av Finska vetenskaps-societetens förhandlingar. A. Matematik och naturvetenskaper;Översikt av Finska vetenskaps-societetens förhandlingar. C. Redogörelser och förhandlingar	1
Pääkaupungin sanomat	1
Päivän tiedot	1
Pedersöre	1
Pellonpoika	1
Perä-Pohjolan maanviljelysseuran vuosikirja	1
Pieni eläinystävä	1
Pieniä muruja pienokaisillemme	1
Pohjanlahti	1
Pohjois-Karjalan hevosjalostusliiton toiminnasta	1
Pohjois-Karjalan maanviljelysseuran vuosikirja	1
Porin kaupungin talousarvio	1
Pöytäkirja / Suomen ammattijärjestön ... yleinen kokous	1
Pöytäkirja kirjoitettu ... Suomen nahanjalostustyöntekiäin liitto-edustajakokouksessa	1
Pöytäkirja Kuopion l. it. vaalip. sos.-dem. piirikokouksesta	1
Pöytäkirja Kuopion läänin läntisen vaalipiirin sosialidemokraattisen piirijärjestö r.y:n vuosikokouksesta	1
Pöytäkirja S. kaakeli- ja uunintekijäin liiton ... edustajakokouksesta	1
Pöytäkirja Suomen liikeapulaisyhdistysten ... yleisestä kokouksesta	1
Pöytäkirja Suomen maalarintyöntekijäin liiton ... edustajakokouksesta	1
Pöytäkirja Suomen palvelijain ... edustajakokouksesta	1
Pöytäkirja Suomen puutyöntekijäin liitto ... edustajakokouksesta	1
Pöytäkirja Suomen tehdas- ja sekatyöväen liiton ... edustajakokouksesta	1
Pöytäkirja tehty Vaasan läänin pohjoisen vaalipiirin sos.-dem. piirikokouksessa ... sekä otteita sos.-dem. piirikokouksen pöytäkirjasta	1
Pöytäkirja Uudenmaan läänin vaalipiirin sos.-dem. piirikokouksesta	1
Pöytäkirja Vaasan läänin eteläisen vaalipiirin sosialidemokratisen piirijärjestön vuosikokouksesta	1
Pöytäkirja Vaasan läänin pohjoisen vaalipiirin sos.-dem. piirijärjestön piirikokouksesta	1
Pöytäkirja Viipurin läänin läntisen vaalipiirin sosialidemokratisesta vaalipiirikokouksesta	1
Pöytäkirja, pidetty suomen leipurin- ja konditorinammatin hajoittajain ... yleisessä kokouksessa	1
Pöytäkirjat Vaasan läänin itäisen vaalipiirin sosalidemokraattisen piirin ry:n edustajakokouksesta	1
Priboj	1
Protokoll fördt vid Finska metallindustrins arbetsgifvareförbunds årsmöte	1
Protokoll fördt vid Finska metallindustrins arbetsgifvareförbunds sammanträde	1
Puuseppien ammattiyhdistysten ... yleisen kokouksen pöytäkirja	1
Raahe	1
Raittiuslehti;Raittiuslehti - Siirtolainen	1
Raivaaja	1
Rauhan valta	1
Rautatieläislehti	1
Redogörelse / Konstflitsföreningen i Finland	1
Redogörelse för Helsingfors universitet under läsåret ..	1
Redogörelse för Polytekniska institutets i Finland verksamhet	1
Ristin voitto	1
Saimaa	1
Sanan saattaja Wiipurista	1
Sanantuoja	1
Sankarin maine	1
Satakunnan maamies	1
Satakunnan sanomat;Satakunnan kansa	1
Satakunta;Satakunnan kansa	1
Savo	1
Savon työmies	1
Savotar	1
Siionin ystävä	1
Siipikarjan- ja mehiläishoitolehti	1
Siirtolainen	1
Siirtolainen;Raittiuslehti - Siirtolainen	1
Social tidskrift	1
Sortavalan sanomat	1
Sosiaalinen aikakauskirja	1
Sosialisti	1
Sotahuuto	1
Statistik öfver importen o. exporten till och ifrån Åbo stad och tulldistrikt	1
Sunnuntaitervehdys	1
Suomalainen virallinen lehti	1
Suomalainen;Keskisuomalainen	1
Suomen ... yleisen teollisuusharjoittajain kokouksen pöytäkirja	1
Suomen asetuskokoelma	1
Suomen eläinlääkärilehti	1
Suomen kirjakauppa	1
Suomen kirjakauppalehti	1
Suomen Kulta- ja hopeatyöntekijäin liiton ... edustajakokouksen pöytäkirja	1
Suomen lääkärit	1
Suomen lähetyssanomia	1
Suomen leipurityöntekijäin liiton ... edustajakokouksen pöytäkirja	1
Suomen luottolehti	1
Suomen maanviljelijä	1
Suomen maanviljelys- ja talousseurain ... edustajakokouksen ohjelma	1
Suomen meijerilehti;Suomen meijerilehti : maitotalous	1
Suomen metsänhoitoyhdistyksen julkaisuja	1
Suomen muinaismuistoyhdistyksen aikakauskirja	1
Suomen museo	1
Suomen muurarien, rapparien ja uunintekijäin liiton ... edustajakokouksen pöytäkirja	1
Suomen ompelijattarien ... edustajakokouksen pöytäkirja	1
Suomen osuuskauppojen ... edustajakokouksen ohjelma ja keskustelukysymykset	1
