Name	Count
Bergsbruk	27
Lantbruk	27
Historia	21
Ekonomiska förhållanden	18
Geologi	14
Predikningar	14
Sockenmagasin	13
Jordbruk	12
Spannmål	12
Lador	11
Nationalekonomi	11
Botanik	10
Geografi	10
Kemi	8
Skogsbruk	7
Ceremonier	6
Doktorsavhandlingar	6
Juridik	6
Metallurgi	6
Skatter	6
Doktorsavhandlingar. Sverige	5
Floror	5
Jordbrukslära	5
Mineralogi	5
Studenter	5
Trädgårdsskötsel	5
Åkerbruksväxter	4
Brandförsvar	4
Brandväsen	4
Fysik	4
Hemman	4
Konungaförsäkran	4
Lantbruksbyggnader	4
Naturvetenskap	4
Optik	4
Präster	4
Retorik	4
Botany	3
Byggnader	3
Byggnadsregler	3
Farsot	3
Homiletik	3
Hydrologi	3
Järn	3
Kröningar	3
Lantbruksekonomi	3
Lantbruksredskap	3
Pest	3
Riksdagen 1769-1770	3
Rusthållet	3
Stora nordiska kriget 1700-1721	3
Tal (retorik)	3
Uppbyggelselitteratur	3
Zoologi	3
Akademier	2
Almanackor	2
Astronomi	2
Befolkningsfrågan	2
Bibliografi	2
Biografi	2
Bönder	2
Bönedag	2
Böner	2
Brandordning	2
Brännvin	2
Cimbrer	2
Drätselkammare	2
Epidemier	2
Etnobotanik	2
Fiske	2
Fornkyrkan	2
Förvaltning	2
Gästgiveri	2
Gravdikter	2
Hästar	2
Heraldik	2
Hunner	2
Hushåll	2
Insekter	2
Jordförbättring	2
Jordmagnetism	2
Kortspel	2
Krig	2
Kristendomsundervisning	2
Kröning	2
Kronologi	2
Kungaförsäkringar	2
Kvinnor	2
Kyrkor	2
Liturgik	2
Marklära	2
Medicinalväxter	2
Numismatik	2
Officerare	2
Oorganisk kemi	2
Ordensväsen	2
Pensioner	2
Potatis	2
Religion	2
Riksdagsval	2
S:t Jacobs församling	2
Salpeter	2
Sjörätt	2
Stadsplanering	2
Stipendier	2
Tideräkning	2
Universitet	2
Valdenser	2
Växter	2
Växtnamn	2
Växtodling	2
Åkerbruk	1
Allmän ordning och säkerhet	1
Älvdalsmål	1
Ämbetsmän	1
Angiveri	1
Änkor	1
Apologetik	1
Apostlarna	1
Apostles	1
Arabiska språket	1
Arbetare	1
Arbete	1
Arkitektur	1
Astronomiska ur	1
Atmosfären	1
Avlat	1
Barometrar	1
Begravning	1
Begravningsplatser	1
Benådning	1
Bergshantering	1
Bergslagen	1
Bergsmän	1
Besvärsmål	1
Betraktelser	1
Bibliography	1
Bibliotek	1
Biblioteksadministration	1
Biologi	1
Birka	1
Bjarmaland	1
Björnjakt	1
Boktryckarkonst	1
Boktryckerihistoria	1
Böndagar	1
Böndagsplakat	1
Boställen	1
Buskar	1
Byalag	1
Byggnadsordning	1
Carboxylic acids	1
Celibat	1
Characters and characteristics.	1
Christian education	1
Church buildings	1
Citatsamlingar	1
Coins, Cufic.	1
Composition (Music).	1
Crickets	1
Dialekter	1
Doktorspromotioner	1
Domkyrkor	1
Donationer (ekonomi)	1
Dykning	1
Ecumenical movement	1
Education, Elementary	1
Eko	1
Ekumenik	1
Engelska språket	1
Ester (folk)	1
Evangelieböcker	1
Exegetik	1
Färgväxter	1
Fast egendom	1
Fastigheter	1
Fattighus	1
Fattigvård	1
Finansväsen	1
Finnmark	1
Finsnickeri	1
Fiskar	1
Folktro	1
Föräldrar och barn	1
Fornnordisk religion	1
Freden i Frederiksborg (Danmark) 1720	1
Freden i Stockholm (Danmark) 1720	1
Freden i Stockholm (Preussen) 1720	1
Freds- och förbundsslut	1
Fredsfördrag	1
Funeral rites and ceremonies	1
Fysiologisk optik	1
Gästgiverier	1
Gästning	1
Generalbas	1
Gödselmedel	1
Gödsling	1
Goter	1
Gothic language	1
Gothic language.	1
Goths	1
Greek poetry	1
Greker	1
Grekisk poesi	1
Grundskolan	1
Gruvbrytning	1
Gudsdomar	1
Gudstjänstordningar	1
Guld	1
Hallrätter	1
Hamnväsen	1
Handaslöjder	1
Handel	1
Handelssjöfart	1
Helgon	1
Heresier	1
Heresy	1
Historiefilosofi	1
Historisk kronologi	1
Hopprätvingar	1
Husdjur	1
Hushållningssällskap	1
Hydroterapi	1
Hygien	1
Indelningsverket	1
Inhägnader	1
Initiationsriter	1
Inkvartering	1
Inkvartering (militärväsen)	1
Insects	1
Italienska språket	1
Järnmalm	1
Jesuiter	1
Jordabalken	1
Jordartslära	1
Jordbruksfastigheter	1
Jordens bearbetning	1
Judar i musiken	1
Julianska kalendern	1
Karboxylsyror	1
Kartläsning	1
Kartor	1
Kartritning	1
Kläder	1
Klosterliv	1
Konstantinska donationen	1
Koppar	1
Krapp	1
Kreditväsen	1
Kristna heresier	1
Kufiska mynt	1
Kungamakten	1
Kungliga bröllop	1
Kungligt födelsedagsfirande	1
Kvarnar	1
Kyrkan och samerna	1
Kyrkliga högtider	1
Kyrkliga jubiléer	1
Kyrkofäder	1
Kyrkogårdar	1
Kyrkohistoria	1
Kyrkorätt	1
Lanbruk	1
Lantbrukskemi	1
Lantbruksmaskiner	1
Lanthushållning	1
Lärjungarna	1
Latin poetry	1
Latinsk poesi	1
Letter-writing, German.	1
Likpredikan	1
Likpredikningr	1
Liljeväxter	1
Linodling	1
Literature - History and criticism	1
Litteraturkritik	1
Livsmedel	1
Lökväxter	1
Lönebesparing	1
Lufttryck	1
Mälaren	1
Malm	1
Manufakturer	1
Manuscripts	1
Mått	1
Metafysik	1
Metallurgy	1
Meteorologiska instrument	1
Migration	1
Militära boställen	1
Mineraler	1
Mineralogy	1
Minerals	1
Mode	1
Mynt	1
Nationella dräkten	1
Natural history	1
Nordkalotten	1
Nordmän	1
Norrsken	1
Northmen - religion	1
Nyodling	1
Omvändelse	1
Organic acids	1
Organiska syror	1
Orkidéer	1
Orthoptera	1
Ovanför titeln: I Jesu namn!	1
Överflödsförordningar	1
Överklagande	1
Parlörer	1
Påvestolen	1
Penningväsende	1
Pensionskassor	1
Pietism	1
Poesi	1
Polsk-svenska kriget 1599-1629	1
Porträttkonst	1
Praktisk astronomi	1
Praktisk teologi	1
Prästeståndet	1
Prästutbildning	1
Prästval	1
Prydnadsväxtodling	1
Psalmer	1
Rang	1
Rangordning	1
Ränta	1
Räntepolitik	1
Rättsfall	1
Reformed church	1
Reformerta samfund	1
Regnbågen	1
Reidgoter	1
Religionsförföljelse	1
Religionspolitik	1
Ridhästar	1
Ridning	1
Riksdagen 1653	1
Riksdagen 1654	1
Riksdagen 1719	1
Riksdagen 1769	1
Riksdagen 1810	1
Roman law.	1
Runes.	1
Runinskrifter	1
Runstenar	1
Rusthåld	1
Rysk-svenska kriget 1741-1743	1
Safflor	1
Samer	1
Seder och bruk	1
Sigill	1
Silver	1
Sjörövare	1
Skeppsbyggeri	1
Skiften	1
Skjutsväsen	1
Skönlitteratur	1
