Name	Count
etsintäkuulutukset	178
hautajaiset	128
Turku	107
yliopistot	100
häät	94
virret	69
historia	67
ruotuarmeijat	67
arkkiveisut	64
juhlamenot	62
eksegetiikka	56
moraali	55
rikokset	49
oikeus	33
viinanpoltto	31
kuninkaalliset	29
talous	29
katekismukset	27
filosofia	24
kokoukset	23
velvollisuudet	23
katselmus	22
ratsutilat	22
hartauskirjat	21
homiletiikka	21
opetus	21
kirkkohistoria	20
rukouspäivät	19
vilja	19
myynti	17
rekrytointi	17
fysiikka	16
vaatteet	16
varusteet	16
veroparselit	16
eläintaudit	15
aapiset	14
heprean kieli	14
huutokauppa	14
kruununpolttimot	14
viinat	14
viljely	14
dogmatiikka	13
maanviljely	13
metafysiikka	13
tähtitiede	13
valmistus	13
hengelliset laulut	12
hyötykasvit	12
maatalous	12
Suomenlinna	12
tartuntataudit	12
varamiehet	12
verotus	12
kirjallisuus	11
promootiot	11
rangaistukset	11
rykmentit	11
sanomalehdet	10
kasvatus	9
matematiikka	9
rajoitukset	9
tavat	9
verovilja	9
kasvinviljely	8
kirjastot	8
kivilajit	8
oikeudet	8
riita-asiat	8
saarnat	8
salpietari	8
tienpito	8
yhteiskunta	8
arpajaiset	7
ehkäisy	7
eläintiede	7
heinä	7
kemia	7
maanmittaus	7
psykologia	7
ruotusotilaat	7
tilikirjat	7
valinta	7
valtiopäivämiehet	7
katovuodet	6
kustannukset	6
kyyditys	6
lääkekasvit	6
oikeudenkäynti	6
oppihistoria	6
palkat	6
sairaalat	6
toivotukset	6
tuomiot	6
valitukset	6
alioikeudet	5
kasvitiede	5
kuolema	5
maksut	5
markkinat	5
meteorologia	5
ostot	5
paikallishallinto	5
puutarhaviljely	5
rakennukset	5
ruodut	5
salapoltto	5
tuomarit	5
velkasuhteet	5
vuokraus	5
asiakirjat	4
eläkeläiset	4
geodesia	4
hallitusmuodot	4
hartauspuheet	4
hevonen	4
hovioikeudet	4
järjestyshäiriöt	4
kasvisto	4
kirkko	4
kirkkorakennukset	4
konkurssi	4
kruununmakasiinit	4
laitteet	4
maantiede	4
mineralogia	4
rahalaitokset	4
Rauma	4
rehut	4
retoriikka	4
suomen kieli	4
työkomennukset	4
uskonnot	4
valat	4
valtiopäivät	4
virkamiehet	4
alaikäiset	3
diplomatia	3
eläkkeet	3
hautauspuheet	3
ilmasto	3
isojako	3
joulu	3
julkiset rakennukset	3
kalastus	3
kansainvälinen perintöoikeus	3
käsityöläiset	3
korjaus	3
lääketiede	3
lainkäyttö	3
luettelot	3
maastamuutto	3
nautakarja	3
