Name	Count
dogmatiikka	189
arkkiveisut	176
virret	166
pastoraalityöt	156
yliopistot	144
Turku	122
etsintäkuulutukset	118
kirkkohistoria	105
juhlamenot	89
historia	88
eksegetiikka	62
kuninkaalliset	49
hartauskirjat	47
moraali	47
kirjallisuus	46
ruotuarmeijat	44
fysiikka	43
katekismukset	41
kemia	38
hautajaiset	31
opetus	30
talous	28
järjestöt	27
matematiikka	27
lääketiede	26
oikeus	26
rukouspäivät	23
kasvitiede	22
sanomalehdet	22
kasvatus	20
filosofia	18
retoriikka	18
viinanpoltto	18
latinan kieli	16
sodat	16
heprean kieli	15
homiletiikka	15
itämaiset kielet	15
metafysiikka	15
myynti	15
toimintakertomukset	15
aapiset	14
antiikki	14
eläintiede	14
kirkko	14
maanmittaus	14
rikokset	14
tähtitiede	14
poetiikka	13
rekrytointi	13
rukoukset	13
maatalous	12
oikeudet	12
riita-asiat	12
vaatteet	12
estetiikka	11
isojako	11
jäsenluettelot	11
kasvisto	11
kivilajit	11
saarnat	11
verotus	11
elinkeinot	10
kirjastot	10
opiskelu	10
ostot	10
promootiot	10
Suomenlinna	10
vuokraus	10
hovioikeudet	9
suomen kieli	9
vilja	9
geodesia	8
kuolema	8
lapset	8
oppihistoria	8
psykologia	8
puutarhat	8
varusteet	8
yhteiskunta	8
hengelliset laulut	7
hinnat	7
katovuodet	7
koulut	7
kruununpolttimot	7
palkkiot	7
rajoitukset	7
tilikirjat	7
velvollisuudet	7
hautauspuheet	6
korvaukset	6
kreikan kieli	6
kruununmakasiinit	6
kyyditys	6
maanviljely	6
papisto	6
raha	6
rangaistukset	6
ratsutilat	6
saaristolaivasto	6
toivotukset	6
tuomiot	6
viinat	6
geofysiikka	5
häät	5
huvit	5
katselmus	5
Kitee	5
luonnonvarat	5
markkinat	5
miehistö	5
politiikka	5
Porvoon valtiopäivät	5
ruumissaarnat	5
suomalaiset	5
tavat	5
tienpito	5
tuomioistuimet	5
valtiopäivät	5
asevoimat	4
harjoitukset	4
heinä	4
karjanhoito	4
käsitteet	4
käytännöllinen teologia	4
kirkkokuri	4
luominen	4
luonnonhistoria	4
maanpetos	4
Maaria	4
menetelmät	4
ohjesäännöt	4
omistusoikeus	4
palkat	4
paloturvallisuus	4
Pori	4
raamatunhistoria	4
rukous	4
sotaoikeus	4
taistelut	4
tietoteoria	4
upseerit	4
vanha aika	4
varamiehet	4
velkasuhteet	4
viljalainat	4
virkamiehet	4
elintarvikkeet	3
hallinto	3
Hämeenlinna	3
hartauspuheet	3
