Name	Count
etsintäkuulutukset	775
rikokset	138
salpietari	80
ruotuarmeijat	74
valmistus	72
arkkiveisut	68
virret	58
Vaasa	54
viinanpoltto	46
vilja	44
oikeudet	40
hautajaiset	34
homiletiikka	33
kruununtilat	33
vuokraus	33
myynti	32
hartauskirjat	31
palkat	31
Mustasaari	28
ruotusotilaat	28
lunastus	26
ostot	26
Suomenlinna	26
katovuodet	24
löytötavarat	23
perintötilat	23
rangaistukset	23
viljalainat	23
huutokauppa	22
Uusikaarlepyy	21
rajoitukset	20
saaristolaivasto	20
häät	19
korvaukset	19
rekrytointi	19
Lapua	18
värväys	18
kuninkaalliset	17
kyyditys	17
maanmittaus	17
tienpito	17
Kokkola	16
kruununmakasiinit	16
paikallishallinto	16
hinnat	15
kirjapainot	15
kruununpolttimot	15
löytöeläimet	15
luettelot	15
pakkohuutokauppa	15
vaatteet	15
Isokyrö	14
katselmus	14
Kruunupyy	14
markkinat	14
raha	14
velvollisuudet	14
haaksirikot	13
Kuortane	13
salapoltto	13
verotus	13
Närpiö	12
rakennukset	12
verovapaus	12
viinat	12
elintarvikkeet	11
maanviljely	11
sairaalat	11
väärennökset	11
Vähäkyrö	11
veroparselit	11
verovilja	11
Hämeenlinna	10
liikkumisvapaus	10
palovakuutus	10
saarnat	10
vienti	10
isojako	9
kehittäminen	9
palkkiot	9
posti	9
hovioikeudet	8
köyhäinhoito	8
Kuopio	8
riita-asiat	8
valtiopäivät	8
vankeinhoito	8
varusteet	8
velkasuhteet	8
Vöyri	8
asiakirjat	7
ehkäisy	7
hautauspuheet	7
käsityöläiset	7
kokoukset	7
Kristiinankaupunki	7
kuolinpesät	7
Maalahti	7
Pori	7
ruumissaarnat	7
sakko	7
sodat	7
hallintaoikeus	6
Iisalmi	6
irtolaisuus	6
katekismukset	6
Kemi	6
kokoontumiset	6
Laukaa	6
maanmittarit	6
miehistö	6
papisto	6
rahalaitokset	6
rukous	6
tartuntataudit	6
tullit	6
tuomiot	6
tuonti	6
Turku	6
uudisraivaus	6
armeijat	5
eläintaudit	5
eläkeläiset	5
hartauspuheet	5
järjestyshäiriöt	5
kauppa	5
kerjäläiset	5
komppaniat	5
köyhäinapu	5
kuolema	5
lastenhuolto	5
Lohtaja	5
merenkulku	5
nostoväki	5
perinnöt	5
ruodut	5
Saarijärvi	5
terveydenhuolto	5
tienrakennus	5
tuomioistuimet	5
verohinnat	5
Viitasaari	5
virkatalot	5
alioikeudet	4
avustuskassat	4
hevonen	4
julkiset rakennukset	4
kirkkorakennukset	4
korjaus	4
luotsit	4
mitalit	4
petoeläimet	4
rakkaus	4
ruoka	4
ruuti	4
salakuljetus	4
sodanuhka	4
sotilasrikokset	4
tullivalvonta	4
valtiovarainhallinto	4
värvätyt	4
velkakirjat	4
virkavirheet	4
Virrat	4
ylellisyystavarat	4
Ähtäri	3
Alavus	3
hengelliset laulut	3
huoltojoukot	3
Joroinen	3
Kajaani	3
Kälviä	3
Keuruu	3
konkurssi	3
kustannukset	3
lääkärit	3
lääkkeet	3
laitteet	3
laivanrakennus	3
lehti-ilmoitukset	3
Loviisa	3
luotot	3
maanomistus	3
maito	3
maksut	3
metsästys	3
Oulu	3
rehut	3
sotavangit	3
sotilastorpat	3
Tampere	3
tarkastus	3
työkomennukset	3
upseerit	3
valat	3
valtionvelka	3
varamiehet	3
varkaus	3
villa	3
virat	3
virkamiehet	3
arvoitukset	2
arvopaperit	2
asianosaiset	2
aviorikokset	2
dogmatiikka	2
eläkekassat	2
eläkkeet	2
elintarvikehygienia	2
erivapaus	2
harjoitukset	2
heinä	2
huvit	2
Ikaalinen	2
Ilomantsi	2
irtolaiset	2
Isojoki	2
isoviha	2
itsehoito	2
juutalaiset	2
Juva	2
kalastus	2
Kangasniemi	2
kansainvälinen perintöoikeus	2
käräjät	2
Kauhajoki	2
keittäjät	2
kestikievarit	2
kirkollisvero	2
krouvit	2
kupari	2
lautamiehet	2
maastamuutto	2
mielisairaanhoito	2
myllyt	2
naiset	2
ohjeet	2
oikeudenkäynti	2
pahoinpitely	2
paloturvallisuus	2
pientilat	2
pormestarit	2
potaska	2
puusto	2
puutavara	2
rakentaminen	2
rälssitilat	2
raportit	2
ratsutilat	2
Rauma	2
Ruovesi	2
rykmentit	2
säänennustus	2
sadonkorjuu	2
sadut	2
sopimukset	2
sota	2
sotaraportit	2
sotavahingot	2
Sulva	2
suostuntavero	2
synti	2
taistelut	2
takaus	2
Tammisaari	2
tavat	2
toivotukset	2
Tornio	2
tuomarit	2
työnjako	2
työvoima	2
valtiorikokset	2
valvonta	2
vanhemmat	2
vankeus	2
vankilat	2
värjäys	2
velkaantuminen	2
yhteismaa	2
aateli	1
Ähtävä	1
akatemiat	1
Alajärvi	1
arpajaiset	1
arvonimet	1
asumisoikeus	1
asusteet	1
avioero	1
avustukset	1
eläimet	1
eläkkeelle siirtyminen	1
Elimäki	1
elvytys	1
esineoikeus	1
etuoikeudet	1
Evijärvi	1
filosofia	1
haavurit	1
hakkuut	1
hallinto	1
hallitusmuodot	1
hengenpelastus	1
henkilöhistoria	1
Hollola	1
hygienia	1
ihmeet	1
Ii	1
isovanhemmat	1
Jalasjärvi	1
juhlat	1
julkaisutoiminta	1
juopumus	1
kahvi	1
kankaankudonta	1
kankaanpainanta	1
kansankertomukset	1
karjanhoito	1
karjatalous	1
kasvatus	1
kätilöt	1
Kauhava	1
Kaustinen	1
kehräämöt	1
kemianteollisuus	1
Kiuruvesi	1
korko	1
kotietsintä	1
kruununsyyttäjät	1
kuninkaankartanot	1
kunnianloukkaus	1
kuppaus	1
kutomot	1
kylät	1
lääkehoito	1
lääkekasvit	1
laiduntaminen	1
lainhuudatus	1
lainsäädäntö	1
lait	1
laivasto	1
laivat	1
Längelmäki	1
lapset	1
Leppävirta	1
lesket	1
linnoittaminen	1
luominen	1
luonnonhistoria	1
luonnonlääkkeet	1
maahanmuutto	1
maanpuolustus	1
maaoikeus	1
maatalous	1
maatilat	1
majoitus	1
Mäntyharju	1
merenkulkijat	1
merimiehet	1
mielisairaalat	1
mittaus	1
Munsala	1
muoti	1
murha	1
naisen asema	1
nautakarja	1
Nurmes	1
oikeudenmukaisuus	1
oikeustapaukset	1
olut	1
opetus	1
Orimattila	1
orvot	1
ottovanhemmat	1
palovahingot	1
pappilat	1
Parainen	1
parkitus	1
passit	1
pelikortit	1
peruna	1
perunkirjoitus	1
petos	1
pettu	1
Pietarsaari	1
poliittiset rikokset	1
posliini	1
postiliikenne	1
puheet	1
pukeutuminen	1
puutarhat	1
Raahe	1
raivaus	1
rajat	1
Rantasalmi	1
rauhansopimukset	1
rauta	1
rikollisuus	1
Ristiina	1
rukoukset	1
ruotsin kieli	1
ruotujakolaitos	1
sairaanhoito	1
salakauppa	1
sankaruus	1
