"","publication_place","country","count","longitude","latitude","identity"
"351","Askersund","Sweden",1,"14.9167","58.8833","<http://vocab.getty.edu/tgn/1062784>"
"352","Falun","Sweden",5,"15.6667","60.6167","<http://vocab.getty.edu/tgn/7009813>"
"355","Helsingborg","Sweden",2,"12.75","56.0833","<http://vocab.getty.edu/tgn/7009941>"
"356","Härnösand","Sweden",8,"17.9167","62.6167","<http://vocab.getty.edu/tgn/7009821>"
"357","Jönköping","Sweden",5,"14.1667","57.75","<http://vocab.getty.edu/tgn/7009825>"
"358","Karlskrona","Sweden",8,"15.5833","56.1667","<http://vocab.getty.edu/tgn/1063208>"
"359","Karlstad","Sweden",3,"13.5333","59.4","<http://vocab.getty.edu/tgn/1063209>"
"360","Köping","Sweden",2,"16","59.5167","<http://vocab.getty.edu/tgn/7009829>"
"361","Landskrona","Sweden",1,"12.8333","55.8167","<http://vocab.getty.edu/tgn/1063289>"
"362","Linköping","Sweden",19,"15.6167","58.4167","<http://vocab.getty.edu/tgn/7009951>"
"363","Ljungsbro","Sweden",1,"15.5","58.5167","<http://vocab.getty.edu/tgn/1063327>"
"364","Luleå","Sweden",2,"22.1667","65.5667","<http://vocab.getty.edu/tgn/7009836>"
"365","Lund","Sweden",51,"13.1667","55.7","<http://vocab.getty.edu/tgn/7009837>"
"366","Malmö","Sweden",4,"13","55.5833","<http://vocab.getty.edu/tgn/7009839>"
"367","Nora","Sweden",1,"15.0333","59.5167","<http://vocab.getty.edu/tgn/1063419>"
"368","Norrköping","Sweden",10,"16.1667","58.5833","<http://vocab.getty.edu/tgn/7009845>"
"369","Nyköping","Sweden",2,"17","58.75","<http://vocab.getty.edu/tgn/1063438>"
"371","Skara","Sweden",28,"13.4167","58.3833","<http://vocab.getty.edu/tgn/7009854>"
"372","Stockholm","Sweden",4004,"18.0833","59.3333","<http://vocab.getty.edu/tgn/7009861>"
"373","Strängnäs","Sweden",26,"17.0333","59.3833","<http://vocab.getty.edu/tgn/7009862>"
"374","Sundsvall","Sweden",1,"17.3333","62.3667","<http://vocab.getty.edu/tgn/1063688>"
"375","Uppsala","Sweden",753,"17.6333","59.9167","<http://vocab.getty.edu/tgn/7009867>"
"377","Västerås","Sweden",25,"16.55","59.6167","<http://vocab.getty.edu/tgn/7009872>"
"378","Örebro","Sweden",95,"15.0833","59.3","<http://vocab.getty.edu/tgn/1062693>"
"353","Gothenburg","Sweden",31,"11.9667","57.7167","<http://vocab.getty.edu/tgn/7009954>"
"44","Espoo","Finland",4,"24.7","60.1667","<http://vocab.getty.edu/tgn/7010360>"
"46","Forssa","Finland",10,"23.633","60.8167","<http://vocab.getty.edu/tgn/1031279>"
"48","Haapajärvi","Finland",5,"25.3333","63.75","<http://vocab.getty.edu/tgn/1031285>"
"49","Hamina","Finland",161,"27.25","60.55","<http://vocab.getty.edu/tgn/1031289>"
"50","Hanko","Finland",85,"23","59.8333","<http://vocab.getty.edu/tgn/1031290>"
"51","Harjavalta","Finland",1,"22.1667","61.3167","<http://vocab.getty.edu/tgn/1031292>"
"52","Heinola","Finland",33,"26.0833","61.2167","<http://vocab.getty.edu/tgn/1031297>"
"54","Heinävesi","Finland",2,"28.6667","62.4333","<http://vocab.getty.edu/tgn/7009879>"
"55","Helsinki","Finland",26953,"25","60.1333","<http://vocab.getty.edu/tgn/7009880>"
"56","Hinnerjoki","Finland",1,"22","61","<http://vocab.getty.edu/tgn/1031300>"
"60","Hyvinkää","Finland",16,"24.8333","60.6167","<http://vocab.getty.edu/tgn/1031304>"
"62","Hämeenlinna","Finland",1410,"24.4167","61","<http://vocab.getty.edu/tgn/7009878>"
"63","Iisalmi","Finland",13,"27.1833","63.5667","<http://vocab.getty.edu/tgn/1031306>"
"64","Ikaalinen","Finland",2,"23.0833","61.7667","<http://vocab.getty.edu/tgn/1031309>"
"65","Ilmajoki","Finland",2,"22.5667","62.7333","<http://vocab.getty.edu/tgn/1031310>"
"66","Imatra","Finland",1,"28.8333","61.2333","<http://vocab.getty.edu/tgn/1031312>"
"68","Inari","Finland",1,"27.0833","68.9","<http://vocab.getty.edu/tgn/1031313>"
"70","Isokyrö","Finland",10,"22.3333","63.0167","<http://vocab.getty.edu/tgn/1031316>"
"72","Jalasjärvi","Finland",1,"22.8333","62.5","<http://vocab.getty.edu/tgn/1031323>"
"74","Joensuu","Finland",127,"29.75","62.6","<http://vocab.getty.edu/tgn/1031325>"
"75","Juva","Finland",3,"27.8333","61.9167","<http://vocab.getty.edu/tgn/1031334>"
"76","Jyväskylä","Finland",1031,"25.8333","62.2667","<http://vocab.getty.edu/tgn/7009882>"
"77","Jämsä","Finland",5,"25.1667","61.85","<http://vocab.getty.edu/tgn/1031318>"
"80","Kajaani","Finland",42,"27.6833","64.2333","<http://vocab.getty.edu/tgn/1031339>"
"82","Kangasala","Finland",1,"24.0833","61.4667","<http://vocab.getty.edu/tgn/1031341>"
"84","Karhula","Finland",2,"26.9667","60.4833","<http://vocab.getty.edu/tgn/1031346>"
"85","Karjaa","Finland",14,"23.75","60.0833","<http://vocab.getty.edu/tgn/1031348>"
