catalog_index	catalog	author	short	title	town	from	till	dissertation	cluster	cluster_idx	remove
4	fennica	NA	Tidningar utgifne af et sällskap 	Tidningar utgifne af et sällskap i Åbo	Turku	1771	1785	NA	1	1	
176890	kungliga	NA	Tidningar utgifne af et sällskap 	Tidningar utgifne af et sällskap i Åbo	Turku	1771	1785	NA	1	2	potentially remove
119	fennica	Bilmark, Johannes	Dissertatio academica de disciplina morali 	Dissertatio academica de disciplina morali veterum Hyperboreorum, cujus partem priorem, suffrag. ampl. fac. phil. in Reg. ad Auram Academia, praeside mag. Johanne Bilmark, hist. et phil. pract. prof. reg. et ord. Publice ventilandam sistit Joannes Haq. Lenaesius, Angermannus. In audit. maj. die XIX. April. MDCCLXIV. h. a. m. c	Turku	1764	NA	Diss.	1	1	
184702	kungliga	Bilmark, Johan	Dissertatio academica de disciplina morali 	Dissertatio academica de disciplina morali veterum Hyperboreorum	Turku	1764	NA	NA	1	2	potentially remove
137	fennica	Bilmark, Johannes	Dissertatio, historiam Regiae Academiae Aboensis 	Dissertatio, historiam Regiae Academiae Aboensis continens, cujus partem primam consensu amplissimi senatus philosophici in illustri ad Auram lycaeo, praeside mag. Johanne Bilmark, histor. & phil. pract. professore reg. & ordin. Nec non Reg. Acad. Aboens. h. t. rectore, publico examini modeste subjicit Fridericus Hedberg, Ostrobotniensis, in auditoro majori die XXV. Aprilis anni r. s. MDCCLXX. h. a. m. s	Turku	1770	NA	Diss.	1	1	
138	fennica	Bilmark, Johannes	Dissertatio, historiam Regiae Academiae Aboensis 	Dissertatio, historiam Regiae Academiae Aboensis continens, cujus partem secundam consensu amplissimi senatus philosophici in illustri ad Auram lycaeo, praeside mag. Johanne Bilmark, histor. & phil. pract. professore reg. & ordin. nec non Reg. Acad. Aboens. h. t. rectore, publicae censurae modeste subjicit Johannes Lenaesius, Angermannus, in auditorio majori die XXVIII Aprilis anni a n. C. MDCCLXX. h. a. m. c	Turku	1770	NA	Diss.	1	2	
184718	kungliga	Bilmark, Johan	Dissertatio, historiam Regiae Academiae Aboensis 	Dissertatio, historiam Regiae Academiae Aboensis continens, cujus partem primam consensu amplissimi senatus philosophici in illustri ad Auram lycaeo, praeside mag. Johanne Bilmark, histor. & phil. pract. professore reg. & ordin. Nec non Reg. Acad. Aboens. h. t. rectore, publico examini modeste subjicit Fridericus Hedberg, Ostrobotniensis, in auditoro majori die XXV. Aprilis anni r. s. MDCCLXX. H. a. m. s	Turku	1770	NA	Diss. Åbo : Akad., 1770	1	3	potentially remove
150	fennica	Bilmark, Johannes	Dissertatio historica, solennem inscrinationis actum 	Dissertatio historica, solennem inscrinationis actum b. episcopi Aboensis Hemmingi exhibitura. Cujus partem priorem, venia ampliss. ord. philos. in Reg. Acad. Aboe¨ns. Praeside mag. Johanne Bilmark, histor. et phil. pract. professore reg. et ord. Pablico [!] submittit examini Gustavus Sivers, Ostro-Gothus. In auditorio majori die VIII Martii MDCCLXXV. h. a. m. s	Turku	1775	NA	Diss.	1	1	
17162	fennica	Bilmark, Johannes	Dissertatio historica, solennem inscrinationis actum 	Dissertatio historica, solennem inscrinationis actum b. episcopi Aboensis Hemmingi exhibitura. Cujus partem priorem, venia ampliss. ord. philos. in Reg. Acad. Aboe¨ns. Praeside mag. Johanne Bilmark, histor. et phil. pract. professore reg. et ord. Pablico [!] submittit examini Gustavus Sivers, Ostro-Gothus. In auditorio majori die VIII Martii MDCCLXXV. h. a. m. s	Turku	1775	NA	Diss.	1	2	
184719	kungliga	Bilmark, Johan	Dissertatio historica, solennem inscrinationis actum 	Dissertatio historica, solennem inscrinationis actum b. episcopi Aboensis Hemmingi exhibitura. Cujus partem priorem, venia ampliss. ord. philos. in Reg. Acad. Aboëns. Præside mag. Johanne Bilmark, histor. et phil. pract. professore reg. et ord. Pablico [sic] submittit examini Gustavus Sivers, Ostro-Gothus. In auditorio majori die VIII Martii MDCCLXXV. H. A. M. S	Turku	1775	NA	Diss. Åbo, 1775	1	3	potentially remove
195	fennica	Bilmark, Johannes	Dissertatio academica, praecipuas caussas defectuum, 	Dissertatio academica, praecipuas caussas defectuum, quibus laborat historia Fennica, leviter adumbrans, quam consensu amplissimi senatus philosophici in Regia ad Auram Academia, sub praesidio mag. Johannis Bilmark, hist. & phil. pract. prof. reg. & ord. Publico examini modeste subjicit Gabriel Haberfelt, Satacundensis. In auditorio majori die XXIX Novemb. anni r. s. MDCCLXVI. h. a. m. s	Turku	1766	NA	Diss.	1	1	
184708	kungliga	Bilmark, Johan	Dissertatio academica, praecipuas caussas defectuum, 	Dissertatio academica, praecipuas caussas defectuum, quibus laborat historia Fennica, leviter adumbrans, quam consensu amplissimi senatus philosophici in Regia ad Auram Academia, sub praesidio mag. Johannis Bilmark, hist. & phil. pract. prof. reg. & ord. publico examini modeste subjicit Gabriel Haberfelt, Satacundensis. In auditorio majori die XXIX Novemb. anni r. s. MDCCLXVI. h. a. m. s	Turku	1766	NA	Diss. Åbo : Åbo akademi, 1766	1	2	potentially remove
212	fennica	Bilmark, Johannes	Dissertatio academica, statum politices et 	Dissertatio academica, statum politices et religionis in Lapponia Pitensi praesentem delineatura, quam consensu ampliss. senat. philos. in Reg. Acad. Aboe¨nsi, sub moderamine mag. Johannis Bilmark, hist. & phil. pract. prof. reg. & ordin. pro laurea exhibet alumnus regius Lap. Carolus Gust. Bernh. Alenius, Lappo-Vestrobotniensis, in auditorio super. die VI. Maji anni MDCCLXIX, h. a. m. s	Turku	1769	NA	Diss.	1	1	
184710	kungliga	Bilmark, Johan	Dissertatio academica, statum politices et 	Dissertatio academica, statum politices et religionis in Lapponia Pitensi præsentem delineatura	Turku	1769	NA	Diss.	1	2	potentially remove
241	fennica	Bilmark, Johannes	Kortta och enfaldiga tankar om 	Kortta och enfaldiga tankar om upfostringsvärkets hinder i vårt k. fädernesland, samt några medel til dess förbättrande, förra delen, med philosophiska facultetens bifall, under histor. och philos. pract. professorens, herr mag. Johan Bilmarks inseende, uti et academiskt försök utgifven och försvarad af Gustaf Dahlgren, Åbo-bo, i Åbo Academiens öfre läro-sal, på vanlig tid f. m. den 21 april 1773	Turku	1773	NA	Diss.	1	1	
