catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	NA	Handlingar rörande särskilda förslag till 	Handlingar rörande särskilda förslag till regeringsform	FALSE	Helsinki	1806
Kungliga	NA	Proclamation. =(Rubr.) S. impr.=	Proclamation. =(Rubr.) S. impr.=	FALSE	Helsinki	1808
Kungliga	NA	Finlands statskalender	Finlands statskalender	FALSE	Helsinki	1811
Kungliga	NA	Infanterie-reglemente för finska militairen. =1-3. 	Infanterie-reglemente för finska militairen. =1-3. 1817-22.=	FALSE	Helsinki	1817
Kungliga	NA	Helsingfors läse-sällskaps stadgar, gillade och 	Helsingfors läse-sällskaps stadgar, gillade och antagne wid allmän sammankomst den 25 oktober 1819. =(Rubr.)= (Helsingfors, 1819. Tryckt hos J. Simelius.	FALSE	Helsinki	1819
Kungliga	Jakob, Ludwig Heinrich Von (1759-1827)	Afhandling om lifegna och fria 	Afhandling om lifegna och fria bönders arbete, med afseende på egendomsinnehafvares nytta, förnämligast i Ryssland, af Ludvig Henric Jacob. En af kejserl. fria oeconomiska sällskapet i St. Petersburg år 1814 belönad prisskrift	FALSE	Helsinki	1820
Kungliga	NA	Underrättelse om sättet att urskilja 	Underrättelse om sättet att urskilja werkelig död ifrån skendöd, och om de medel som till skendödes wederfående böra anwändas. Utgifwen af medicinal-rådet wid ministerium för inrikes ärenderne i St. Petersburg år 1819. Öfwersatt på nådig	FALSE	Helsinki	1820
Kungliga	Vhael, Barthold (1667-1723)	Grammatica fennica, adcuratiore methodo, penitiore 	Grammatica fennica, adcuratiore methodo, penitiore cura, observatione, & labore, reserans antiquissimæ hujus, ac natura sua præstantissimæ linguæ adyta, ejus peculiarem, ab aliis Europæis lingvis differentem genium, flexiones & conjugationes	FALSE	Helsinki	1821
Kungliga	NA	Kejserliga finska hushållnings-sällskapet, den 1 	Kejserliga finska hushållnings-sällskapet, den 1 november 1820. Helsingfors, 1821. Tryckt hos J. Simelius	FALSE	Helsinki	1821
Kungliga	NA	Till allmänheten redogörelse för kejserliga 	Till allmänheten redogörelse för kejserliga finska hushållnings-sällskapets göromål från den 10 november 1819 till den 1 november 1820. Helsingfors, 1821. Tryckt hos J. Simelius	FALSE	Helsinki	1821
Kungliga	Hornborg, Johan Georg (1777-1817)	Vägvisare genom storfurstendömet Finland. Enligt 	Vägvisare genom storfurstendömet Finland. Enligt officiella uppgifter och eljest inhämtade underrättelser författad af Joh. Georg Hornborg ... Helsingfors, tryckt hos J. Simelius 1821	FALSE	Helsinki	1821
Kungliga	NA	Infanterie-reglemente för finska militairen. =1-3. 	Infanterie-reglemente för finska militairen. =1-3. 1817-22.=	FALSE	Helsinki	1822
Kungliga	NA	Infanterie-reglemente för finska militairen. =1-3. 	Infanterie-reglemente för finska militairen. =1-3. 1817-22.=	FALSE	Helsinki	1822
Kungliga	Houwald, Christoph Ernst Von (1778-1845)	Begrafningen af Ernst von Houwald. 	Begrafningen af Ernst von Houwald. Öfversatt från tyskan af C.S.F. Helsingfors, tryckt hos J. Simelius, 1823	FALSE	Helsinki	1823
Kungliga	NA	Convention emellan hans majestät kejsaren 	Convention emellan hans majestät kejsaren af Ryszland å ena, samt hans majestät konungen af Swerige och Norrige, å andra sidan, afhandlad och sluten i Torneå den 5/17 januarii 1821 och ratificerad Laybach den 28 febr./12 mars samma år	FALSE	Helsinki	1823
Kungliga	Polidori, John William (1795-1821)	Vampyren af lord Byron. Öfversättning. 	Vampyren af lord Byron. Öfversättning. Jemte en öfversättning från ryskan. Af C.S.F. Helsingfors, tryckt hos J. Simelius 1824	FALSE	Helsinki	1824
Kungliga	Wacklin, Mikael (1771-1839)	Minnes-bok för embets- och tjenstemän 	Minnes-bok för embets- och tjenstemän uti Finlands höfdingedömen. Enligt hans kejserliga majestäts nådiga förordnande af den 14 februarii 1826, uppå finska stats-werkets bekostnad, genom trycket utgifwen af M. Wacklin ... Helsingfors	FALSE	Helsinki	1826
Kungliga	Wacklin, M	Minnes-Bok för Embets-och Tjenstemän uti 	Minnes-Bok för Embets-och Tjenstemän uti Finlands Höfdingedömen	FALSE	Helsinki	1826
Kungliga	NA	Reglor för Helsingfors stads sparbanks 	Reglor för Helsingfors stads sparbanks inrättning, antagna wid allmän sammankomst den 19 december 1825. =(Rubr.)= (Helsingfors 1826, tryckte hos J. Simelius.	FALSE	Helsinki	1826
Kungliga	NA	Reglor... antagna wid allmän sammankomst 	Reglor... antagna wid allmän sammankomst den 19 december 1825	FALSE	Helsinki	1826
Kungliga	Tulindberg, Otto Ulrik (1804-1837)	Terpsichore. Wittra och wettenskapliga försök, 	Terpsichore. Wittra och wettenskapliga försök, utgifne af Otto Tulindberg. =Helsingfors. 1-2. 1826=	FALSE	Helsinki	1826
Kungliga	Tulindberg, Otto Ulrik (1804-1837)	Terpsichore. Wittra och wettenskapliga försök, 	Terpsichore. Wittra och wettenskapliga försök, utgifne af Otto Tulindberg. =Helsingfors. 1-2. 1826=	FALSE	Helsinki	1826
Kungliga	NA	Korrt underwisning om afwägningar till 	Korrt underwisning om afwägningar till tjenst för finska jordbrukare. Helsingfors tryckt hos J. Simelii enka, 1827	FALSE	Helsinki	1827
Kungliga	Rancken, Engelbrekt (1790-1862)	Predikan vid philosophiæ doctors promotionen 	Predikan vid philosophiæ doctors promotionen i Åbo den 10 julii 1827. Af Engelbr. Rancken. På de promoverades begäran till trycket lemnad. Helsingfors, tryckt hos J. Simelii enka, 1827	FALSE	Helsinki	1827
Kungliga	Fontell, August Gideon	Anteckningar och aktstycken rörande forn-,sol- 	Anteckningar och aktstycken rörande forn-,sol- och hammarskriftet i Finland	FALSE	Helsinki	1828
Kungliga	Sjögren, Andreas Johan (1794-1855)	Anteckningar om församlingarne i Kemi-lappmark 	Anteckningar om församlingarne i Kemi-lappmark af And. Joh. Sjögren. Helsingfors. Tryckt hos J. Simelii enka, 1828	FALSE	Helsinki	1828
Kungliga	Böcker, Carl Christian (1786-1841)	Betänkande om de utaf kejserl. 	Betänkande om de utaf kejserl. finska hushållnings-sällskapet på Ahlmanska donationsfondens bekostnad inrättade skolor, och huru de för detta ändamål anslagne medel lämpeligast kunna användas. =(Rubr.) Anon. S. impr.= [Helsingfors. 1828.	FALSE	Helsinki	1828
Kungliga	Nehrman, Anders Jacob (1801-1840)	Christelig predikan på 17de söndagen 	Christelig predikan på 17de söndagen efter trinitatis hållen uti Helsingfors stads-kyrka år 1828 af Anders Jacob Nehrman. Helsingfors. Tryckt hos J. Simelii enka, 1828	FALSE	Helsinki	1828
Kungliga	NA	Finlands stats-calender för året 1829. 	Finlands stats-calender för året 1829. Till Åbo horizont, belägen 60 grader 27 minuter norr om eqvatorn, samt 8 gr. 2 min. wester om St. Petersburgs observatorium: utgifven, efter hans kejserl. maj:ts nådigste förordnande af kejserliga	FALSE	Helsinki	1828
