publication_year	author	title	publisher
1756	NA	Linköpings stifts tidningar	Linköpings stifts tidningar
1788	Mannerskants, Nils (1738-1809)	Aftryck af et från Finland ankommit bref, angående åtskilliga stämplingar, samt hwad som händt wid Fredrikshamns belägring. Jemte en tilläggning i samma ämne, samt åtskilliga andra nyheter rörande kriget. Och sluteligen hr. regements-pastorn Gustaf Gengzells ode wid hans maj:ts konungens höga möte med den nya kongl. fri-corpsen uti Carlstad	NA
1792	NA	Berättelse om det å konungens person, natten imellan d. 16 och 17 martii 1792, åsyftade mord; upläst uti kongl. regeringen den 18 derpåföljande eftermiddagen	NA
1792	NA	Swenska folkets bön till hans kongl. höghet hertig Carl af Södermanland	NA
1828	Stadenberg, Claës Wilhelm (1805-1887)	Fantasterne	NA
1816	Ramler, Karl Wilhelm (1725-1798)	Jesu död, oratorium af Graun. =Anon=. Linköping, 1816. Petre och Abrahamsson	NA
1817	Swieten, Gottfried Van (1733-1803)	Ord till Haydn's oratorium, Skapelsen, uppfördt i Linköping, den 15 maji 1817. =Anon=. Linköping, 1817; Petre och Abrahamsson	NA
1820	Grillparzer, Franz (1791-1872)	Stamfrun	NA
1796	Lemierre D'argy, Auguste Jacques (1762-1815)	Calas, eller Fanatismen. Drame i fyra akter. Öfversättning af D.G. Björn. Af svenska dramatiska sälskapet i Stockholm til upförande antagen, 1794. =Anon=. Linköping, Didric Gabriel Björn. 1796	NA
1700	NA	Den öfwermåttan härliga och dråpeliga seger hwilken Gud den alldrahögste hafwer förlähnt hans kongl. may:st. wår allernådigste konung, öfwer zarens stora krigzmacht, för staden Narfwa den 20 novembr. 1700. Effter hans kongl. may:tz nådigste	NA
1789	NA	Utdrag af et bref ifrån Savolax, dat. d. 26 maji innewarande år./ =(Rubr.)= (Tryckt uti Linköping och desz boktryckerie, år 1789. [Fredrik Schonberg och Björckegrens änka.] 	NA
1790	NA	Berättelse om armeens flottas operationer och seger wid Friedricshamn den 15 maji 1790, under konungens befäl. Tryckt i Linköping, efter tryckt original från Stockholm 1790. [Fredric Schonberg och Björckegrens änka.	NA
1706	NA	Lof- ock tacksäjelse skrift, öfwer hans kongl. may:ts rättmätiga ock tappra wapns framgång, hwarmed Gud den aldrahögste har behagat dem wälsigna och bekröna, uti desze nästförflutna twänne fält-tåg. År 1704. och 1705. Äfter hans kongl	NA
1821	Becker, Gottfried Wilhelm (1778-1854)	Leipsigs skräck-scener i september och october månader 1813, af ett åsyna vittne antecknade, och af en vid den stora slagtningen närvarande svensk öfversatte. ...s ...k .....n =Anon=. Linköping, 1821; Petre och Abrahamsson	NA
1788	Gustav,  (1746-1792)	Öfwersättning af hans kongl. maj:ts, wår allernådigste konungs declaration, i anseende til kriget. =(Rubr.)= (Efter tryckt exemplar från Stockholm, och samma år [1788] i Linköping hos Fredr. Schonberg och Björckegrns [!] enka.	NA
