catalog	author	short_title	title	dissertation	publication_place	publication_year
Kungliga	Carstenius, Petrus (NA-1710)	oratio introductoria ad gymnasii wiiburgensis 	Oratio introductoria ad gymnasii Wiiburgensis rectoratum de ejusdem gymnasii anno qvinqvagesimo sive jubileo	FALSE	Vyborg	1690
Kungliga	Bång, Petrus (1633-1696)	christeligh liikpredikan tå  herren 	Christeligh liik-predikan, tå ... herren, herr Berndt Melliin ... uti Wijborgz domkyrckia ... blef begrafwen den 26. januarij anno 1691 hållen af Petro Bång .	FALSE	Vyborg	1691
Kungliga	NA	contract som uppå kongl maytz 	Contract Som uppå Kongl. May:tz Nådigste Willia och Befalning Allmogen i Wiborgz och Kymmene-Gårdz Lähn ingått Åhr 1696. Angående det wisza Knechtehållet	FALSE	Vyborg	1696
Kungliga	NA	kongl maytz reglemente och förordning 	Kongl. May:tz Reglemente Och Förordning, Angående Knechtehållet i Wiborgz Lähn, affattadt Carlbärg den 15. Junii A. 1697	FALSE	Vyborg	1697
Kungliga	Lund, David (1657-1729)	sampliga vyrdiga presterskapet i thet 	Sampliga vyrdiga presterskapet i thet lofl Viborgs stifft, önskas af Herranom nåde, frijd och hälso	FALSE	Vyborg	1711
Kungliga	NA	en riksgäldssedels biographie svenskt original 	En riksgälds-sedels biographie. Svenskt original. Wiborg, 1816. Tryckt hos Anders Cederwaller	FALSE	Vyborg	1816
Kungliga	Judén, Jacob (1781-1855)	anteckningar af tankar uti warianta 	Anteckningar af tankar uti warianta ämnen af Jac. Judén. Wiborg, hos And. Cederwaller år 1827	FALSE	Vyborg	1827
Kungliga	Tegnér, Esaias (1782-1846)	frithiofs saga af esaias tegnér 	Frithiofs saga af Esaias Tegnér. Wiborg, tryckt hos A. Cederwaller, 1827	FALSE	Vyborg	1827
Kungliga	Kjöllerfeldt, Henrik Johan	om kanalanläggning	Om kanal-anläggning	FALSE	Vyborg	1840
Kungliga	Wikman, Peter Gustaf (1812-1867)	hittebarnet	Hittebarnet	FALSE	Vyborg	1841
Kungliga	Flygare-carlén, Emilie (1807-1892)	bruden på omberg	Bruden på Omberg	FALSE	Vyborg	1846
Kungliga	Falkman, Charlotta (1795-1882)	en prestgård i nd	En prestgård i N-d	FALSE	Vyborg	1847
Kungliga	NA	rättegångshandlingar i tvenne mål ang 	Rättegångs-handlingar i tvenne mål, ang. vice lands-kamreraren E.J.Bäcls bötfällande för klädsel inför högloflige kejserlige hof-rätten i Wiborg	FALSE	Vyborg	1847
Kungliga	Fieandt, Carl Fredrik Von	uppsatser och rön i landthushållningen	Uppsatser och rön i landthushållningen	FALSE	Vyborg	1848
Kungliga	Qvanten, Emil Von (1827-1903)	dikter	Dikter	FALSE	Vyborg	1851
Kungliga	Pedersen, Rudolph	handelsforholdene og handelspolitikken i norden 	Handelsforholdene og Handelspolitikken i Norden under Calmarunionen	FALSE	Vyborg	1852
