original	gatherings	width	height	obl	Count
NA	NA	NA	NA	1	33978
4to	4to	28	22	1	15495
8to	8vo	19	13	1	7246
12to	12mo	19	12.5	1	3152
2to	2fo	45	30	1	2237
16to	16mo	15	12	1	1672
fol.	2fo	45	30	1	777
20 cm.	NA	20	13	1	360
1to	1to	90	60	1	359
19 cm.	NA	19	13	1	358
22 cm.	NA	22	15	1	341
23 cm.	NA	23	18	1	336
24 cm.	NA	24	19	1	229
21 cm.	NA	21	14	1	228
[4to.	4to	28	22	1	207
4to+	4long	35	27	1	199
stor 8to	8vo	19	13	1	189
25 cm.	NA	25	19	1	186
[8to.	8vo	19	13	1	174
liten 8to	8vo	19	13	1	146
18 cm.	NA	18	12	1	134
17 cm.	NA	17	12	1	102
poikittais-1to	1to	90	60	2	102
8to+	8long	22	13	1	92
14 x 22 cm.	NA	22	14	1	87
9 x 15 cm	NA	15	9	1	85
[?to.	NA	NA	NA	1	78
9 x 16 cm	NA	16	9	1	69
26 cm.	NA	26	20	1	69
28 cm.	NA	28	20	1	67
folio.	2fo	45	30	1	65
kapea/pitkä 12to	12mo	19	12.5	1	65
[2to.	2fo	45	30	1	59
29 cm.	NA	29	20	1	58
32to	32mo	12	7	1	57
30 cm.	NA	30	20	1	53
10 x 17 cm	NA	17	10	1	52
16 cm.	NA	16	11	1	51
27 cm.	NA	27	20	1	51
10 x 16 cm	NA	16	10	1	50
11 x 18 cm.	NA	18	11	1	47
31 cm.	NA	31	21	1	47
12 x 18 cm.	NA	18	12	1	42
32 cm.	NA	32	21	1	42
12 x 19 cm.	NA	19	12	1	41
15 cm.	NA	15	12	1	40
33 cm.	NA	33	22	1	39
9 x 14 cm	NA	14	9	1	31
6to	6to	NA	NA	1	29
poikittais-1to[1/2to].	NA	NA	NA	2	29
34 cm.	NA	34	22	1	28
poikittais-1to[-1/2to].	NA	NA	NA	2	28
9 x 17 cm	NA	17	9	1	27
35 cm.	NA	35	23	1	27
11 x 17 cm.	NA	17	11	1	26
[1to.	1to	90	60	1	25
14 x 21 cm.	NA	21	14	1	24
11 x 18 cm	NA	18	11	1	23
13 x 20 cm.	NA	20	13	1	23
11 x 16 cm.	NA	16	11	1	23
pitkä 12to	12mo	19	12.5	1	22
8 x 15 cm	NA	15	8	1	21
8 x 14 cm	NA	14	8	1	20
14 cm.	NA	14	11	1	20
[12to.	12mo	19	12.5	1	19
13 x 21 cm.	NA	21	13	1	17
13 cm.	NA	13	10	1	15
10 x 18 cm	NA	18	10	1	14
12 x 20 cm.	NA	20	12	1	14
10 x 15 cm.	NA	15	10	1	14
36 cm.	NA	36	24	1	14
tvär 4to	4to	28	22	1	14
8 x 13 cm	NA	13	8	1	13
10 x 15 cm	NA	15	10	1	13
11 x 15 cm.	NA	15	11	1	12
13 x 19 cm.	NA	19	13	1	12
tvär 8to	8vo	19	13	1	12
24to	24mo	12.5	8.5	1	12
poikittais-2to	2fo	45	30	2	11
tvär fol.	2fo	45	30	1	11
stor 4to	4to	28	22	1	11
10 x 14 cm.	NA	14	10	1	10
14 x 20 cm.	NA	20	14	1	10
12 x 17 cm.	NA	17	12	1	10
9 x 12 cm.	NA	12	9	1	10
11 cm.	NA	11	8	1	10
kuv.	NA	NA	NA	1	10
7 x 13 cm	NA	13	7	1	9
10 x 17 cm.	NA	17	10	1	9
22 x 29 cm.	NA	29	22	1	9
10 x 16 cm.	NA	16	10	1	9
poikittais-4to	4to	28	22	2	9
poikittais-8to	8vo	19	13	2	9
11 x 17 cm	NA	17	11	1	8
8 x 16 cm	NA	16	8	1	8
14 x 23 cm.	NA	23	14	1	8
60 x 85 cm.	NA	85	60	1	8
38 cm.	NA	38	35	1	8
o.	NA	NA	NA	1	8
18to	18mo	16	10	1	8
64to	64mo	7	5	1	8
9 x 14 cm.	NA	14	9	1	7
12 x 19 cm	NA	19	12	1	7
10 x 18 cm.	NA	18	10	1	7
37 cm.	NA	37	25	1	7
12 cm.	NA	12	9	1	7
8:0.	8vo	19	13	1	7
8to(18 cm)	8vo	18	12	1	7
4to(25 cm)	4to	25	19	1	7
12to+	12long	20	13	1	7
39 cm.	NA	39	26	1	7
1to[1/2to].	NA	NA	NA	1	7
[1/2to].	2fo	45	30	1	7
21 cm +	NA	21	14	1	6
15 x 22 cm.	NA	22	15	1	6
