author	author_gender
-g, -a (1807-1879)	NA
A, 	NA
åberg, Johan Olof	male
Achrelius, Daniel Erici (1644-1692)	male
Aeimelaeus, Carolus Nicolai (1734-1760)	male
Agnoostos, 	NA
ågren, Robert	male
Ahlman, Frans Ferdinand (1836-1895)	male
Ahlqvist, August (1826-1889)	male
Aho, Juhani (1861-1921)	male
Aho, Pekka (1864-1945)	male
Aina,  (1856-1928)	NA
Alander, Christiernus Caroli (1660-1704)	male
Alanus, Abrahamus Claudii (1720-1720)	male
Alanus, Georgius Christophori (1609-1664)	male
Alava, V	NA
Aleksanteri, 	male
Alexander, Mrs	ambiguous
Allardt, Anders (1855-1942)	male
Almark, Ellen	female
Alopaeus, Magnus Magni Jacobi (1775-1843)	male
Alpi, Eero (1885-1933)	male
Andersson, G A	male
Angelini, J E	male
Appelgren, T G	NA
Arelin, Johannes (1736-1787)	male
Aridlander, Johannes Henrici (1665-1665)	male
Arndt, Johann (1555-1621)	male
Aro, J E	male
Arvidi, Andreas	male
Aschan, Ossian	male
Aspelin-haapkylä, Eliel (1847-1917)	male
Aura,  (1882-1954)	NA
Avellan, Johannes Henricus (1773-1832)	male
Bäck, Johannes (1850-1901)	male
Bång, Petrus Erici (1633-1696)	male
Behm, Oscar (1867-1933)	male
Bellamy, Edward	male
Bellman, Johan Martin	male
Bergroth, E	NA
Bergstedt, Karl	male
Bergstrand, A	male
Bilang, Johan Jacob	male
Bilmark, Johannes (1728-1801)	male
Björnson, Björnstjerne	NA
Blomberg, K E	NA
Blomberg, Karl Evert	male
Bockström, Bertel	male
Bodkin, Mc Donnel	ambiguous
Bohlin, B	NA
Boldt, Robert	male
Bomansson, Karl August (1827-1906)	male
Bonsdorff, Adolf Von	male
Bonsdorff, E (1842-1936)	NA
Bonsdorff, Karl Robert	male
Boström, H J (1876-1930)	male
Bougeault, Alfred	male
Braddon, M E	male
Brofeldt, Pekka (1864-1945)	male
Bunyan, John	male
Buscherus, Martinus Martini (1745-1745)	male
Busemann, L	NA
Canth, Minna (1844-1897)	female
Carlsson, A W	male
Carstenius, Petrus Henrici (1646-1710)	male
Caselius, O J	male
Castrén, Gunnar	male
Castrén, Matias Aleksanteri (1813-1852)	male
Cederberg, Lauri	male
Celsius, Nicolaus	NA
Celsius, Olavus	male
Choraeus, Michael (1774-1806)	male
Chydenius, Anders (1729-1803)	male
Chydenius, Jakob Wilhelm	male
Clericus, L	NA
Clopatt, Arthur Rudolf	male
Collan, Anna	female
Collan, Anni	female
Collander, Samuel Thomae (1673-1727)	male
Colliander, O I	NA
Collins, Wilkie	ambiguous
Corander, Klas (1822-1872)	male
Cygnaeus, Fredrik (1807-1881)	male
Dahl, Jonas	male
Dannholm, Fredrik Oskar (1847-1930)	male
Diecmann, Johann	male
Diedrich, J	male
Donner, Arno	male
Dostojevski, F M	male
Doyle, Arthur Conan	male
Dubois, Paul	male
Dumas, Alexandre	male
E,  (1713-1772)	NA
Ehrensvärd, Augustin (1710-1772)	male
Ehrström, Erik	male
Eichendorff, Joseph Von	male
Elfving, Jenny	female
Elfving, östen	male
Elimaeus, Olaus Erici (1629-1629)	male
Elmgren, Rob	male
Elo, Efr	male
Engberg, Anna	female
Engelberg, Rafael	male
Erich, Rafael (1879-1946)	male
Erichsson, Anders	male
Erkko, J H	male
Ervast, Pekka (1875-1934)	male
Estlander, Bernhard (1863-1931)	male
Estlander, Ernst	male
Fabricius, Adam Kristoffer	male
Fant, Ericus Michael	male
Fattenborg, Johannes (1769-1849)	male
Feuillet, Octave	NA
Flachsenius, Jakob (1633-1694)	male
Flachsenius, Johan (1636-1708)	male
Fliesberg, Carl	male
Floman, Johannes (1769-1820)	male
Flood, Just Wright	ambiguous
Flyborg, Gustaf	male
Folkenius, Sveno Laurentii (1651-1651)	male
Forselles, Jacob Henric Af	male
Forsius, Sigfridus Aronus (1560-1624)	male
Forsman, Jaakko (1839-1899)	male
Forsström, Karl Ferdinand	male
Franzén, Frans Michael (1772-1847)	male
Frosterus, Gustave	NA
Funtek, Leo	male
Gabriels, Axel	male
Gadd, Pehr Adrian (1727-1797)	male
Gadolenus, Sveno Nicolai	male
Gagner, Lars Peter	male
Ganander, Christfrid (1741-1790)	male
Gånge, Rolf	male
Gartman, Johannes Nicolai (1624-1684)	male
Gea, 	NA
Gebhard, Hannes	male
Gezelius, Johannes (1615-1690)	male
Godenhjelm, B F	NA
Golovin, Wladimir	male
Granfelt, George Fredrik	male
Granit-ilmoniemi, Bruno (1855-1939)	male
Granit, Ossian	male
Gripenberg, Adolph Johan	male
Gripenberg, Bertel	male
Grönberg, John	male
Grönholm, Väinö	male
Grotenfelt, Gösta (1855-1922)	male
Grotenfelt, Kustavi	male
Gummerus, Jaakko	male
Gummerus, K J (1840-1898)	male
Gustafsson, F (1853-1924)	NA
Gutmayer, F	NA
Gyldenstolpe, Michael Olai (1608-1670)	male
Haanpää, Vilho	male
Haartman, Johannes Jacobi (1682-1737)	male
Haartman, Johannes Johannis (1725-1787)	male
Hackman, Alfred (1864-1942)	male
Hacks, Alexander (1740-1740)	male
Hagfors, K J	male
Haggard, H Rider	NA
Hagman, Lucina (1853-1946)	female
Hahl, D (1847-1880)	NA
Hahl, Jalmari	male
Hahn, Petrus Olai (1650-1718)	male
Hahnsson, Johan Adrian (1834-1888)	male
Hahnsson, Theodolinda (1838-1919)	female
Hainari, O A	male
Halinen, Helena	female
Hällström, Gustavus Gabriel (1775-1844)	male
Hämäläinen, Konstantin (1853-1909)	male
Härkönen, Iivo (1882-1941)	male
Harmou, L L	NA
Hartelius, Truls Johan	male
Hassel, Henrik (1700-1776)	male
Haydn, Joseph	male
Hedman, Edvin L (1863-1915)	male
Heikel, Axel O (1851-1924)	male
Heikinheimo, V A	male
Heilala, Yrjö	male
Heinricius, G	NA
Helenius, Matti (1870-1920)	male
Hellens, Carolus Nicolaus Von (1745-1820)	male
Hietakari, Eero	male
Hirvonen, Johan Wilhelm	male
Hjelt-cajanus, Esther	female
Hjelt, Vera	female
Hoghusen, Johan (1736-1736)	male
Högman, Ernst	male
Hollatz, David (1704-1777)	male
Homén, B	NA
Homén, E A	male
Horatius Flaccus, Quintus	male
Hornborg, Eirik	male
Hugo, Victor	male
Huizinga, W	NA
Hukkinen, Yrjö (1886-1946)	male
Hultin, Arvid	male
Hume, Fergus	NA
Huotari, Anni	female
Hurt, Jakob	male
Huss, Johannes Erici (1711-1768)	male
Huuri, A	male
Hydén, And Joh	ambiguous
Hytönen, Viljo	male
Hyvärinen, Eero (1859-1931)	male
Iii, Kustaa	male
Iki-tursas, 	NA
Ikonen, Leander	male
Ingersoll, Robert	male
Ingman, Alfred Emil	male
