Name	Count
Total count (na.rm TRUE): 	15667
38	541
36	503
43	499
40	485
41	478
39	474
42	465
37	463
45	459
44	445
34	443
32	428
48	422
35	420
33	419
31	410
46	408
47	399
30	389
29	344
50	335
49	324
51	319
28	316
27	313
54	307
53	304
52	302
56	274
26	270
58	257
55	250
57	231
60	218
59	212
25	201
62	191
24	189
63	181
61	164
23	163
64	123
22	114
66	105
67	 95
65	 93
21	 90
69	 89
70	 86
68	 76
20	 73
71	 53
72	 50
18	 41
19	 38
73	 35
74	 27
78	 27
75	 25
76	 23
16	 20
77	 19
14	 18
17	 17
79	 16
15	 13
80	 11
13	  6
11	  4
12	  4
82	  4
-8	  3
8	  3
81	  3
84	  3
85	  3
88	  3
-173	  2
-1	  2
3	  2
9	  2
86	  2
-162	  1
-142	  1
-138	  1
-115	  1
-107	  1
-105	  1
-89	  1
-82	  1
-72	  1
-66	  1
-62	  1
-60	  1
-38	  1
-37	  1
-23	  1
-22	  1
-14	  1
-12	  1
-11	  1
-7	  1
1	  1
2	  1
4	  1
5	  1
6	  1
7	  1
83	  1
87	  1
89	  1
