original_name original_date final_author_id final_author_birth final_author_death n
Aho, Juhani 1861-1921. Aho, Juhani (1861-1921) 1861 1921 5
Runeberg, Johan Ludvig 1804-1877. Runeberg, Johan Ludvig (1804-1877) 1804 1877 5
Achrenius, Abraham 1706-1769. Achrenius, Abraham (1706-1769) 1706 1769 4
Grotenfelt, Gösta 1855-1922. Grotenfelt, Gösta (1855-1922) 1855 1922 4
Petraeus, Aeschillus Olai 1593-1657 Petraeus, Aeschillus Olai (1593-1657) 1593 1657 4
Scarin, Algothus Asmundi 1684-1771 Scarin, Algothus Asmundi (1684-1771) 1684 1771 4
Svenonius, Enevaldus Svenonis 1617-1688 Svenonius, Enevaldus Svenonis (1617-1688) 1617 1688 4
Gezelius, Johannes 1615-1690. Gezelius, Johannes (1615-1690) 1615 1690 3
Hahnsson, Theodolinda 1838-1919. Hahnsson, Theodolinda (1838-1919) 1838 1919 3
Hassel, Henrik 1700-1776 Hassel, Henrik (1700-1776) 1700 1776 3
Mesterton, Carolus 1715-1773 Mesterton, Carolus (1715-1773) 1715 1773 3
Sederholm, C. R 1818-1903 Sederholm, C R (1818-1903) 1818 1903 3
Söderhjelm, Werner 1859-1931. Söderhjelm, Werner (1859-1931) 1859 1931 3
Alanus, Georgius Christophori 1609-1664 Alanus, Georgius Christophori (1609-1664) 1609 1664 2
Bäck, Johannes 1850-1901. Bäck, Johannes (1850-1901) 1850 1901 2
Bilmark, Johannes 1728-1801 Bilmark, Johannes (1728-1801) 1728 1801 2
Björklund, Isaacus 1686-1740 Björklund, Isaacus (1686-1740) 1686 1740 2
Fritsch, Ahasverus Andreae 1629-1701. Fritsch, Ahasverus Andreae (1629-1701) 1629 1701 2
Gyldenstolpe, Michael Olai 1608-1670 Gyldenstolpe, Michael Olai (1608-1670) 1608 1670 2
Hahn, Petrus Olai 1650-1718 Hahn, Petrus Olai (1650-1718) 1650 1718 2
Hallstén, Alexander Gustaf Julius 1819-1879. Hallstén, Alexander Gustaf Julius (1819-1879) 1819 1879 2
Järnefelt, Arvid 1861-1932. Järnefelt, Arvid (1861-1932) 1861 1932 2
Krohn, Julius 1835-1888. Krohn, Julius (1835-1888) 1835 1888 2
Linsén, Johan Gabriel 1785-1848. Linsén, Johan Gabriel (1785-1848) 1785 1848 2
Lydecken, Arvid 1884-1960. Lydecken, Arvid (1884-1960) 1884 1960 2
Mennander, Carl Fredrik 1712-1786. Mennander, Carl Fredrik (1712-1786) 1712 1786 2
Miltopaeus, Martinus Aeschilli 1631-1679. Miltopaeus, Martinus Aeschilli (1631-1679) 1631 1679 2
Pipping, Fredrik Wilhelm 1783-1868 Pipping, Fredrik Wilhelm (1783-1868) 1783 1868 2
Porthan, Henrik Gabriel 1739-1804 Porthan, Henrik Gabriel (1739-1804) 1739 1804 2
Rein, Gabriel 1800-1867 Rein, Gabriel (1800-1867) 1800 1867 2
Reuter, O. M 1850-1913. Reuter, O M (1850-1913) 1850 1913 2
Sjöström, Axel Gabriel 1794-1846 Sjöström, Axel Gabriel (1794-1846) 1794 1846 2
Suomalainen, K 1850-1907. Suomalainen, K (1850-1907) 1850 1907 2
Svebilius, Olaus Georgii 1624-1700. Svebilius, Olaus Georgii (1624-1700) 1624 1700 2
Tamminen, Em 1852-1946. Tamminen, Em (1852-1946) 1852 1946 2
Thomas Ragvaldinpoika 1724-1804. Ragvaldinpoika, Thomas (1724-1804) 1724 1804 2
Wanochius, Andreas Jacobi 1651-1700 Wanochius, Andreas Jacobi (1651-1700) 1651 1700 2
Achrenius, Abraham 1706-1769 Achrenius, Abraham (1706-1769) 1706 1769 1
Aeimelaeus, Nicolaus 1753-1817 Aeimelaeus, Nicolaus (1753-1817) 1753 1817 1
Alcenius, Otto 1838-1913. Alcenius, Otto (1838-1913) 1838 1913 1
Alkio, Santeri 1862-1930. Alkio, Santeri (1862-1930) 1862 1930 1
Andelin, Werner 1869-1954. Andelin, Werner (1869-1954) 1869 1954 1
Antell, Alina 1836-1925. Antell, Alina (1836-1925) 1836 1925 1
Anttila, Selma 1867-1942. Anttila, Selma (1867-1942) 1867 1942 1
Aschelinus, Andreas Henrici k. 1703. Aschelinus, Andreas Henrici (1703-1703) 1703 NA 1
Auvinen, A 1857-1918. Auvinen, A (1857-1918) 1857 1918 1
Bång, Petrus Erici 1633-1696 Bång, Petrus Erici (1633-1696) 1633 1696 1
Becker, Waldemar 1840-1907. Becker, Waldemar (1840-1907) 1840 1907 1
Bergius, Andreas Andreae 1693-1750 Bergius, Andreas Andreae (1693-1750) 1693 1750 1
Bergius, Petrus Andreae 1612-1691 Bergius, Petrus Andreae (1612-1691) 1612 1691 1
Biurman, Georg 1700-1755. Biurman, Georg (1700-1755) 1700 1755 1
Björklund, Isaacus 1686-1740. Björklund, Isaacus (1686-1740) 1686 1740 1
Böismann, Petrus Henricus 1745-1831. Böismann, Petrus Henricus (1745-1831) 1745 1831 1
Boldt, Alexander 1873-1956. Boldt, Alexander (1873-1956) 1873 1956 1
Bonsdorff, E 1842-1936. Bonsdorff, E (1842-1936) 1842 1936 1
Bonsdorff, Gabriel von 1762-1831 Bonsdorff, Gabriel Von (1762-1831) 1762 1831 1
Böök, Einar 1874-1957. Böök, Einar (1874-1957) 1874 1957 1
Brasse, Carolus 1767-1822. Brasse, Carolus (1767-1822) 1767 1822 1
Browallius, Johannes Magni 1707-1755. Browallius, Johannes Magni (1707-1755) 1707 1755 1
Brunnerus, Martin 1627-1679. Brunnerus, Martin (1627-1679) 1627 1679 1
Calonius, Matthias 1737-1817 Calonius, Matthias (1737-1817) 1737 1817 1
Cannelin, Gustaf 1815-1885. Cannelin, Gustaf (1815-1885) 1815 1885 1
Canth, Minna 1844-1897. Canth, Minna (1844-1897) 1844 1897 1
Charpentier, Axel 1865-1949. Charpentier, Axel (1865-1949) 1865 1949 1
Colliander, Johannes Erlandi 1649-1726. Colliander, Johannes Erlandi (1649-1726) 1649 1726 1
Cygnaeus, Fredrik 1807-1881. Cygnaeus, Fredrik (1807-1881) 1807 1881 1
Dannholm, Fredrik Oskar 1847-1930. Dannholm, Fredrik Oskar (1847-1930) 1847 1930 1
Donner, Kai 1888-1935. Donner, Kai (1888-1935) 1888 1935 1
Ehrensvärd, Augustin 1710-1772. Ehrensvärd, Augustin (1710-1772) 1710 1772 1
Ekdahl, Ericus 1761-1822. Ekdahl, Ericus (1761-1822) 1761 1822 1
Ekelund, Carolus Evert 1791-1843 Ekelund, Carolus Evert (1791-1843) 1791 1843 1
Elfving, Fredrik 1854-1942. Elfving, Fredrik (1854-1942) 1854 1942 1
Enckell, Carolus 1740-1813 Enckell, Carolus (1740-1813) 1740 1813 1
Eneberg, Karl Fredrik 1841-1876. Eneberg, Karl Fredrik (1841-1876) 1841 1876 1
Falander, Isaacus Erici k. 1693. Falander, Isaacus Erici (1693-1693) 1693 NA 1
Flachsenius, Jakob 1633-1694. Flachsenius, Jakob (1633-1694) 1633 1694 1
Flachsenius, Johan 1636-1708 Flachsenius, Johan (1636-1708) 1636 1708 1
Frese, Jacob n. 1690-1729 Frese, Jacob (1690-1729) 1690 1729 1
Frese, Jacob n. 1690-1729. Frese, Jacob (1690-1729) 1690 1729 1
Furuhjelm, Ragnar 1879-1944. Furuhjelm, Ragnar (1879-1944) 1879 1944 1
Gadd, Pehr Adrian 1727-1797. Gadd, Pehr Adrian (1727-1797) 1727 1797 1
Gadolin, Johan 1760-1852 Gadolin, Johan (1760-1852) 1760 1852 1
Genberg, Carolus Jonae 1711-1799. Genberg, Carolus Jonae (1711-1799) 1711 1799 1
Genetz, Arvid 1848-1915 Genetz, Arvid (1848-1915) 1848 1915 1
Gerhard, Johannes 1582-1637. Gerhard, Johannes (1582-1637) 1582 1637 1
Gestrinius, Ernestus Thomae 1663-1739. Gestrinius, Ernestus Thomae (1663-1739) 1663 1739 1
Gezelius, Johannes 1647-1718. Gezelius, Johannes (1647-1718) 1647 1718 1
Gorki, Maksim 1868-1936. Gorki, Maksim (1868-1936) 1868 1936 1
Gottlund, Carl Axel 1796-1875. Gottlund, Carl Axel (1796-1875) 1796 1875 1
Granfelt, Amanda Lydia 1850-1926. Granfelt, Amanda Lydia (1850-1926) 1850 1926 1
Gustafsson, F 1853-1924. Gustafsson, F (1853-1924) 1853 1924 1
Gyldenstolpe, Michael Olai 1608-1670. Gyldenstolpe, Michael Olai (1608-1670) 1608 1670 1
Gylling, Jacobus Andreas 1751-1811. Gylling, Jacobus Andreas (1751-1811) 1751 1811 1
H-n 1803-1883. H n NA NA 1
Haahti, Hilja 1874-1966. Haahti, Hilja (1874-1966) 1874 1966 1
Hagman, Lucina 1853-1946. Hagman, Lucina (1853-1946) 1853 1946 1
Hämäläinen, Konstantin 1853-1909. Hämäläinen, Konstantin (1853-1909) 1853 1909 1
Hannikainen, Lauri 1889-1921. Hannikainen, Lauri (1889-1921) 1889 1921 1
Hartman, Gabriel Israel 1776-1809. Hartman, Gabriel Israel (1776-1809) 1776 1809 1
Hasselbom, Nicolaus 1690-1764. Hasselbom, Nicolaus (1690-1764) 1690 1764 1
Heikel, Axel O 1851-1924. Heikel, Axel O (1851-1924) 1851 1924 1
Heikel, Viktor 1842-1927. Heikel, Viktor (1842-1927) 1842 1927 1
Hellén, Immi 1861-1937. Hellén, Immi (1861-1937) 1861 1937 1
Hellens, Carolus Nicolaus von 1745-1820. Hellens, Carolus Nicolaus Von (1745-1820) 1745 1820 1
Helsingberg, Johannes 1746-1812 Helsingberg, Johannes (1746-1812) 1746 1812 1
Hildeen, Jacobus Samuelis k. 1708. Hildeen, Jacobus Samuelis (1708-1708) 1708 NA 1
Hougberg, Sven Abraham 1759-1827. Hougberg, Sven Abraham (1759-1827) 1759 1827 1
Ingman, Alexander 1758-1795. Ingman, Alexander (1758-1795) 1758 1795 1
Inha, I. K 1865-1930. Inha, I K (1865-1930) 1865 1930 1
Johansson, Ossi 1886-1941. Johansson, Ossi (1886-1941) 1886 1941 1
Judex, Matthaeus 1528-1564. Judex, Matthaeus (1528-1564) 1528 1564 1
Juslenius, Daniel 1676-1752 Juslenius, Daniel (1676-1752) 1676 1752 1
Juusten, Paulus Petri n. 1516-1575. Juusten, Paulus Petri (1516-1575) 1516 1575 1
Juva, Valter 1865-1922. Juva, Valter (1865-1922) 1865 1922 1
Kajanus, Georg August 1812-1888. Kajanus, Georg August (1812-1888) 1812 1888 1
Kalm, Pehr 1716-1779. Kalm, Pehr (1716-1779) 1716 1779 1
Karsten, Rafael 1879-1956. Karsten, Rafael (1879-1956) 1879 1956 1
Kataja, Väinö 1867-1914. Kataja, Väinö (1867-1914) 1867 1914 1
Kexlerus, Simon Svenonis 1602-1669 Kexlerus, Simon Svenonis (1602-1669) 1602 1669 1
Kianto, Ilmari 1874-1970. Kianto, Ilmari (1874-1970) 1874 1970 1
Kivi, Aleksis 1834-1872. Kivi, Aleksis (1834-1872) 1834 1872 1
Kock, Johan 1861-1915. Kock, Johan (1861-1915) 1861 1915 1
Korhoin, Pawali Matin poika 1775-1840. Korhoin, Pawali Matin Poika (1775-1840) 1775 1840 1
Koskinen, Yrjö Sakari 1830-1903. Koskinen, Yrjö Sakari (1830-1903) 1830 1903 1
Kouta, Aarni 1884-1924. Kouta, Aarni (1884-1924) 1884 1924 1
Kraftman, Johannes 1713-1791 Kraftman, Johannes (1713-1791) 1713 1791 1
Laestadius, Lars Levi 1800-1861. Laestadius, Lars Levi (1800-1861) 1800 1861 1
Lagermarck, Johan Svensson 1622-1691 Lagermarck, Johan Svensson (1622-1691) 1622 1691 1
Laurbecchius, Petrus Laurentii 1628-1705 Laurbecchius, Petrus Laurentii (1628-1705) 1628 1705 1
Laurén, L. L 1824-1884. Laurén, L L (1824-1884) 1824 1884 1
Lehtinen, Taavi 1858-1933. Lehtinen, Taavi (1858-1933) 1858 1933 1
Leino, Eino 1878-1926. Leino, Eino (1878-1926) 1878 1926 1
Lindgren, Anton Wilhelm 1831-1902. Lindgren, Anton Wilhelm (1831-1902) 1831 1902 1
Linkola, K 1888-1942. Linkola, K (1888-1942) 1888 1942 1
Ljungberg, Emmi s. 1848. Ljungberg, Emmi (1848-NA) 1848 NA 1
Löwing, Henric 1708-1768. Löwing, Henric (1708-1768) 1708 1768 1
Lund, David Johannis 1657-1729 Lund, David Johannis (1657-1729) 1657 1729 1
Lundeen, Johannes Johannis 1684-1761. Lundeen, Johannes Johannis (1684-1761) 1684 1761 1
Lybeck, Edvard Wilhelm 1840- Lybeck, Edvard Wilhelm (1840-NA) 1840 NA 1
Manninen, Antti 1831-1866. Manninen, Antti (1831-1866) 1831 1866 1
Martinius, Matthias Martini 1655-1728. Martinius, Matthias Martini (1655-1728) 1655 1728 1
Mathesius, Gabriel Nicolai 1705-1772. Mathesius, Gabriel Nicolai (1705-1772) 1705 1772 1
Miödh, Olaus n. 1706-1760. Miödh, Olaus (1706-1760) 1706 1760 1
Murman, Johan Wilhelm 1830-1892. Murman, Johan Wilhelm (1830-1892) 1830 1892 1
Mustakallio, Jooseppi 1857-1923. Mustakallio, Jooseppi (1857-1923) 1857 1923 1
Neovius, L 1850-1916. Neovius, L (1850-1916) 1850 1916 1
Nordström, Gunnar 1881-1923. Nordström, Gunnar (1881-1923) 1881 1923 1
Numell, Karl Johan 1826-1894. Numell, Karl Johan (1826-1894) 1826 1894 1
Oker-Blom, Max 1863-1917. Oker-blom, Max (1863-1917) 1863 1917 1
P. T k. 1722? P,  (1722-1722) 1722 NA 1
Pakkala, Teuvo 1862-1925. Pakkala, Teuvo (1862-1925) 1862 1925 1
Pärssinen, Hilja 1876-1935. Pärssinen, Hilja (1876-1935) 1876 1935 1
