Term	Count	Frequency
1804-1877.	460	2.5
1818-1898.	353	1.9
1728-1801	232	1.3
1739-1804	213	1.2
1593-1657	206	1.1
1615-1690.	162	0.9
1608-1670	162	0.9
1861-1921.	159	0.9
1716-1779	154	0.8
1617-1688	153	0.8
1650-1718	152	0.8
1684-1771	136	0.7
1700-1776	132	0.7
1842-1936.	131	0.7
1878-1926.	124	0.7
1855-1922.	119	0.6
1706-1769.	113	0.6
1727-1797	105	0.6
1855-1924.	97	0.5
1715-1773	97	0.5
1835-1888.	94	0.5
1724-1804.	90	0.5
1850-1913.	85	0.5
1850-1907.	84	0.5
1864-1935.	83	0.5
1863-1917.	81	0.4
1850-1901.	80	0.4
1760-1852	80	0.4
1859-1931.	77	0.4
1651-1700	77	0.4
1624-1700.	76	0.4
1712-1786	75	0.4
1858-1923.	72	0.4
1860-1898.	70	0.4
1781-1855.	70	0.4
1644-1692	69	0.4
1861-1932.	67	0.4
1868-1918.	66	0.4
1811-1893.	66	0.4
1657-1729	66	0.4
1772-1847.	65	0.4
1866-1937.	62	0.3
1775-1844	62	0.3
1763-1831	62	0.3
1644-1692.	61	0.3
1628-1705	61	0.3
1652-1711	60	0.3
1845-1928	59	0.3
1617-1688.	58	0.3
1844-1897.	57	0.3
k. 1714	56	0.3
1647-1718.	56	0.3
1727-1797.	55	0.3
1847-1914.	54	0.3
1830-1903.	54	0.3
1706-1783	54	0.3
1707-1755	53	0.3
1661-1729	53	0.3
1633-1694	53	0.3
1826-1889.	52	0.3
1807-1881.	51	0.3
1867-1914.	50	0.3
1861-1939.	50	0.3
1765-1836	50	0.3
1722-1803	50	0.3
1660-1704	50	0.3
1834-1872.	49	0.3
1686-1740	48	0.3
1875-1934.	46	0.3
1880-1939.	45	0.2
1870-1920.	45	0.2
1863-1931.	45	0.2
1849-1923.	45	0.2
1806-1881.	44	0.2
1719-1802	44	0.2
1712-1765	44	0.2
1555-1621.	44	0.2
1869-1947.	43	0.2
1794-1846	43	0.2
1609-1664	43	0.2
1855-1921.	41	0.2
1824-1884.	41	0.2
1633-1696	41	0.2
n. 1690-1729.	40	0.2
k. 1664	40	0.2
1874-1959.	40	0.2
1802-1884.	40	0.2
1682-1737	40	0.2
1856-1928.	39	0.2
1608-1670.	39	0.2
1712-1786.	38	0.2
1873-1956.	37	0.2
1863-1934.	37	0.2
1858-1934.	37	0.2
1848-1915	37	0.2
1623-1682	37	0.2
1865-1928.	36	0.2
1802-1872.	36	0.2
1796-1875.	36	0.2
1772-1847	36	0.2
1622-1679	36	0.2
1867-1944.	35	0.2
1853-1946.	35	0.2
1845-1896.	35	0.2
1692-1753.	35	0.2
1633-1694.	35	0.2
1874-1938.	34	0.2
1862-1925.	34	0.2
1857-1913	34	0.2
1851-1932.	34	0.2
1819-1879.	34	0.2
1783-1868	34	0.2
1632-1665	34	0.2
n. 1560-1624.	33	0.2
1864-1925.	33	0.2
1862-1930.	33	0.2
1853-1924.	33	0.2
1838-1919.	33	0.2
1633-1696.	33	0.2
1602-1669	33	0.2
1863-1915.	32	0.2
1857-1899.	32	0.2
1855-1931.	32	0.2
1851-1924.	32	0.2
1878-1932.	31	0.2
1860-1924.	31	0.2
1779-1860	31	0.2
1745-1820	31	0.2
1875-1919.	30	0.2
1867-1948	30	0.2
1842-1927.	30	0.2
1836-1895.	30	0.2
1769-1843	30	0.2
1731-1773	30	0.2
k. 1691.	29	0.2
1724-1803	29	0.2
1650-1707	29	0.2
1874-1966.	28	0.2
1863-1933.	28	0.2
1813-1852.	28	0.2
1785-1848	28	0.2
1636-1708	28	0.2
1785-1848.	27	0.1
1669-1733	27	0.1
1646-1700.	27	0.1
1874-1970.	26	0.1
1868-1936.	26	0.1
1856-1926.	26	0.1
1852-1933.	26	0.1
1844-1930.	26	0.1
1743-1798	26	0.1
1631-1679.	26	0.1
1631-1679	26	0.1
1850-1916.	25	0.1
1847-1930.	25	0.1
1791-1858.	25	0.1
1772-1840	25	0.1
1769-1849	25	0.1
1871-1967	24	0.1
1869-1913.	24	0.1
1839-1899.	24	0.1
1800-1861.	24	0.1
1772-1831	24	0.1
1755-1832.	24	0.1
1661-1729.	24	0.1
1652-1691	24	0.1
1882-1941.	23	0.1
1874-1944	23	0.1
1869-1928.	23	0.1
1862-1938.	23	0.1
1856-1920.	23	0.1
1856-1905.	23	0.1
1806-1875.	23	0.1
1716-1779.	23	0.1
1690-1764	23	0.1
1623-1682.	23	0.1
1879-1946.	22	0.1
1876-1935.	22	0.1
1874-1957.	22	0.1
1870-1930.	22	0.1
1868-1939.	22	0.1
1867-1932.	22	0.1
1865-1930.	22	0.1
1857-1936	22	0.1
1857-1923.	22	0.1
1840-1898.	22	0.1
1834-1875.	22	0.1
1800-1867.	22	0.1
1779-1860.	22	0.1
1717-1774.	22	0.1
1669-1733.	22	0.1
1593-1657.	22	0.1
1885-1945	21	0.1
1868-1934.	21	0.1
1862-1920.	21	0.1
1837-1923.	21	0.1
1829-1903.	21	0.1
1741-1790.	21	0.1
1629-1701.	21	0.1
k. 1740.	20	0.1
1885-1933.	20	0.1
1872-1955.	20	0.1
1854-1942.	20	0.1
1850-1926.	20	0.1
1839-1913.	20	0.1
1837-1915.	20	0.1
1837-1896.	20	0.1
1836-1911.	20	0.1
1835-1909.	20	0.1
1832-1896.	20	0.1
1818-1872.	20	0.1
1776-1823	20	0.1
1655-1732.	20	0.1
1621-1679.	20	0.1
1572-1652.	20	0.1
k. 1679.	19	0.1
1844-1936.	19	0.1
1834-1910.	19	0.1
1823-1913.	19	0.1
1820-1881.	19	0.1
1818-1903	19	0.1
1729-1803.	19	0.1
1666-1724	19	0.1
1651-1700.	19	0.1
1605-1678.	19	0.1
1875-1924	18	0.1
1874-1939.	18	0.1
1869-1957.	18	0.1
1854-1936.	18	0.1
1853-1907.	18	0.1
1849-1937.	18	0.1
1838-1920.	18	0.1
1819-1890.	18	0.1
1791-1839	18	0.1
1737-1817	18	0.1
1874-1943.	17	0.1
1858-1896.	17	0.1
1855-1942.	17	0.1
1849-1914.	17	0.1
1838-1904.	17	0.1
1836-1890.	17	0.1
1831-1902.	17	0.1
1825-1892.	17	0.1
1817-1899.	17	0.1
1794-1860	17	0.1
1773-1832	17	0.1
1690-1764.	17	0.1
1640-1697	17	0.1
k. 1703.	16	0.1
1869-1931.	16	0.1
1862-1910.	16	0.1
1845-1919.	16	0.1
1787-1865.	16	0.1
1776-1821	16	0.1
1762-1831	16	0.1
1740-1789.	16	0.1
1725-1787	16	0.1
1633-1705.	16	0.1
1579-1636.	16	0.1
k. 1717.	15	0.1
1884-1960.	15	0.1
1879-1956.	15	0.1
1859-1931	15	0.1
1824-1895.	15	0.1
1820-1884.	15	0.1
1801-1852.	15	0.1
1790-1860.	15	0.1
1789-1866.	15	0.1
1789-1823	15	0.1
1787-1858	15	0.1
1755-1832	15	0.1
1720-1809.	15	0.1
1693-1750	15	0.1
1636-1708.	15	0.1
n. 1705-1744.	14	0.1
k. 1704.	14	0.1
1879-1941.	14	0.1
1877-1935.	14	0.1
1870-1953.	14	0.1
1864-1924.	14	0.1
1859-1927.	14	0.1
1855-1911.	14	0.1
1853-1923.	14	0.1
1851-1934.	14	0.1
1838-1912.	14	0.1
1817-1897.	14	0.1
1757-1815	14	0.1
1695-1777.	14	0.1
1677-1720.	14	0.1
1625-1679	14	0.1
n. 1687-1754.	13	0.1
n. 1545-1625.	13	0.1
k. 1755.	13	0.1
1884-1929.	13	0.1
1881-1948.	13	0.1
1879-1949.	13	0.1
1861-1938.	13	0.1
1858-1916.	13	0.1
1851-1907.	13	0.1
1848-1913.	13	0.1
1847-1902.	13	0.1
1846-1924.	13	0.1
1839-1894.	13	0.1
1704-1777.	13	0.1
1700-1757.	13	0.1
1693-1750.	13	0.1
1650-1721	13	0.1
1649-1692	13	0.1
1612-1691	13	0.1
1582-1637.	13	0.1
n. 1510-1557.	12	0.1
k. 1737.	12	0.1
k. 1708.	12	0.1
k. 1692.	12	0.1
k. 1675.	12	0.1
1885-1963.	12	0.1
1878-1948.	12	0.1
1873-1938.	12	0.1
1866-1952.	12	0.1
1865-1947.	12	0.1
1864-1945.	12	0.1
1858-1938.	12	0.1
1856-1939.	12	0.1
1855-1939.	12	0.1
1850-1919.	12	0.1
1846-1909.	12	0.1
1844-1895.	12	0.1
1827-1884.	12	0.1
1810-1883.	12	0.1
1800-1867	12	0.1
1794-1860.	12	0.1
1788-1862.	12	0.1
1787-1858.	12	0.1
1739-1804.	12	0.1
1710-1772.	12	0.1
1709-1788.	12	0.1
1707-1755.	12	0.1
1676-1752	12	0.1
1652-1711.	12	0.1
1632-1665.	12	0.1
1612-1683.	12	0.1
k. 1783.	11	0.1
k. 1707.	11	0.1
1886-1950.	11	0.1
1886-1946.	11	0.1
1884-1924.	11	0.1
1875-1947.	11	0.1
1874-1934.	11	0.1
1874-1923.	11	0.1
1872-1950.	11	0.1
1871-1912.	11	0.1
1867-1942.	11	0.1
1863-1937.	11	0.1
1849-1922.	11	0.1
1841-1924.	11	0.1
1831-1866.	11	0.1
1802-1871.	11	0.1
1794-1846.	11	0.1
1781-1841	11	0.1
1779-1850	11	0.1
1776-1809.	11	0.1
1772-1859	11	0.1
1698-1746	11	0.1
1648-1716.	11	0.1
1646-1700	11	0.1
1628-1705.	11	0.1
n. 1656-1690.	10	0.1
k. 1750.	10	0.1
k. 1741.	10	0.1
k. 1720	10	0.1
k. 1690.	10	0.1
1882-1928.	10	0.1
1881-1954.	10	0.1
1880-1937.	10	0.1
1878-1956.	10	0.1
1878-1946.	10	0.1
1878-1942.	10	0.1
1877-1961.	10	0.1
1877-1955	10	0.1
1871-1951.	10	0.1
1866-1933.	10	0.1
1863-1942.	10	0.1
1862-1943	10	0.1
1860-1935.	10	0.1
1857-1925.	10	0.1
1854-1918.	10	0.1
1854-1912.	10	0.1
1852-1946.	10	0.1
1839-1892.	10	0.1
1811-1870.	10	0.1
1807-1879.	10	0.1
1795-1875.	10	0.1
1793-1843.	10	0.1
1773-1837	10	0.1
1739-1771.	10	0.1
1722-1804.	10	0.1
1717-1768.	10	0.1
1713-1791.	10	0.1
1710-1759.	10	0.1
1707-1780	10	0.1
1700-1755.	10	0.1
1693-1764.	10	0.1
1686-1740.	10	0.1
1684-1754.	10	0.1
1676-1752.	10	0.1
1674-1758.	10	0.1
1669-1741.	10	0.1
1667-1739	10	0.1
1661-1704.	10	0.1
1648-1690.	10	0.1
1640-1690.	10	0.1
1611-1682.	10	0.1
1605-1678	10	0.1
k. 1730.	9	0
k. 1710.	9	0
k. 1693.	9	0
1888-1942.	9	0
1879-1950.	9	0
1878-1919.	9	0
1871-1946.	9	0
1869-1954.	9	0
1864-1927.	9	0
1862-1928.	9	0
1856-1929.	9	0
1851-1918.	9	0
1850-1922.	9	0
1848-1893.	9	0
1847-1939.	9	0
1847-1917.	9	0
1846-1902.	9	0
1843-1930.	9	0
