Name	Count
Total count: 	n= 11273  ( 100 % non-NA values)
Petraeus, Aeschillus Olai	229
Svenonius, Enevaldus Svenonis	211
Gyldenstolpe, Michael Olai	201
Kalm, Pehr	176
Scarin, Algothus Asmundi	139
Achrelius, Daniel Erici	130
Thomas Ragvaldinpoika	 93
Vasenius, Valfrid.	 87
Setälä, E. N.	 83
Svebilius, Olaus Georgii	 76
Bång, Petrus Erici	 74
Leinberg, K. G.	 72
Laurbecchius, Petrus Laurentii	 72
Tavaststjerna, K. A.	 70
Päivänsalo, B. H.	 68
Palmén, E. G.	 67
Browallius, Johannes Magni	 65
Björklund, Isaacus	 58
Erkko, J. H.	 56
Alander, Christiernus Caroli	 54
Miltopaeus, Martinus Aeschilli	 52
Alanus, Georgius Christophori	 51
Kataja, Väinö	 50
Tammelinus, Laurentius Gabrielis	 49
Grotenfelt, Kustavi.	 49
Sundwall, F. W.	 47
Larin-Kyösti.	 47
Thuronius, Andreas Thuronis	 46
Maria.	 45
Nycopensis, Nicolaus Laurentii	 43
Clewberg, Carolus Abrahamus	 43
Laurén, L. L.	 42
Schybergson, M. G.	 41
Hjelt, Edv.	 41
Aina	 41
Zilliacus, Konni	 40
Thauvonius, Abrahamus Georgii	 40
Tallqvist, Hj.	 40
Schultén, Nathanael Gerhard af	 39
Hasselqvist, Andreas Benedicti	 38
Sederholm, J. J.	 37
Rosenius, C. O.	 36
Gyldén, C. W.	 36
Sunila, J. E.	 34
Kexlerus, Simon Svenonis	 34
Salenius, J. M.	 33
Kustaa III	 33
Forsius, Sigfridus Aronus	 33
Rosenqvist, G. G.	 32
Forsström, O. A.	 32
Lindelöf, Uno.	 31
Högman, K. J.	 31
Hahnsson, Theodolinda	 31
Frosterus, Benj.	 31
Pijlman, Isaacus Erlandi	 30
Waaranen, K. A.	 28
Nordqvist, Osc.	 28
Björnson, Björnstjerne.	 28
Lindeqvist, K. O.	 27
Bergius, Andreas Andreae	 27
Ståhlberg, K. J.	 26
Waltari, Toimi.	 25
Reijo-Waara, Konr.	 25
Nagajev, A. I.	 25
Schalin, Zachris.	 24
Rosenqvist, V. T.	 24
Ollinen, J. F.	 23
Helsingius, Daniel Georgii	 23
Härkönen, Iivo	 23
Peltonen, Vihtori	 22
Kockström, V. R.	 22
Gummerus, K. J.	 22
Godenhjelm, B. F.	 22
Tallgren, A. M.	 21
Jókai, Mór.	 21
Inha, I. K.	 21
Forstén, T. K.	 21
Cajander, A. K.	 21
Voionmaa, Väinö	 20
Kauppis-Heikki	 20
Granfelt, A. A.	 20
Eurén, G. E.	 20
Elfving, Östen.	 20
Aspelin, J. R.	 20
Strömborg, J. E.	 19
Sederholm, C. R.	 19
Hintikka, S. V.	 19
Genetz, Arvid Th.	 19
Blomqvist, Edv.	 19
Ursin, N. R. af	 18
Tigerstedt, Ericus Erici	 18
Rosenqvist, I. A.	 18
Rantamala, Irmari	 18
Parus Ater	 18
Palmén, J. A.	 18
Nyström, Solmu.	 18
Liro, J. I.	 18
Slotte, K. F.	 17
Rapola, F. O.	 17
Pryss, Andreas Andreae	 17
Hellens, O. von.	 17
Ganander, Christfrid	 17
Danielson-Kalmari, J. R.	 17
Yrjö-Koskinen, Y. K.	 16
Ruuth, J. W.	 16
Ramstedt, G. J.	 16
Niinivaara, Huugo.	 16
Laurell, Axelius Adolphus	 16
Koskenniemi, V. A.	 16
Hildeen, Esaias Henrici	 16
Hainari, O. A.	 16
Grönhagen, K. B.	 16
Florinus, Henricus Matthiae	 16
Rancken, J. Oskar I.	 15
Kivirikko, K. E.	 15
Frosterus, Johannes Abrahami	 15
Europaeus, D. E. D.	 15
Cajander, K. A.	 15
Vuoritsalo, Nuutti.	 14
Tuomas	 14
Suonio.	 14
Sucksdorff, Vilh.	 14
Runa.	 14
Löfman, O. W.	 14
Kares, K. R.	 14
Järvi, T. H.	 14
Dostojevski, F. M.	 14
Colliander, O. I.	 14
Yrjö-Koskinen, E. S.	 13
Vennola, J. H.	 13
Starbäck, C. Georg.	 13
Savola, Alb.	 13
Rantakari, K. N.	 13
Neovius, E. R.	 13
Louhivuori, O. W.	 13
Lindén, K. E.	 13
Krook, Jacobus Benedicti	 13
Keinänen, S. A.	 13
Homén, E. A.	 13
Hästesko, F. A.	 13
Granfelt, O. Hj.	 13
Ericus Erici Sorolainen	 13
Brotherus, V. F.	 13
Bergius, Petrus Andreae	 13
Wallenius, Gabriel Andreae	 12
Samuli S.	 12
Runeberg, J. W.	 12
Relander, H. M. J.	 12
Palomaa, M. H.	 12
Pajula, J. S.	 12
Maunu, J. A.	 12
Lavonius, W. A.	 12
Laurentius Petri Aboicus.	 12
Korhos-Heikki.	 12
Kilpi, Volter	 12
K. H. T.	 12
Kalke, Kosti	 12
Jahnsson, Evald Ferdinand	 12
Hannikainen, K. O. G.	 12
Hagfors, K. J.	 12
Hagelstam, Wentzel.	 12
Gripenberg, G. A.	 12
E. L-n.	 12
Carstenius, Henricus Henrici, vanh.	 12
Alanus, Abrahamus Claudii	 12
A-ï-a.	 12
Wallenius, Johannes Jeremiae	 11
Ursin, Nicolaus Abrahamus	 11
Thillot, Alfr.	 11
Stretton, Hesba.	 11
Schultén, M. W. af.	 11
Sarcovius, Daniel Caroli	 11
Pippingsköld, Josephus Gustavi	 11
Leiviskä, Iivari.	 11
