original	polished	Count
Total count: 	25735	
Runeberg, Johan Ludvig	male	458
Topelius, Zacharias	male	333
Bilmark, Johannes	male	240
Gezelius, Johannes	male	225
Porthan, Henrik Gabriel	male	225
Gyldenstolpe, Michael Olai	male	201
Hahn, Petrus Olai	male	155
Hassel, Henrik	male	134
Achrelius, Daniel Erici	male	130
Leino, Eino	male	124
Achrenius, Abraham	male	116
Mennander, Carl Fredrik	male	113
Tolstoi, Leo.	male	108
Mesterton, Carolus	male	101
Franzén, Frans Michael	male	101
Wanochius, Andreas Jacobi	male	96
Krohn, Julius	male	94
Doyle, Arthur Conan.	male	94
Flachsenius, Jakob	male	86
Gadolin, Johan	male	83
Hjelt, August.	male	82
Oker-Blom, Max	male	80
Bäck, Johannes	male	80
Rudeen, Torsten	male	80
Gebhard, Hannes.	male	75
Bång, Petrus Erici	male	74
Söderhjelm, Werner	male	73
Tolpo, Simon Johannis	male	72
Laurbecchius, Petrus Laurentii	male	72
Ramsay, August.	male	69
Lund, David Johannis	male	68
Bonsdorff, Jacobus	male	68
Nordmann, Petrus	male	67
Järnefelt, Arvid	male	67
Hedberg, Fredrik Gabriel	male	66
Browallius, Johannes Magni	male	65
Rindell, Arthur.	male	62
Hällström, Gustavus Gabriel	male	62
Lagerblad, Elis.	female	59
Munster, Johannes Bernhardi	male	58
Talvio, Maila.	female	57
Canth, Minna	female	57
Wilskman, Ivar.	male	56
Sjöström, Axel Gabriel	male	55
Linsén, Johan Gabriel	male	55
Sahlberg, Carolus Reginaldus	male	53
Ahrenberg, Jac.	male	53
Wallenius, Johannes Fredericus	male	53
Miltopaeus, Martinus Aeschilli	male	52
Cygnaeus, Fredrik	male	51
Linnankoski, Johannes.	male	51
Paul, Adolf.	male	50
Gadolin, Jacobus	male	49
Wegelius, Martin.	male	48
Nervander, Emil.	male	47
Kivi, Aleksis	female	47
Thuronius, Andreas Thuronis	male	46
Estlander, Bernhard	male	45
Snellman, Johan Vilhelm	male	44
Arndt, Johann	male	44
Bergroth, Gustaf Elis.	male	43
Nycopensis, Nicolaus Laurentii	male	43
Frese, Jacob	male	43
Clewberg, Carolus Abrahamus	male	43
Shakespeare, William.	male	42
Ingersoll, Robert.	male	42
Haartman, Johannes Jacobi	male	42
Buxhoevden, Friedrich Wilhelm von.	male	41
Flachsenius, Johan	male	41
Pipping, Fredrik Wilhelm	male	40
Lönnrot, Elias	male	40
Zilliacus, Konni	female	40
Hasselbom, Nicolaus	male	40
Nordenskiöld, Adolf Erik.	male	39
Uotinen, Mikko.	male	39
Westermarck, Edvard.	male	39
Tengström, Jacob	male	39
Schultén, Nathanael Gerhard af	male	39
Ahlqvist, August	male	38
Hasselqvist, Andreas Benedicti	male	38
Lithou, Gustaf	male	37
Gottlund, Carl Axel	male	36
Boldt, Alexander	male	36
