Name	Count
Total count: 	19812
Luther, Martti.	266
Petraeus, Aeschillus Olai	228
Svenonius, Enevaldus Svenonis	211
Kalm, Pehr	176
Aho, Juhani	159
Gadd, Pehr Adrian	159
Scarin, Algothus Asmundi	139
Bonsdorff, E.	133
Grotenfelt, Gösta	119
Thomas Ragvaldinpoika	 93
Vasenius, Valfrid.	 86
Reuter, O. M.	 83
Setälä, E. N.	 81
Fant, Ericus Michael.	 76
Svebilius, Olaus Georgii	 76
Leinberg, K. G.	 72
Juteini, Jaakko	 70
Tavaststjerna, K. A.	 70
Päivänsalo, B. H.	 68
Palmén, E. G.	 67
Päivärinta, Pietari.	 64
Kurvinen, Pietari.	 62
Kempe, Axelius Andreae	 60
Raitio, K.	 60
Björklund, Isaacus	 58
Alander, Christiernus Caroli	 54
Erkko, J. H.	 54
Ross, Isaacus Hermanni	 54
Suomalainen, K.	 52
Alanus, Georgius Christophori	 51
Lefrén, Laurentius Olavi	 51
Kataja, Väinö	 50
Grotenfelt, Kustavi.	 49
Tammelinus, Laurentius Gabrielis	 49
Larin-Kyösti.	 47
Sundwall, F. W.	 47
Lassila, Maiju	 46
Maria.	 45
Snellman, G. R.	 45
Waltari, Toivo	 44
Laurén, L. L.	 42
Lindman, Volmar	 42
Aina	 41
Ervast, Pekka	 41
Schybergson, M. G.	 41
Rein, Thiodolf.	 40
Tallqvist, Hj.	 40
Thauvonius, Abrahamus Georgii	 40
Hjelt, Edv.	 39
Ryle, J. C.	 38
Gummerus, Jaakko.	 37
Pauli, J.	 37
Wrede, R. A.	 37
Gyldén, C. W.	 36
Rosenius, C. O.	 36
Sederholm, J. J.	 36
Wuori, Martti	 36
Virkkunen, Paavo	 35
Finne, Jalmari	 34
Meurman, Agathon.	 34
Pakkala, Teuvo	 34
Sunila, J. E.	 34
Alkio, Santeri	 33
Forsius, Sigfridus Aronus	 33
Gustafsson, F.	 33
Kustaa III	 33
Salenius, J. M.	 33
Wichmann, Yrjö.	 33
Forsström, O. A.	 32
Rosenqvist, G. G.	 32
Hahnsson, Theodolinda	 31
Halme, Kaarle.	 31
Högman, K. J.	 31
Ignatius, K. E. F.	 31
Ingman, Santeri	 31
Koskinen, Yrjö Sakari	 31
Lindelöf, Uno.	 31
Frosterus, Benj.	 30
Hallstén, Onni.	 30
Pijlman, Isaacus Erlandi	 30
Reima, Vilho	 29
Haahti, Hilja	 28
Krohn, Kaarle	 28
Mechelin, L.	 28
Skovgaard-Petersen, C.	 28
Werkko, Kaarle.	 28
Björnson, Björnstjerne.	 27
Heilala, Yrjö.	 27
Lindelöf, L.	 27
