author_name	author_birth	author_death
A	1693	1750
A	1700	NA
A	NA	NA
Alanus, Henricus Henrici	1700	1787
Alanus, Henricus Henrici	1743	1810
Avellan, Michaël	1736	1807
Avellan, Michaël	1771	1855
E	1700	NA
E	1713	1772
E	NA	NA
Falander, Jacobus Erici	1658	1720
Falander, Jacobus Erici	1719	1779
G	1662	1741
G	1700	NA
G	NA	NA
Gezelius, Johannes	1615	1690
Gezelius, Johannes	1647	1718
Gezelius, Johannes	1686	1733
Hougberg, Sven Abraham	1710	1770
Hougberg, Sven Abraham	1759	1827
I	1600	NA
I	1700	1757
I	NA	NA
J	1636	1708
J	1700	NA
J	1709	1788
J	1734	1804
J	NA	NA
Miödh, Abrahamus	1708	1786
Miödh, Abrahamus	1744	1810
Munselius, Ericus	1712	1751
Munselius, Ericus	1743	1802
Nordenskiöld, Carl Fredrik	1702	1779
Nordenskiöld, Carl Fredrik	1756	1828
Palander, Gabriel	1730	1800
Palander, Gabriel	1776	1821
Poppius, Henricus Abrahami	1649	1730
Poppius, Henricus Abrahami	1721	1786
Pryss, Andreas Andreae	1671	1746
Pryss, Andreas Andreae	1702	1761
Rudbeckius, Johannes	1581	1646
Rudbeckius, Johannes	1623	1667
Schultén, Nathanael Gerhard Af	1750	1825
Schultén, Nathanael Gerhard Af	1794	1860
Serlachius, Johannes Johannis	1658	1729
Serlachius, Johannes Johannis	1705	1757
Terserus, Johannes Elai	1605	1678
Terserus, Johannes Elai	1612	1649
Wegelius, Jacobus Henrici	1748	1778
Wegelius, Jacobus Henrici	1768	1804
Winter, Gabriel	1716	1775
Winter, Gabriel	1767	1832
