Name	Count
Runeberg, Johan Ludvig	460
Topelius, Zacharias	354
Luther, Martti	268
Bilmark, Johannes	240
Petraeus, Aeschillus Olai	229
Gezelius, Johannes	225
Porthan, Henrik Gabriel	225
Svenonius, Enevaldus Svenonis	211
Gyldenstolpe, Michael Olai	201
Kalm, Pehr	177
Aho, Juhani	159
Gadd, Pehr Adrian	159
Hahn, Petrus Olai	155
Scarin, Algothus Asmundi	139
Hassel, Henrik	134
Bonsdorff, E	133
Achrelius, Daniel Erici	130
Leino, Eino	124
Grotenfelt, Gösta	119
Achrenius, Abraham	116
Mennander, Carl Fredrik	113
Tolstoi, Leo	109
Franzén, Frans Michael	101
Mesterton, Carolus	101
Wanochius, Andreas Jacobi	 96
Doyle, Arthur Conan	 95
Krohn, Julius	 94
Ragvaldinpoika, Thomas	 94
Vasenius, Valfrid	 87
Flachsenius, Jakob	 86
Reuter, O M	 84
Gadolin, Johan	 83
Setälä, E N	 83
Hjelt, August	 82
Oker-blom, Max	 81
Bäck, Johannes	 80
Rudeen, Torsten	 80
Fant, Ericus Michael	 78
Gebhard, Hannes	 77
Svebilius, Olaus Georgii	 76
Bång, Petrus Erici	 74
Söderhjelm, Werner	 74
J	 72
Laurbecchius, Petrus Laurentii	 72
Leinberg, K G	 72
Tolpo, Simon Johannis	 72
Juteini, Jaakko	 70
Tavaststjerna, K A	 70
Ramsay, August	 69
Bonsdorff, Jacobus	 68
Lund, David Johannis	 68
Päivänsalo, B H	 68
Järnefelt, Arvid	 67
Nordmann, Petrus	 67
Palmén, E G	 67
Browallius, Johannes Magni	 66
Hedberg, Fredrik Gabriel	 66
Päivärinta, Pietari	 64
Rindell, Arthur	 63
Hällström, Gustavus Gabriel	 62
Kurvinen, Pietari	 62
Kempe, Axelius Andreae	 60
Raitio, K	 60
Lagerblad, Elis	 59
Björklund, Isaacus	 58
Munster, Johannes Bernhardi	 58
Canth, Minna	 57
Talvio, Maila	 57
Erkko, J H	 56
Wilskman, Ivar	 56
Ahrenberg, Jac	 55
Linsén, Johan Gabriel	 55
Sjöström, Axel Gabriel	 55
Alander, Christiernus Caroli	 54
Ross, Isaacus Hermanni	 54
Sahlberg, Carolus Reginaldus	 53
Wallenius, Johannes Fredericus	 53
Miltopaeus, Martinus Aeschilli	 52
Suomalainen, K	 52
A	 51
Alanus, Georgius Christophori	 51
Cygnaeus, Fredrik	 51
Lefrén, Laurentius Olavi	 51
Linnankoski, Johannes	 51
Wegelius, Martin	 51
Kataja, Väinö	 50
Paul, Adolf	 50
Gadolin, Jacobus	 49
Grotenfelt, Kustavi	 49
Ingersoll, Robert	 49
Kivi, Aleksis	 49
Tammelinus, Laurentius Gabrielis	 49
Larin-kyösti	 47
Nervander, Emil	 47
Sundwall, F W	 47
Lassila, Maiju	 46
Thuronius, Andreas Thuronis	 46
Estlander, Bernhard	 45
Maria	 45
Snellman, G R	 45
Waltari, Toivo	 45
Arndt, Johann	 44
Bergroth, Gustaf Elis	 44
Snellman, Johan Vilhelm	 44
Clewberg, Carolus Abrahamus	 43
Frese, Jacob	 43
Haartman, Johannes Jacobi	 43
Nycopensis, Nicolaus Laurentii	 43
Ervast, Pekka	 42
Laurén, L L	 42
Lindman, Volmar	 42
Shakespeare, William	 42
Aina	 41
Buxhoevden, Friedrich Wilhelm Von	 41
Flachsenius, Johan	 41
Hjelt, Edv	 41
Lönnrot, Elias	 41
Rein, Gabriel	 41
Schybergson, M G	 41
Hasselbom, Nicolaus	 40
Nordenskiöld, Adolf Erik	 40
Pipping, Fredrik Wilhelm	 40
Rein, Thiodolf	 40
Tallqvist, Hj	 40
Thauvonius, Abrahamus Georgii	 40
Zilliacus, Konni	 40
Schultén, Nathanael Gerhard Af	 39
Tengström, Jacob	 39
Uotinen, Mikko	 39
Westermarck, Edvard	 39
Ahlqvist, August	 38
Hasselqvist, Andreas Benedicti	 38
Ryle, J C	 38
E	 37
Gummerus, Jaakko	 37
Lithou, Gustaf	 37
Pauli, J	 37
Sederholm, J J	 37
Wrede, R A	 37
Boldt, Alexander	 36
Dumas, Alexandre	 36
Gottlund, Carl Axel	 36
Gyldén, C W	 36
Ramsay, Wilhelm	 36
Rosenius, C O	 36
Westermarck, Helena	 36
Wuori, Martti	 36
Hagman, Lucina	 35
Hallstén, Alexander Gustaf Julius	 35
Virkkunen, Paavo	 35
Finne, Jalmari	 34
Forsman, Jaakko	 34
Hoffmann, Alexander Friedrich Franz	 34
Hydén, Arvid	 34
Kexlerus, Simon Svenonis	 34
Meurman, Agathon	 34
öhquist, Johannes	 34
Pakkala, Teuvo	 34
Schmid, Johann Christoph Von	 34
Sunila, J E	 34
Alkio, Santeri	 33
Forsius, Sigfridus Aronus	 33
Gustafsson, F	 33
Helenius-seppälä, Matti	 33
Iii, Kustaa	 33
Lybeck, Mikael	 33
Rosberg, Johan Evert	 33
Salenius, J M	 33
Tuhkanen, Johan Henrik	 33
Wendt, Georg Von	 33
Wichmann, Yrjö	 33
Forsström, O A	 32
Heikel, Axel O	 32
Hellens, Carolus Nicolaus Von	 32
Hult, Ragnar	 32
Rosenqvist, G G	 32
Tigerstedt, Robert	 32
Frosterus, Benj	 31
Hahnsson, Theodolinda	 31
Halme, Kaarle	 31
Heikel, Ivar A	 31
Högman, K J	 31
Ignatius, K E F	 31
Ingman, Santeri	 31
Koskinen, Yrjö Sakari	 31
Lindelöf, Uno	 31
Soininen, Mikael	 31
Ahlman, Frans Ferdinand	 30
Bunyan, John	 30
Gadolin, Gustavus	 30
Hallstén, Onni	 30
Heikel, Viktor	 30
Hertzberg, Rafael	 30
Hjelt, Arthur	 30
Johansson, Gustaf	 30
Kiljander, Robert	 30
Kurikka, Matti	 30
Lie, Jonas	 30
Nylander, Hannes	 30
Ojala, Nestor	 30
Pijlman, Isaacus Erlandi	 30
Terserus, Johannes Elai	 30
Wallenius, Martinus Johannes	 30
C	 29
Gripenberg, Aleksandra	 29
Lindelöf, L	 29
Nyström, Maria	 29
Planman, Andreas	 29
Reima, Vilho	 29
Reuter, Jonatan	 29
Björnson, Björnstjerne	 28
Bonsdorff, Johannes	 28
Castrén, Matias Aleksanteri	 28
G	 28
Haahti, Hilja	 28
K	 28
Krohn, Kaarle	 28
Mechelin, L	 28
Neovius, Adolf	 28
Nordqvist, Osc	 28
Pipping, Hugo	 28
Skovgaard-petersen, C	 28
Trygg-helenius, Alli	 28
Waaranen, K A	 28
Werkko, Kaarle	 28
Aschan, Ossian	 27
Bergius, Andreas Andreae	 27
Heilala, Yrjö	 27
Lindeqvist, K O	 27
Sirén, Osvald	 27
Spurgeon, C H	 27
Strindberg, August	 27
Tengström, Johan Jakob	 27
åberg, Johan Olof	 26
Gorki, Maksim	 26
Homén, Theodor	 26
Kaila, Erkki	 26
Kianto, Ilmari	 26
Lagus, Anders Johan	 26
Lehtonen, Joel	 26
Lindqvist, Johannes Henricus	 26
Niemi, Herman	 26
Paulinus, Simon Pauli	 26
Pietilä, Antti J	 26
Ståhlberg, K J	 26
Ullner, Constance	 26
åström, N	 25
Beck, J T	 25
Bonsdorff, Carl V	 25
Borodkin, M	 25
Käkikoski, Hilda	 25
Laestadius, Lars Levi	 25
London, Jack	 25
Nagajev, A I	 25
Nissinen, Alli	 25
Palmberg, A	 25
Reijo-waara, Konr	 25
Renvall, Thorsten	 25
Tanner, A F	 25
Waltari, Toimi	 25
Aspelin, Eliel	 24
Bodkin, Mc Donnel	 24
Boije, Rolf	 24
Fattenborg, Johannes	 24
Haartman, Johannes Johannis	 24
Hjelt, Vera	 24
Lagerlöf, Selma	 24
Rosenqvist, V T	 24
Schalin, Zachris	 24
Tikkanen, J J	 24
Turgenev, Ivan	 24
Wichmann, V K E	 24
Ailio, Julius	 23
Gossner, Johannes	 23
Gripenberg, Bertel	 23
Härkönen, Iivo	 23
Heinricius, G	 23
Helsingius, Daniel Georgii	 23
Kaslin, Edvin Efraim	 23
Kerkkonen, Kaarlo	 23
Lagerborg, Rolf	 23
Länkelä, Jaakko	 23
Leino, Kasimir	 23
Mellin, Gustaf Henrik	 23
Ollinen, J F	 23
Russell, C T	 23
Saxén, Ralf	 23
Sienkiewicz, Henryk	 23
Swan, Anni	 23
Tarkkanen, Matti	 23
Wahlberg, Ferdinand Von	 23
White, Ellen G	 23
