original	polished	Count
Total count: 	28013	
Luther, Martti.	Luther, Martti	266
Bonsdorff, E.	Bonsdorff, E	133
Tolstoi, Leo.	Tolstoi, Leo	108
Doyle, Arthur Conan.	Doyle, Arthur Conan	94
Vasenius, Valfrid.	Vasenius, Valfrid	86
Reuter, O. M.	Reuter, O. M	83
Hjelt, August.	Hjelt, August	82
Setälä, E. N.	Setälä, E. N	81
Fant, Ericus Michael.	Fant, Ericus Michael	76
Gebhard, Hannes.	Gebhard, Hannes	75
Leinberg, K. G.	Leinberg, K. G	72
Tavaststjerna, K. A.	Tavaststjerna, K. A	70
Ramsay, August.	Ramsay, August	69
Päivänsalo, B. H.	Päivänsalo, B. H	68
Palmén, E. G.	Palmén, E. G	67
Päivärinta, Pietari.	Päivärinta, Pietari	64
Rindell, Arthur.	Rindell, Arthur	62
Kurvinen, Pietari.	Kurvinen, Pietari	62
Raitio, K.	Raitio, K	60
Lagerblad, Elis.	Lagerblad, Elis	59
Talvio, Maila.	Talvio, Maila	57
Wilskman, Ivar.	Wilskman, Ivar	56
Erkko, J. H.	Erkko, J. H	54
Ahrenberg, Jac.	Ahrenberg, Jac	53
Suomalainen, K.	Suomalainen, K	52
Linnankoski, Johannes.	Linnankoski, Johannes	51
Paul, Adolf.	Paul, Adolf	50
Grotenfelt, Kustavi.	Grotenfelt, Kustavi	49
Wegelius, Martin.	Wegelius, Martin	48
Nervander, Emil.	Nervander, Emil	47
Larin-Kyösti.	Larin-kyösti	47
Sundwall, F. W.	Sundwall, F. W	47
Snellman, G. R.	Snellman, G. R	45
Maria.	Maria	45
Bergroth, Gustaf Elis.	Bergroth, Gustaf Elis	43
Laurén, L. L.	Laurén, L. L	42
Shakespeare, William.	Shakespeare, William	42
Ingersoll, Robert.	Ingersoll, Robert	42
Buxhoevden, Friedrich Wilhelm von.	Buxhoevden, Friedrich Wilhelm Von	41
Schybergson, M. G.	Schybergson, M. G	41
Rein, Thiodolf.	Rein, Thiodolf	40
Tallqvist, Hj.	Tallqvist, Hj	40
Nordenskiöld, Adolf Erik.	Nordenskiöld, Adolf Erik	39
Hjelt, Edv.	Hjelt, Edv	39
Uotinen, Mikko.	Uotinen, Mikko	39
Westermarck, Edvard.	Westermarck, Edvard	39
Ryle, J. C.	Ryle, J. C	38
Pauli, J.	Pauli, J	37
Wrede, R. A.	Wrede, R. A	37
Gummerus, Jaakko.	Gummerus, Jaakko	37
Gyldén, C. W.	Gyldén, C. W	36
Sederholm, J. J.	Sederholm, J. J	36
Rosenius, C. O.	Rosenius, C. O	36
Westermarck, Helena.	Westermarck, Helena	35
Hoffmann, Alexander Friedrich Franz.	Hoffmann, Alexander Friedrich Franz	34
Öhquist, Johannes.	öhquist, Johannes	34
Meurman, Agathon.	Meurman, Agathon	34
Sunila, J. E.	Sunila, J. E	34
Schmid, Johann Christoph von.	Schmid, Johann Christoph Von	33
Wichmann, Yrjö.	Wichmann, Yrjö	33
Rosberg, Johan Evert.	Rosberg, Johan Evert	33
Gustafsson, F.	Gustafsson, F	33
Hydén, Arvid.	Hydén, Arvid	33
Wendt, Georg von.	Wendt, Georg Von	33
Salenius, J. M.	Salenius, J. M	33
Tigerstedt, Robert.	Tigerstedt, Robert	32
Forsström, O. A.	Forsström, O. A	32
Heikel, Axel O.	Heikel, Axel O	32
Rosenqvist, G. G.	Rosenqvist, G. G	32
Ignatius, K. E. F.	Ignatius, K. E. F	31
Högman, K. J.	Högman, K. J	31
Halme, Kaarle.	Halme, Kaarle	31
Lindelöf, Uno.	Lindelöf, Uno	31
Hjelt, Arthur.	Hjelt, Arthur	30
Ojala, Nestor.	Ojala, Nestor	30
Hallstén, Onni.	Hallstén, Onni	30
Frosterus, Benj.	Frosterus, Benj	30
Lie, Jonas.	Lie, Jonas	30
Nylander, Hannes.	Nylander, Hannes	30
Kiljander, Robert.	Kiljander, Robert	30
Bunyan, John.	Bunyan, John	30
Nyström, Maria.	Nyström, Maria	29
Reuter, Jonatan.	Reuter, Jonatan	29
Mechelin, L.	Mechelin, L	28
Pipping, Hugo.	Pipping, Hugo	28
Neovius, Adolf.	Neovius, Adolf	28
Werkko, Kaarle.	Werkko, Kaarle	28
Skovgaard-Petersen, C.	Skovgaard-petersen, C	28
Heikel, Ivar A.	Heikel, Ivar A	28
Lindelöf, L.	Lindelöf, L	27
Sirén, Osvald.	Sirén, Osvald	27
Waaranen, K. A.	Waaranen, K. A	27
Strindberg, August.	Strindberg, August	27
Spurgeon, C. H.	Spurgeon, C. H	27
Heilala, Yrjö.	Heilala, Yrjö	27
Lindeqvist, K. O.	Lindeqvist, K. O	27
Björnson, Björnstjerne.	Björnson, Björnstjerne	27
Åberg, Johan Olof.	åberg, Johan Olof	26
Homén, Theodor.	Homén, Theodor	26
