original	polished	Count
Total count: 	n= 21529  ( 50 % non-NA values)	Total count: 
Luther, Martti.	Luther, Martti	266
Bonsdorff, E.	Bonsdorff, E	133
Tolstoi, Leo.	Tolstoi, Leo	108
Doyle, Arthur Conan.	Doyle, Arthur Conan	94
Reuter, O. M.	Reuter, O. M	83
Hjelt, August.	Hjelt, August	82
Fant, Ericus Michael.	Fant, Ericus Michael	76
Gebhard, Hannes.	Gebhard, Hannes	75
Ramsay, August.	Ramsay, August	69
Päivärinta, Pietari.	Päivärinta, Pietari	64
Kurvinen, Pietari.	Kurvinen, Pietari	62
Rindell, Arthur.	Rindell, Arthur	62
Raitio, K.	Raitio, K	60
Lagerblad, Elis.	Lagerblad, Elis	59
Talvio, Maila.	Talvio, Maila	57
Wilskman, Ivar.	Wilskman, Ivar	56
Ahrenberg, Jac.	Ahrenberg, Jac	53
Suomalainen, K.	Suomalainen, K	52
Linnankoski, Johannes.	Linnankoski, Johannes	51
Paul, Adolf.	Paul, Adolf	50
Wegelius, Martin.	Wegelius, Martin	48
Nervander, Emil.	Nervander, Emil	47
Maria.	Maria	45
Snellman, G. R.	Snellman, G. R	45
Bergroth, Gustaf Elis.	Bergroth, Gustaf Elis	43
Ingersoll, Robert.	Ingersoll, Robert	42
Shakespeare, William.	Shakespeare, William	42
Buxhoevden, Friedrich Wilhelm von.	Buxhoevden, Friedrich Wilhelm Von	41
Rein, Thiodolf.	Rein, Thiodolf	40
Nordenskiöld, Adolf Erik.	Nordenskiöld, Adolf Erik	39
Westermarck, Edvard.	Westermarck, Edvard	39
Uotinen, Mikko.	Uotinen, Mikko	39
Ryle, J. C.	Ryle, J. C	38
Wrede, R. A.	Wrede, R. A	37
Pauli, J.	Pauli, J	37
Gummerus, Jaakko.	Gummerus, Jaakko	37
Westermarck, Helena.	Westermarck, Helena	35
Meurman, Agathon.	Meurman, Agathon	34
Öhquist, Johannes.	öhquist, Johannes	34
Hoffmann, Alexander Friedrich Franz.	Hoffmann, Alexander Friedrich Franz	34
Schmid, Johann Christoph von.	Schmid, Johann Christoph Von	33
Rosberg, Johan Evert.	Rosberg, Johan Evert	33
Hydén, Arvid.	Hydén, Arvid	33
Wichmann, Yrjö.	Wichmann, Yrjö	33
Gustafsson, F.	Gustafsson, F	33
Wendt, Georg von.	Wendt, Georg Von	33
Heikel, Axel O.	Heikel, Axel O	32
Tigerstedt, Robert.	Tigerstedt, Robert	32
Ignatius, K. E. F.	Ignatius, K. E. F	31
Halme, Kaarle.	Halme, Kaarle	31
Bunyan, John.	Bunyan, John	30
Ojala, Nestor.	Ojala, Nestor	30
Lie, Jonas.	Lie, Jonas	30
Hjelt, Arthur.	Hjelt, Arthur	30
Kiljander, Robert.	Kiljander, Robert	30
Hallstén, Onni.	Hallstén, Onni	30
Nylander, Hannes.	Nylander, Hannes	30
Reuter, Jonatan.	Reuter, Jonatan	29
Nyström, Maria.	Nyström, Maria	29
Neovius, Adolf.	Neovius, Adolf	28
Pipping, Hugo.	Pipping, Hugo	28
Mechelin, L.	Mechelin, L	28
Heikel, Ivar A.	Heikel, Ivar A	28
Werkko, Kaarle.	Werkko, Kaarle	28
Skovgaard-Petersen, C.	Skovgaard-petersen, C	28
Lindelöf, L.	Lindelöf, L	27
Heilala, Yrjö.	Heilala, Yrjö	27
Spurgeon, C. H.	Spurgeon, C. H	27
Strindberg, August.	Strindberg, August	27
Sirén, Osvald.	Sirén, Osvald	27
Lehtonen, Joel.	Lehtonen, Joel	26
Pietilä, Antti J.	Pietilä, Antti J	26
Åberg, Johan Olof.	åberg, Johan Olof	26
Niemi, Herman.	Niemi, Herman	26
Homén, Theodor.	Homén, Theodor	26
Käkikoski, Hilda.	Käkikoski, Hilda	25
Renvall, Thorsten.	Renvall, Thorsten	25
Åström, N.	åström, N	25
Bonsdorff, Carl v.	Bonsdorff, Carl V	25
Borodkin, M.	Borodkin, M	25
Tanner, A. F.	Tanner, A. F	25
Palmberg, A.	Palmberg, A	25
Beck, J. T.	Beck, J. T	25
Nissinen, Alli.	Nissinen, Alli	25
Trygg-Helenius, Alli.	Trygg-helenius, Alli	25
London, Jack.	London, Jack	25
Hjelt, Vera.	Hjelt, Vera	24
Tikkanen, J. J.	Tikkanen, J. J	24
Boije, Rolf.	Boije, Rolf	24
Wichmann, V. K. E.	Wichmann, V. K. E	24
Turgenev, Ivan.	Turgenev, Ivan	24
Lagerlöf, Selma.	Lagerlöf, Selma	24
Leino, Kasimir.	Leino, Kasimir	23
Saxén, Ralf.	Saxén, Ralf	23
Wahlberg, Ferdinand von.	Wahlberg, Ferdinand Von	23
Länkelä, Jaakko.	Länkelä, Jaakko	23
Lagerborg, Rolf.	Lagerborg, Rolf	23
Aspelin, Eliel.	Aspelin, Eliel	23
Heinricius, G.	Heinricius, G	23
Gripenberg, Bertel.	Gripenberg, Bertel	23
Aschan, Ossian.	Aschan, Ossian	23
White, Ellen G.	White, Ellen G	23
Swan, Anni.	Swan, Anni	23
Ailio, Julius.	Ailio, Julius	23
Bodkin, Mc. Donnel.	Bodkin, Mc. Donnel	23
Russell, C. T.	Russell, C. T	23
Kautsky, Karl.	Kautsky, Karl	22
Schiller, Friedrich von.	Schiller, Friedrich Von	22
Dickens, Charles.	Dickens, Charles	22
Andersen, H. C.	Andersen, H. C	22
Carlsson, Wilh.	Carlsson, Wilh	22
Relander, Lauri Kristian.	Relander, Lauri Kristian	22
Cederberg, A. R.	Cederberg, A. R	22
Haapanen, Urho Viljo.	Haapanen, Urho Viljo	22
Mellberg, E. J.	Mellberg, E. J	21
Erslev, Edouard.	Erslev, Edouard	21
Sienkiewicz, Henryk.	Sienkiewicz, Henryk	21
Lindelöf, Ernst.	Lindelöf, Ernst	21
Verne, Jules.	Verne, Jules	21
Danielson, Joh. Rich.	Danielson, Joh. Rich	21
Hermanson, Robert.	Hermanson, Robert	21
Sandelin, L. H.	Sandelin, L. H	21
Johnsson, August Mikael.	Johnsson, August Mikael	21
Caine, Hall.	Caine, Hall	21
Aro, J. E.	Aro, J. E	21
Haataja, Kyösti.	Haataja, Kyösti	21
Mörne, Arvid.	Mörne, Arvid	20
Lilius, Axel.	Lilius, Axel	20
Roos, Magnus Friedrich.	Roos, Magnus Friedrich	20
