author_name	Count
Runeberg, Johan Ludvig	460
Topelius, Zacharias	351
Luther, Martti.	252
Aho, Juhani	159
Bonsdorff, E.	133
Leino, Eino	124
Grotenfelt, Gösta	118
Tolstoi, Leo.	109
Krohn, Julius	 94
Doyle, Arthur Conan.	 93
Vasenius, Valfrid.	 87
Reuter, O. M.	 84
Setälä, E. N.	 83
Oker-Blom, Max	 81
Bäck, Johannes	 80
Hjelt, August.	 79
Gebhard, Hannes.	 75
Söderhjelm, Werner	 74
Leinberg, K. G.	 72
Juteini, Jaakko	 70
Tavaststjerna, K. A.	 70
Ramsay, August.	 69
Päivänsalo, B. H.	 68
Palmén, E. G.	 67
Nordmann, Petrus	 67
Järnefelt, Arvid	 67
Hedberg, Fredrik Gabriel	 66
Päivärinta, Pietari.	 64
Rindell, Arthur.	 62
Kurvinen, Pietari.	 62
Raitio, K.	 60
Lagerblad, Elis.	 59
Franzén, Frans Michael	 58
Talvio, Maila.	 57
Canth, Minna	 57
Wilskman, Ivar.	 56
Erkko, J. H.	 56
Ahrenberg, Jac.	 53
Suomalainen, K.	 52
Wegelius, Martin.	 51
Linnankoski, Johannes.	 51
Cygnaeus, Fredrik	 50
Paul, Adolf.	 50
Kataja, Väinö	 50
Kivi, Aleksis	 49
Ingersoll, Robert.	 49
Grotenfelt, Kustavi.	 48
Nervander, Emil.	 47
Larin-Kyösti.	 47
Sundwall, F. W.	 47
Lassila, Maiju	 46
Waltari, Toivo	 45
Maria.	 45
Estlander, Bernhard	 45
Bergroth, Gustaf Elis.	 44
Snellman, G. R.	 44
Snellman, Johan Vilhelm	 44
Laurén, L. L.	 42
Shakespeare, William.	 42
Lindman, Volmar	 42
Ervast, Pekka	 42
Schybergson, M. G.	 41
Hjelt, Edv.	 41
Lönnrot, Elias	 41
Nordenskiöld, Adolf Erik.	 40
Svebilius, Olaus Georgii	 40
Aina	 40
Rein, Thiodolf.	 40
Tallqvist, Hj.	 40
Zilliacus, Konni	 40
Uotinen, Mikko.	 39
Westermarck, Edvard.	 39
Ahlqvist, August	 38
Ryle, J. C.	 38
Arndt, Johann	 38
Pauli, J.	 37
Wrede, R. A.	 37
Sederholm, J. J.	 37
Gummerus, Jaakko.	 37
Ramsay, Wilhelm	 36
Dumas, Alexandre	 36
Wuori, Martti	 36
Rosenius, C. O.	 36
Gyldén, C. W.	 35
Gottlund, Carl Axel	 35
Boldt, Alexander	 35
Hagman, Lucina	 35
Westermarck, Helena.	 35
Virkkunen, Paavo	 35
Hoffmann, Alexander Friedrich Franz.	 34
Schmid, Johann Christoph von.	 34
Öhquist, Johannes.	 34
Hydén, Arvid.	 34
Pakkala, Teuvo	 34
Meurman, Agathon.	 34
Finne, Jalmari	 34
Sunila, J. E.	 34
Hallstén, Alexander Gustaf Julius	 34
Tuhkanen, Johan Henrik	 33
Lybeck, Mikael	 33
Wichmann, Yrjö.	 33
Rosberg, Johan Evert.	 33
Gustafsson, F.	 33
Wendt, Georg von.	 33
Salenius, J. M.	 33
Helenius-Seppälä, Matti	 33
Alkio, Santeri	 33
Tigerstedt, Robert.	 32
Forsström, O. A.	 32
Hult, Ragnar	 32
Heikel, Axel O.	 32
Rosenqvist, G. G.	 32
Achrenius, Abraham	 32
Hahnsson, Theodolinda	 31
Koskinen, Yrjö Sakari	 31
Ignatius, K. E. F.	 31
Ingman, Santeri	 31
Högman, K. J.	 31
Soininen, Mikael	 31
Halme, Kaarle.	 31
Frosterus, Benj.	 31
Lindelöf, Uno.	 31
Heikel, Ivar A.	 31
Linsén, Johan Gabriel	 30
Hjelt, Arthur.	 30
Heikel, Viktor	 30
Ojala, Nestor.	 30
Hallstén, Onni.	 30
Ahlman, Frans Ferdinand	 30
Lie, Jonas.	 30
Nylander, Hannes.	 30
Kiljander, Robert.	 30
Hertzberg, Rafael	 30
Kurikka, Matti	 30
Gripenberg, Aleksandra	 29
Nyström, Maria.	 29
Lindelöf, L.	 29
Reuter, Jonatan.	 29
Reima, Vilho	 29
Mechelin, L.	 28
Pipping, Hugo.	 28
Nordqvist, Osc.	 28
Neovius, Adolf.	 28
Werkko, Kaarle.	 28
Waaranen, K. A.	 28
Skovgaard-Petersen, C.	 28
Krohn, Kaarle	 28
Haahti, Hilja	 28
Bunyan, John.	 28
Johansson, Gustaf	 28
Björnson, Björnstjerne.	 28
Castrén, Matias Aleksanteri	 28
Aschan, Ossian.	 27
Sirén, Osvald.	 27
Strindberg, August.	 27
Spurgeon, C. H.	 27
Heilala, Yrjö.	 27
Lindeqvist, K. O.	 27
Åberg, Johan Olof.	 26
Gorki, Maksim	 26
Homén, Theodor.	 26
Ullner, Constance	 26
Ståhlberg, K. J.	 26
Pietilä, Antti J.	 26
Lehtonen, Joel.	 26
Kianto, Ilmari	 26
Kaila, Erkki	 26
Niemi, Herman.	 26
Beck, J. T.	 25
Palmberg, A.	 25
Borodkin, M.	 25
Reijo-Waara, Konr.	 25
Bonsdorff, Carl v.	 25
Åström, N.	 25
Waltari, Toimi.	 25
Nissinen, Alli.	 25
Käkikoski, Hilda.	 25
London, Jack.	 25
Renvall, Thorsten.	 25
Trygg-Helenius, Alli.	 25
Tanner, A. F.	 25
Laestadius, Lars Levi	 25
Nagajev, A. I.	 25
Rein, Gabriel	 24
Aspelin, Eliel.	 24
Wichmann, V. K. E.	 24
Turgenev, Ivan.	 24
Rosenqvist, V. T.	 24
Schalin, Zachris.	 24
Forsman, Jaakko	 24
Boije, Rolf.	 24
Lagerlöf, Selma.	 24
Tikkanen, J. J.	 24
Hjelt, Vera.	 24
Länkelä, Jaakko.	 23
Wahlberg, Ferdinand von.	 23
Mellin, Gustaf Henrik	 23
Leino, Kasimir.	 23
Lagerborg, Rolf.	 23
Saxén, Ralf.	 23
Bodkin, Mc. Donnel.	 23
Gripenberg, Bertel.	 23
Tarkkanen, Matti	 23
Heinricius, G.	 23
Sienkiewicz, Henryk.	 23
Härkönen, Iivo	 23
