Name	Count	Count
Total count: 	n=690 (34500% non-NA values)	Total count: 
å	1	1
a:son	1	1
aadolf	1	1
aage	1	1
aaku	1	1
aapel	1	1
aarni	1	1
aarno	1	1
aate	1	1
abr	1	1
abrah	1	1
abrahami	1	1
abrahamsson	1	1
abrahamus	1	1
achatius	1	1
adamsson	1	1
adelaïde	1	1
adèle	1	1
adolfson	1	1
aegydius	1	1
aelius	1	1
aeschilli	1	1
aeschillus	1	1
af	1	1
agardh	1	1
agaton	1	1
agnar	1	1
ahasverus	1	1
ain'elisabet	1	1
åke	1	1
aladár	1	1
alb	1	1
albrekt	1	1
alexandri	1	1
alfr	1	1
alfrid	1	1
algot	1	1
algothus	1	1
algotus	1	1
aliina	1	1
alku	1	1
alvilde	1	1
amberni	1	1
ambernus	1	1
andin	1	1
andr	1	1
andreae	1	1
andrejevna	1	1
andreo	1	1
annæus	1	1
antinpoika	1	1
antipovitsh	1	1
antonsson	1	1
antto	1	1
anundus	1	1
ape	1	1
arkadij	1	1
armgaard	1	1
armi	1	1
aronus	1	1
arvid?	1	1
arvidi	1	1
arvidsson	1	1
arvidus	1	1
arwid	1	1
asmundi	1	1
astolf	1	1
atri	1	1
atterdag	1	1
aug	1	1
auli	1	1
av	1	1
avg	1	1
axelii	1	1
axelius	1	1
axelsson	1	1
babington	1	1
babtist	1	1
bartholdi	1	1
bartholdsson	1	1
bartholdus	1	1
bartholli	1	1
barthollus	1	1
bartoldi	1	1
béla	1	1
benedicti	1	1
benet	1	1
bengtsson	1	1
benj	1	1
benjamini	1	1
berenardus	1	1
berendt	1	1
bergeri	1	1
bergerus	1	1
bergroth	1	1
bering	1	1
bernh	1	1
bernhardi	1	1
bernhardus	1	1
birgeri	1	1
birgerus	1	1
björnstjerne	1	1
blairfindie	1	1
blechert	1	1
bogislaus	1	1
boileau	1	1
bolesław	1	1
borge	1	1
bouck	1	1
bourgevin	1	1
bourguignon	1	1
bracebridge	1	1
broderus	1	1
bror	1	1
brownlow	1	1
brynolf	1	1
brynolphi	1	1
buttz	1	1
calr	1	1
canuti	1	1
canutus	1	1
capell	1	1
carington	1	1
carit	1	1
carlsson	1	1
caroli	1	1
caspari	1	1
casparides	1	1
casparus	1	1
catri	1	1
catulle	1	1
cé́lia	1	1
ch	1	1
chilosson	1	1
chr	1	1
christersson	1	1
christfrid	1	1
christiani	1	1
christierni	1	1
christiernsson	1	1
christiernus	1	1
christopheri	1	1
christophori	1	1
churton	1	1
claës	1	1
claesson	1	1
clas	1	1
claudii	1	1
clavering	1	1
conradsson	1	1
const	1	1
constantinus	1	1
cram	1	1
crona	1	1
crusentolpe	1	1
cunrad	1	1
cutcliffe	1	1
danielsson	1	1
davidis	1	1
didericus	1	1
didrik	1	1
didriksson	1	1
diedericus	1	1
dietericus	1	1
dikken	1	1
dodo	1	1
é	1	1
ebbori	1	1
édouard	1	1
edv	1	1
edva	1	1
edvardus	1	1
ee	1	1
eeli	1	1
eelis	1	1
eemi	1	1
eemil	1	1
eemili	1	1
eevert	1	1
efr	1	1
eglanton	1	1
ehrenfr	1	1
eia	1	1
eiler	1	1
eilhardus	1	1
eine	1	1
elaus	1	1
elavus	1	1
eliae	1	1
eliasson	1	1
elisaeus	1	1
ellida	1	1
elviira	1	1
émile	1	1
emmuska	1	1
eneroth	1	1
enevald	1	1
enevaldus	1	1
engb	1	1
engelbrekt	1	1
ensiö	1	1
erichsson	1	1
erici	1	1
eriksson	1	1
erlandi	1	1
erlandus	1	1
ernesti	1	1
ernstv	1	1
esaiae	1	1
esbjörn	1	1
étienne	1	1
eucharius	1	1
eug	1	1
eugène	1	1
evald	1	1
evensen	1	1
evertsson	1	1
evg	1	1
ewert	1	1
ewgenij	1	1
favell	1	1
félix	1	1
fenimore	1	1
ferdinánd	1	1
ferencz	1	1
fielden	1	1
filaret	1	1
filonegros	1	1
firmianus	1	1
fjalar	1	1
fortuné	1	1
freder	1	1
frédéric	1	1
frederici	1	1
fredr	1	1
fredricus	1	1
fredrique	1	1
frid	1	1
frider	1	1
friderich	1	1
fridericus	1	1
fridolf	1	1
fridtjuv	1	1
friedebert	1	1
friedr	1	1
frith	1	1
frithiof	1	1
fritiof	1	1
gabrielis	1	1
gabrielsson	1	1
gardonyi	1	1
