Name	Count
Total count: 	n=58 (100% non-NA values)
Z.	1
X.	1
X	1
W.	1
V.	1
-u.	1
S. N.	1
S. M.	1
S. L.	1
S. H.	1
S. G.	1
S. F.	1
S. B.	1
S. A.	1
-s.	1
P.	1
-n.	1
-n	1
Mr. C.	1
M.	1
L., V.	1
L.	1
K., K. M.	1
K., C. v.	1
K.	1
I. V.	1
I. S.	1
I. R.	1
I. M.	1
I. K.	1
I. E.	1
I.	1
-i.	1
H., Matti.	1
H.	1
G., N.	1
...g	1
B.	1
A. W.	1
A. V.	1
A. S.	1
A. N.	1
A. L., 1842-1914.	1
A. L.	1
A. K.	1
A. H.	1
A. F.	1
A. D.	1
A. C.	1
A. B.	1
A. A.	1
A.	1
7. 8. 9.	1
4. 5. 6.	1
16. 17. 18.	1
13. 14. 15.	1
1. 2. 3.	1
10. 11. 12.	1
