author_name author_birth author_death
Luther, Martti NA NA
Hainari, O A NA NA
Päivärinta, Pietari NA NA
Caselius, O J NA NA
Luthardt, Christian Ernst NA NA
Wainio, Edvard August NA NA
Bergstrand, A NA NA
Hultin, Arvid NA NA
Päivänsalo, B H NA NA
Karsten, T E NA NA
Blomberg, K E NA NA
Wilskman, Ivar NA NA
Ikonen, Leander NA NA
Braddon, M E NA NA
Jalanne, Juhani NA NA
Stead, F Herbert NA NA
Leverkühn, Paul NA NA
Halinen, Helena NA NA
Celsius, Olavus NA NA
Tolstoi, Leo NA NA
Schulman, Hjalmar NA NA
Schmid, Johann Christoph Von NA NA
Narrey, Ch NA NA
Flood, Just Wright NA NA
Lundeqvist, Nils Wilhelm NA NA
Käkikoski, Hilda NA NA
Svahnström, A R NA NA
Eichendorff, Joseph Von NA NA
Fliesberg, Carl NA NA
Heikinheimo, V A NA NA
Haydn, Joseph NA NA
Stachaeus, Laurentius Zachariae 1696 NA
Aschan, Ossian NA NA
Luther, Martti NA NA
Merle D'aubigné, Jean Henri NA NA
Jokinen, E NA NA
Hagfors, K J NA NA
Bergstedt, Karl NA NA
Tigerstedt, Robert NA NA
Roos, Magnus Friedrich NA NA
Sheldon, Charles M NA NA
Sandelin, L H NA NA
Ojala, Nestor NA NA
Hahl, Jalmari NA NA
Vakaa, Gustaf Adolf NA NA
Reuterholm, Gustaf Adolf NA NA
Kanninen, August NA NA
Bonsdorff, Karl Robert NA NA
Luther, Alex NA NA
Erichsson, Anders NA NA
Gripenberg, Adolph Johan NA NA
Agnoostos NA NA
Pellikka, Johan NA NA
Karjalainen, Eero NA NA
Bohlin, B NA NA
Westerlund, A NA NA
Korpimaa, Timo NA NA
Erkko, J H NA NA
Valk, Gerardo NA NA
Suomalainen, Jaakko NA NA
Wilcox, Thomas NA NA
Palander, Hugo NA NA
Snellman, Paavo NA NA
Aridlander, Johannes Henrici 1665 NA
Fant, Ericus Michael NA NA
Pratt, Ambrose NA NA
Lindelöf, Ernst NA NA
Björnson, Björnstjerne NA NA
Wilhelmiina NA NA
Haggard, H Rider NA NA
Winkler, Heinrich NA NA
Seton, Ernest Thompson NA NA
Tanner, K O NA NA
Ohls, P E NA NA
Meinander, K K NA NA
Texas, Jack NA NA
Hornborg, Eirik NA NA
Sunila, J E NA NA
Buscherus, Martinus Martini 1745 NA
Wichmann, S E NA NA
österviking NA NA
Stevenson, Robert Louis NA NA
Mollin, Jonas 1734 NA
Leinberg, K G NA NA
Fabricius, Adam Kristoffer NA NA
Kurvinen, Pietari NA NA
Voipio, Viljo NA NA
Wilhelmina NA NA
Björnson, Björnstjerne NA NA
Haanpää, Vilho NA NA
Pesonen, E J NA NA
Alanus, Abrahamus Claudii 1720 NA
Relander, Lauri Kristian NA NA
Käkikoski, Hilda NA NA
Ehrström, Erik NA NA
Travers, Rosalind NA NA
Johansson, Severin NA NA
Talvio, Maila NA NA
Zschokke, Heinrich NA NA
Granfelt, George Fredrik NA NA
Gabriels, Axel NA NA
Angelini, J E NA NA
Wichmann, Yrjö NA NA
Markkula, Auli NA NA
Lönnbeck, Gustaf F NA NA
Dubois, Paul NA NA
åberg, Johan Olof NA NA
Justander, Johannes Erici NA NA
Elfving, Jenny NA NA
Wegelius, Martin NA NA
