"","x"
"1","Pietari"
"2","Pietarissa"
"3","St Peterburg"
"4","St Petersburg"
"5","Petrograd"
"6","Sanktpeterburg"
"7","Sankt Peterburg"
"8","St Pietarbori"
"9","St Pietarborissa"
"10","Peterburis"
"11","St Petersbourg"
"12","Piotrogrod"
"13","St Petersborg"
"14","Sanktpeterburg'"
"15","S Peterburg"
"16","S Peterburg'"
"17","St Pétersbourg"
"18","Piotrogród"
"19","Petrograd'"
"20","St Petersbrg"
"21","S t Petersburg"
"22","Pietäri"
"23","St Petterburg"
"24","St Peterbourg"
"25","Sanktpeterburg''"
"26","S Peterburg''"
"27","Petrograd''"
"28","St Pétersburg"
"29","S Petersburg"
"30","Sankt Peterburg'"
"31","Sankt' Peterburg'"
