"","x"
"1","Pietari"
"2","Pietarissa"
"3","St Peterburg"
"4","St Petersburg"
"5","Petrograd"
"6","Sanktpeterburg"
"7","Sankt Peterburg"
"8","St Pietarbori"
"9","St Pietarborissa"
"10","Peterburis"
"11","St Petersbourg"
"12","Piotrogrod"
"13","St Petersborg"
"14","S Peterburg"
"15","St Pe´tersbourg"
"16","Piotrogro´d"
"17","St Petersbrg"
"18","Pietäri"
"19","Sankt' Peterburg"
"20","St Petterburg"
"21","St Peterbourg"
"22","St Pe´tersburg"
"23","S Petersburg"
"24","SPeterburg"
"25","S Peterburg'"
"26","Peterburg"
"27","Petersburg"
