"","x"
"1","Tukholma"
"2","Tukholmassa"
"3","Stockholm"
"4","Stockholmiae"
"5","Stockholmin"
"6","Stockholman"
"7","Stockholme"
"8","Holmiae"
"9","Stuckhulmisa"
"10","Stockh"
"11","Stocholmiae"
"12","Stockhomin"
"13","Tukhulmi"
"14","Stockholmis"
"15","Stocholm"
"16","Stokcholm"
"17","Stokholm"
"18","Sto´ckholm"
"19","Stokholmis"
"20","Stokholmiae"
"21","Stokholmi"
"22","Stocholmis"
"23","Stocholmin"
"24","Stocholmisa"
"25","Stockhulmisa"
"26","Socholm"
"27","Stockhom"
"28","Stock"
"29","Sthocholm"
"30","Stuckholmis"
"31","Stukhulmisa"
"32","Stuckhulmis"
"33","Stckholm"
"34","Stockholmisa"
"35","Stockholmissa"
"36","Stokholmisa"
"37","Stokkholmisa"
"38","Stockhomisa"
"39","Stockholmjsa"
"40","Stocklom"
"41","Sotckholm"
"42","Stockholmi sa"
