original gatherings.original width.original height.original obl.original gatherings width height obl area
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
11 x 15 cm. NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
28-37 cm. NA NA NA FALSE NA NA NA 0 NA
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
4:o. 4to NA NA FALSE 4to 22 28 0 616
[8:o]. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
11 x 18 cm. NA NA NA FALSE NA NA NA 0 NA
16:o. 16mo NA NA FALSE 16mo 12 15 0 180
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o + 4long NA NA FALSE 4long 27 35 0 945
31 cm. NA NA 31 FALSE NA 21 31 0 651
23 cm. NA NA 23 FALSE 4to 18 23 0 414
11 x 18 cm. NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
[1:o]. 1to NA NA FALSE 1to 60 90 0 5400
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
18 cm. NA NA 18 FALSE NA 12 18 0 216
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
22 cm. NA NA 22 FALSE 8vo 15 22 0 330
4:o. 4to NA NA FALSE 4to 22 28 0 616
16:o. 16mo NA NA FALSE 16mo 12 15 0 180
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
18 cm. NA NA 18 FALSE NA 12 18 0 216
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
1:o. 1to NA NA FALSE 1to 60 90 0 5400
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
18:o. 18mo NA NA FALSE 18mo 10 16 0 160
NA NA NA NA FALSE NA NA NA 0 NA
1:o. 1to NA NA FALSE 1to 60 90 0 5400
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
4:o. 4to NA NA FALSE 4to 22 28 0 616
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
fol. 2fo NA NA FALSE 2fo 30 45 0 1350
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
59 x 48,6 cm, plate 60,5 x 52 cm. NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
9 x 16 cm NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
23 cm. NA NA 23 FALSE 4to 18 23 0 414
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
o. NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
9 x 15 cm NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
fol. 2fo NA NA FALSE 2fo 30 45 0 1350
4:o. 4to NA NA FALSE 4to 22 28 0 616
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
folio. 2fo NA NA FALSE 2fo 30 45 0 1350
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o + 8long NA NA FALSE 8long 13 22 0 286
4:o. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
12:o. 12mo NA NA FALSE 12mo 12.5 19 0 237.5
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
9 x 16 cm NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
22 cm. NA NA 22 FALSE 8vo 15 22 0 330
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
23 cm + NA NA 23 FALSE 4to 18 23 0 414
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
[4:o[. 4to NA NA FALSE 4to 22 28 0 616
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
21 cm. NA NA 21 FALSE NA 14 21 0 294
16:o. 16mo NA NA FALSE 16mo 12 15 0 180
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
4:o. 4to NA NA FALSE 4to 22 28 0 616
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
32 x 30 cm. NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
NA NA NA NA FALSE NA NA NA 0 NA
1:o. 1to NA NA FALSE 1to 60 90 0 5400
1:o. 1to NA NA FALSE 1to 60 90 0 5400
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
16:o. 16mo NA NA FALSE 16mo 12 15 0 180
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
8:o. 8vo NA NA FALSE 8vo 13 19 0 247
2:o. 2fo NA NA FALSE 2fo 30 45 0 1350
4:o. 4to NA NA FALSE 4to 22 28 0 616
NA NA NA NA FALSE NA NA NA 0 NA
