original 
[8], 302, [1] s. 311
[?] s. NA
S. 101-110. 10
99, [3] s. 102
59, [1] s. 60
[?] s. NA
[1-2] 3-84 s. 84
32 s. 32
[6], [1] 2-43 [44-46] s. 53
[8] s. 8
[8] s. 8
222 s. 222
[12], 40, [4] s. 56
[4] s. 4
[6], 121 s. 127
[8] s. 8
10 s. 10
S. 81-142 62
210 s. 210
[16] s. 16
15 s. 15
250 s. 250
43 s., [3] kuvalehteä 49
[4], 54, [6] s. 64
12 s. 12
71 s. 71
21 s. 21
20 s. 20
[4], 121, [2] s., 5 kuvalehteä 137
512 s. 512
NA NA
S. [79]-126 48
[48] s. (s. [48] tyhjä) 48
VIII, 260 s., 75 kuvaa 418
[6], 123 s. 129
[4] s. 4
[2] s. 2
[?] s. NA
S. 72-103. 32
132 s. 132
171 s., 1 kartta 173
110 s. 110
[4] s. 4
22 s. 22
VIII, 81 s. 89
21 s. 21
[4] s. 4
43 s. 43
1 kartta 2
[48] s. 48
287 s. 287
[2] s. 2
53 s. 53
[1] lehti (verso tyhjä) 2
9 s. 9
[4] s. 4
16 s. 16
14 s. 14
8 s. 8
61 s. 61
[8] s. 8
22 s. 22
159 s. 159
8 s. 8
7 s. 7
[2], 111 s., 2 pl., 1 karta 115
135 s. 135
[1-3] 4-75 [76] s. 76
147 s. 147
29 s. 29
97 s. 97
[19], 547 s. 566
320 s. 320
[2] s., s. 193-209. 19
55 s. 55
[8], [1] 2-36 [37-38] s. 47
[4] s. 4
16 s. 16
[4], VII, 363 s. 374
NA NA
[180] s. 180
[2], 247 s. 249
98 s. 98
[2] s. 2
NA NA
151 s. 151
[2], 29, [1] s. 32
[2], 63, [3] s. 68
10 s. 10
[2] s. 2
248 s. 248
74 s. 74
NA NA
107 s. 107
36 s., 22 s., kuvaliite, 28 , 24 s. 38
86 s. 86
[8] s. 8
108 s. 108
18 s. 18
[2] s., s. 9-16, 3-4 18
[2], [1] 2-16 s. 18
39      s. 39
[12] s. 12
[2], 71, [1] s. 74
NA NA
28 s. 28
NA NA
S. 91-103. 13
[VI], 377 s. 383
19, [1] s. 20
14 s. 14
67 s., annonser 67
124 s. 124
NA NA
137 s. 137
13 s. 13
16 s. 16
360 s. 360
[4], 122 s., [2] ilmoitussivua 126
[8] s. 8
20 s. 20
[4] s. 4
4 s. 4
[42], [1] 2-103 [104-114] s. 157
30, 32 s. 32
V, 91, [1] s., 9 tabb., 1 karta 99
36 s. 36
[1-3] 4-112 s. 112
[4] s. 4
[16] s. 16
[8], 20, [4] s. 32
[4], 55 s. 59
316, [1] s. 317
[2] s. 2
[4] s. 4
24 s. 24
60 s. 60
13 s. 13
[20], 111, [36] p., [2] leaves of plates 171
108 s. 108
251 s. 251
[4], 168, [2] s. 174
[4] s. 4
8 s. 8
24 s. 24
375 s. 375
1 kartta 2
12 s. 12
91 s. 91
[3] s. 3
91 s. 91
69, [1] s., 1 taulukkoliite 70
[8] s. 8
16 s. 16
XVI, 693 s., [3] karttas. 715
[?] s. NA
45 s. 45
252 s. 252
[8], 136 s. 144
[1] s. 1
38 s. 38
3 s. 3
23 s. 23
[4] s. 4
96 s. 96
16 s. 16
NA NA
[2] s., s. 33-40 10
42 s. 42
111 s. 111
49 s. 49
8 s. 8
10 s. 10
[8] s. 8
42 s. 42
[2], 28 s. 30
1 kartta 2
2 s. 2
NA NA
124 s. 124
[4] s. 4
94 s. 94
25 s. 25
[8] s. (s. [2] tyhjä) 8
[4] s. (s. [2] tyhjä) 4
[32] s. 32
[1] s. 1
77 s. 77
32 s. 32
[4] s. 4
319 s. 319
23 s. 23
62 s. 62
NA NA
12 s., 9 tabb. 12
50, 2 s. 50
72 s. 72
64 s. 64
177, [2] s. 179
27, [1] s. 28
14, [3] s. 17
[4] s. 4
23 s. 23
[4] s. 4
33 s. 33
[4] s. 4
54 s. 54
16 s. 16
[1] 2-6 s. 6
[2], 22 s. 24
XIV, 238, 184, 123 s., 2 tabb. 252
58 s. 58
NA NA
[4] s. 4
127, [4] s. 131
11 s. 11
[8], 109 s. 117
128, [1] s. 129
48 s. 48
105 s. 105
6 s. 6
43 s. 43
NA NA
44 s. 44
[18-?] s. 18
80 s. 80
[4] s. 4
[1] s. 1
4 s. 4
[20] s. 20
[2] s., s. 217-232, [2] s. 20
166 palsta NA
159 s. 159
16 s. 16
8 s. 8
31 s. 31
12 s. 12
96 s. 96
115 s. 115
55, [1] s. 56
35 s. 35
[300] s. 300
43 s. 43
[4], 208 s., 2 taulukkol. 212
[4] s., s. [15]-34 24
286 s. 286
48 s. 48
253 s. 253
38 s. 38
53 s. 53
[3] s. 3
16, 16 s. 16
21 s. 21
34 s. 34
[4], [1] 2-36 s. 40
[4], 1056, [2] s. 1062
1 kartta 2
55 s. 55
