Name	Count
Total count: 	18935
Frenckell, Johan Christopher II (kirjapaino, Turku, 1785-1814)	2203
Londicer, Georg Wilhelm (kirjapaino, Vaasa, 1776-1804)	2105
Frenckell, Johan Christopher I (kirjapaino, Turku, 1761-1779)	1741
Wall, Johan Larsson (kirjapaino, Turku, 1679-1710)	1404
Hansson, Peter (kirjapaino, Turku, 1654-1679)	1092
Kämpe, Johan (kirjapaino, Turku, 1729-1753)	1028
Winter, Johan (kirjapaino, Turku, 1669-1705)	 971
Merckell, Jacob (kirjapaino, Turku, 1750-1761)	 703
Wald, Peder Eriksson (kirjapaino, Turku, 1642-1653)	 556
J. C. Frenckell ja poika (kirjapaino, Turku, 1814-1856)	 500
Londicer, Carl Anton (kirjapaino, Vaasa, 1807-1838)	 500
Carlbohm, Johan Arvid (kirjapaino, Tukholma, 1769-1812)	 452
Johan Christopher Frenckellin leski (kirjapaino, Turku, 1779-1785)	 424
Merckell, Jacob (kirjapaino, Tukholma, 1747-1763)	 236
Londicerin leski (kirjapaino, Vaasa, 1804-1807)	 214
Merckell, Henric Christopher (kirjapaino, Turku, 1706-1730)	 182
Edman, Johan (kirjapaino, Uppsala, 1767-1791)	 165
Fougt, Elsa (kirjapaino, Tukholma, 1782-1811)	 161
Salvius, Lars (kirjapaino, Tukholma, 1742-1773)	 158
Flodström, Eric (kirjapaino, Turku, 1722-1729)	 149
Momma, Peter (kirjapaino, Tukholma, 1738-1768)	 138
Meurer, Ignatius (kirjapaino, Tukholma, 1612-1672)	 134
Henric Christopher Merckellin leski (kirjapaino, Tukholma, 1730-1747)	 127
Werner, Johan Henric (kirjapaino, Uppsala, 1701-1733)	 114
Henric Christopher Merckellin leski (kirjapaino, Turku, 1730-1742)	 113
Merckell, Henric Christopher (kirjapaino, Tukholma, 1710-1730)	 104
Carlbohm, Arvid (kirjapaino, Tukholma, 1763-1769)	 101
Mattsson, Eskil (kirjapaino, Uppsala, 1613-1650)	  86
Björckman, Anders (kirjapaino, Turku, 1711-1713)	  80
Vogel, Johann (kirjapaino, Tartto, 1644-1656)	  80
Brendeken, Johann (kirjapaino, Tartto, 1690-1699)	  71
Nyström, Petter Jöransson (kirjapaino, Tukholma, 1731-1759)	  70
Horrn, Johan Laurentius I (kirjapaino, Tukholma, 1717-1741)	  66
Peder Eriksson Waldin leski (kirjapaino, Turku, 1653-1654)	  66
S.n. (tuntematon kirjapaino, Turku)	  65
Johan Höjers encka (kirjapaino, Uppsala, 1738-1751)	  59
Werner, Johan Henric (kirjapaino, Tukholma, 1705-1735)	  59
Fougt, Henrik I (kirjapaino, Tukholma, 1771-1782)	  53
Eberdt, Johan Georg (kirjapaino, Tukholma, 1672-1691)	  50
Wankijffin leski (kirjapaino, Tukholma, 1690-1705)	  49
Wankijff, Nils (kirjapaino, Tukholma, 1669-1690)	  49
Peter Hanssons enckia (kirjapaino, Turku, 1679)	  44
S.n. (tuntematon kirjapaino, Tukholma)	  40
Curio, Henric (kirjapaino, Uppsala, 1661-1685)	  39
Reusner, Christopher (kirjapaino, Tukholma, 1610-1634)	  39
