Name	Count	Percentage
Total count (na.rm TRUE): 	67539	
Finland	57530	85.18
Sweden	 4912	 7.27
Russia	 2423	 3.59
USA	  813	 1.20
Germany	  745	 1.10
Estonia	  251	 0.37
England	  183	 0.27
France	  159	 0.24
Denmark	  141	 0.21
Netherlands	   81	 0.12
Norway	   48	 0.07
Latvia	   46	 0.07
Italy	   36	 0.05
Canada	   33	 0.05
Hungary	   28	 0.04
Poland	   24	 0.04
Austria	   21	 0.03
Iceland	   13	 0.02
Switzerland	   13	 0.02
Belgium	    7	 0.01
Spain	    7	 0.01
Ukraine	    7	 0.01
Lithuania	    6	 0.01
Czech Republic	    3	 0.00
Romania	    2	 0.00
Argentina	    1	 0.00
Australia	    1	 0.00
China	    1	 0.00
India	    1	 0.00
Namibia	    1	 0.00
Portugal	    1	 0.00
Scotland	    1	 0.00
