original	polished	Count
Helsinki	Finland	13236
Helsingfors	Finland	11741
Aboae	Finland	4871
Porvoo	Finland	3092
[Vasa]	Finland	2312
Tampere	Finland	2224
Stockholm	Sweden	2215
Åbo	Finland	2169
[Åbo]	Finland	2092
Kuopio	Finland	1529
Turku	Finland	1332
[Aboae]	Finland	1312
Hämeenlinna	Finland	1283
Jyväskylä	Finland	971
Turusa	Finland	856
Stockholmisa	Sweden	715
Pori	Finland	625
Viipuri	Russia	605
[Helsinki]	Finland	548
Oulu	Finland	533
Borgå	Finland	517
Sortavala	Russia	494
Helsingissä	Finland	481
[Helsingfors]	Finland	477
Upsaliae	Sweden	364
Tryckt i Åbo	Finland	295
Wiipuri	Russia	245
[Stockholm]	Sweden	242
Rauma	Finland	237
Vaasa	Finland	235
S.-Peterburg'	Russia	225
[Turku]	Finland	221
Mikkeli	Finland	210
Vasa	Finland	204
[Wasa]	Finland	181
Leipzig	Germany	179
Holmiae	Sweden	177
Helsingforsiae	Finland	173
Kotka	Finland	171
Wasasa	Finland	166
Hancock (Mich.)	USA	163
Lahti	Finland	153
London	England	147
Wiborg	Russia	147
Tammerfors	Finland	144
Ekenäs	Finland	140
Paris	France	138
Gel'singfors'	Finland	138
Berlin	Germany	137
Wasa	Finland	130
Upsala	Sweden	123
Joensuu	Finland	123
Porvoossa	Finland	121
Hamina	Finland	118
Fitchburg (Mass.)	USA	110
Örebro	Sweden	93
Nikolaistad	Finland	91
Savonlinna	Finland	86
Tryckt i Stockholm	Sweden	78
[Viipuri]	Russia	77
Viborg	Russia	73
Björneborg	Finland	70
Dorpati Livonorum	Estonia	70
Turusa prändätty	Finland	67
Mariehamn	Finland	64
Stokholmisa	Sweden	61
Dorpati	Estonia	60
Tukholma	Sweden	59
Käkisalmi	Finland	58
Kokkola	Finland	58
[Vaasa]	Finland	58
Jakobstad	Finland	57
[S.-Peterburg']	Russia	56
Tavastehus	Finland	56
St. Petersburg	Russia	56
Stockholmis	Sweden	54
Kjøbenhavn	Denmark	52
[Oulu]	Finland	51
Lappeenranta	Finland	51
Brooklyn (N.Y.)	USA	49
[Tampere]	Finland	49
Kaleva (Mich.)	USA	49
Tampereella	Finland	48
Uleåborg	Finland	48
Gamlakarleby	Finland	48
Uppsala	Sweden	48
Hangö	Finland	48
Sanktpeterburg'	Russia	47
Tryckt i Upsala	Sweden	46
Hämeenlinnassa	Finland	45
Pietari	Russia	44
Uusikaupunki	Finland	44
Fredrikshamn	Finland	40
Kajaani	Finland	40
[Upsaliae]	Sweden	40
Wiipurissa	Russia	39
[Tukholma]	Sweden	39
Stockholmisa ja Turusa	Sweden	39
Kemi	Finland	37
[Sanktpeterburg']	Russia	37
Prändätty Turusa	Finland	37
New York	USA	36
Ashtabula (Ohio)	USA	34
[Turusa]	Finland	34
[Aboae?]	Finland	34
Heinola	Finland	32
Hanko	Finland	32
Moskva	Russia	32
Turussa	Finland	32
Lund	Sweden	31
[Stockholmisa]	Sweden	31
Duluth (Minn.)	USA	30
Kristiania	Norway	29
Calumet (Mich.)	USA	28
Vyborg'	Russia	28
Nikolainkaupunki	Finland	28
Lapua	Finland	28
Rostochii	Germany	28
Ubsaliae	Sweden	28
Tryckt i Abo	Finland	28
Jyväskylässä	Finland	27
København	Denmark	27
Waasa	Finland	27
Petrograd'	Russia	26
Kristiina	Finland	26
Kristinestad	Finland	25
[Holmiae]	Sweden	25
[Kuopio]	Finland	24
Lovisa	Finland	24
Präntätty Turusa	Finland	23
Hki	Finland	22
Nykarleby	Finland	21
Kronoby	Finland	21
[Helsingforsiae]	Finland	20
Tammisaari	Finland	20
[Jyväskylä]	Finland	20
München	Germany	20
Stuttgart	Germany	20
Abo	Finland	20
Dresden	Germany	20
Sordavala	Russia	20
Skara	Sweden	20
Parkano	Finland	20
Stockholmiae	Sweden	20
A Paris	France	19
[Amsterdam]	Netherlands	19
Excusa Aboae	Finland	19
Port Arthur (Ont.)	Canada	18
[Wasasa]	Finland	18
Präntätty Stockholmis	Sweden	18
Wien	Austria	17
Jena	Germany	17
Brooklyn (N. Y.)	USA	17
Wiburgi	Russia	17
Pietarsaari	Finland	16
[Sortavala]	Russia	16
Braunschweig	Germany	16
Abogiae	Finland	16
Wittebergae	Germany	16
[Porvoo]	Finland	15
Reval	Estonia	15
Budapest	Hungary	15
Riga	Latvia	15
Brooklyn, (N. Y.)	USA	15
Hyvinkää	Finland	15
Revaliae	Estonia	15
[Dorpat]	Estonia	15
Oulussa	Finland	14
[Raahe]	Finland	14
S:t Michel	Finland	14
Hancock, (Mich.)	USA	14
Kaskö	Finland	14
Iisalmi	Finland	13
Götheborg	Sweden	13
Chicago	USA	13
Karis	Finland	13
Hancock, Mich.	USA	13
[Upsala]	Sweden	13
Brooklyn, (N.Y.)	USA	13
[Dorpati]	Estonia	13
Kuopiossa	Finland	12
[London]	England	12
Raahe	Finland	12
Turengi	Finland	12
Sairala	Finland	12
Dorpt	Estonia	12
Hancock, Michigan	USA	11
Superior (Wis.)	USA	11
Nystad	Finland	11
Astoria (Or.)	USA	11
[Tryckt i Stockholm]	Sweden	11
[Åbo?]	Finland	11
Tryckt i Wiborg	Russia	11
Tryckt i Vpsala	Sweden	11
[Borgå]	Finland	10
Ironwood (Mich.)	USA	10
