original	polished	Count
Total count: 	65177	
Helsinki	Finland	12439
Helsingfors	Finland	10969
Aboae	Finland	 4870
Porvoo	Finland	 3035
[Vasa]	Finland	 2312
Stockholm	Sweden	 2182
[Åbo]	Finland	 2088
Åbo	Finland	 2065
Tampere	Finland	 2016
Kuopio	Finland	 1440
[Aboae]	Finland	 1305
Hämeenlinna	Finland	 1247
Turku	Finland	 1205
Jyväskylä	Finland	  915
Turusa	Finland	  854
Stockholmisa	Sweden	  715
Pori	Finland	  566
[Helsinki]	Finland	  531
Viipuri	Russia	  506
Borgå	Finland	  492
Oulu	Finland	  475
Sortavala	Russia	  467
Helsingissä	Finland	  458
[Helsingfors]	Finland	  391
Upsaliae	Sweden	  364
Tryckt i Åbo	Finland	  295
[Stockholm]	Sweden	  241
Rauma	Finland	  223
S.-Peterburg'	Russia	  221
[Turku]	Finland	  220
Vaasa	Finland	  199
[Wasa]	Finland	  181
Leipzig	Germany	  178
Holmiae	Sweden	  177
Vasa	Finland	  176
Helsingforsiae	Finland	  173
Mikkeli	Finland	  173
Wasasa	Finland	  164
Wiipuri	Russia	  162
Hancock (Mich.)	USA	  145
London	England	  143
Kotka	Finland	  140
Gel'singfors'	Finland	  135
Berlin	Germany	  134
Tammerfors	Finland	  128
Wiborg	Russia	  128
Lahti	Finland	  127
Ekenäs	Finland	  126
Upsala	Sweden	  122
Porvoossa	Finland	  119
Paris	France	  119
Wasa	Finland	  119
Fitchburg (Mass.)	USA	  104
Hamina	Finland	  103
Joensuu	Finland	  103
Örebro	Sweden	   93
Tryckt i Stockholm	Sweden	   78
[Viipuri]	Russia	   76
Nikolaistad	Finland	   72
Savonlinna	Finland	   72
Dorpati Livonorum	Estonia	   70
Turusa prändätty	Finland	   67
Björneborg	Finland	   62
Viborg	Russia	   61
Stokholmisa	Sweden	   61
Dorpati	Estonia	   60
[Vaasa]	Finland	   57
[S.-Peterburg']	Russia	   55
St. Petersburg	Russia	   55
Mariehamn	Finland	   53
Tukholma	Sweden	   53
Stockholmis	Sweden	   53
Kjøbenhavn	Denmark	   52
Tavastehus	Finland	   49
Jakobstad	Finland	   49
[Oulu]	Finland	   49
Kaleva (Mich.)	USA	   49
Uppsala	Sweden	   48
Käkisalmi	Finland	   46
Tryckt i Upsala	Sweden	   46
Sanktpeterburg'	Russia	   45
Kokkola	Finland	   45
Gamlakarleby	Finland	   44
Tampereella	Finland	   43
Brooklyn (N.Y.)	USA	   43
Hämeenlinnassa	Finland	   42
[Tampere]	Finland	   41
Hangö	Finland	   40
Pietari	Russia	   40
[Upsaliae]	Sweden	   40
Wiipurissa	Russia	   39
Stockholmisa ja Turusa	Sweden	   39
Lappeenranta	Finland	   37
Uusikaupunki	Finland	   37
[Sanktpeterburg']	Russia	   37
[Tukholma]	Sweden	   37
Prändätty Turusa	Finland	   37
Uleåborg	Finland	   35
Kajaani	Finland	   34
Fredrikshamn	Finland	   33
[Aboae?]	Finland	   33
[Turusa]	Finland	   33
Turussa	Finland	   31
Moskva	Russia	   31
New York	USA	   31
[Stockholmisa]	Sweden	   31
Lund	Sweden	   30
Lapua	Finland	   28
Ubsaliae	Sweden	   28
Tryckt i Abo	Finland	   28
Rostochii	Germany	   28
Kemi	Finland	   27
København	Denmark	   27
Vyborg'	Russia	   26
Petrograd'	Russia	   26
Jyväskylässä	Finland	   25
Calumet (Mich.)	USA	   25
Kristiania	Norway	   25
[Holmiae]	Sweden	   25
Nikolainkaupunki	Finland	   24
Waasa	Finland	   24
Kristinestad	Finland	   23
Hanko	Finland	   23
Duluth (Minn.)	USA	   23
Präntätty Turusa	Finland	   23
Hki	Finland	   22
Heinola	Finland	   21
Lovisa	Finland	   21
[Helsingforsiae]	Finland	   20
Stuttgart	Germany	   20
Parkano	Finland	   20
Kronoby	Finland	   20
Sordavala	Russia	   20
Dresden	Germany	   20
München	Germany	   20
[Jyväskylä]	Finland	   20
[Kuopio]	Finland	   20
Skara	Sweden	   20
Abo	Finland	   20
Stockholmiae	Sweden	   20
Excusa Aboae	Finland	   19
A Paris	France	   19
Nykarleby	Finland	   18
Tammisaari	Finland	   18
Kristiina	Finland	   18
[Amsterdam]	Netherlands	   18
Präntätty Stockholmis	Sweden	   18
[Wasasa]	Finland	   18
Wien	Austria	   17
Port Arthur (Ont.)	Canada	   17
Wiburgi	Russia	   17
Jena	Germany	   17
Braunschweig	Germany	   16
Brooklyn (N. Y.)	USA	   16
Wittebergae	Germany	   16
Abogiae	Finland	   16
[Sortavala]	Russia	   15
Brooklyn, (N. Y.)	USA	   15
Budapest	Hungary	   15
Riga	Latvia	   15
[Dorpat]	Estonia	   15
Reval	Estonia	   15
Revaliae	Estonia	   15
[Raahe]	Finland	   14
Hyvinkää	Finland	   14
[Porvoo]	Finland	   14
Ashtabula (Ohio)	USA	   14
Chicago	USA	   13
S:t Michel	Finland	   13
Oulussa	Finland	   13
Kaskö	Finland	   13
Karis	Finland	   13
Brooklyn, (N.Y.)	USA	   13
Hancock, Mich.	USA	   13
Hancock, (Mich.)	USA	   13
[Dorpati]	Estonia	   13
[Upsala]	Sweden	   13
Götheborg	Sweden	   13
Turengi	Finland	   12
Sairala	Finland	   12
Iisalmi	Finland	   12
Dorpt	Estonia	   12
Kuopiossa	Finland	   11
Astoria (Or.)	USA	   11
Tryckt i Vpsala	Sweden	   11
[Tryckt i Stockholm]	Sweden	   11
Tryckt i Wiborg	Russia	   11
[Åbo?]	Finland	   11
[Borgå]	Finland	   10
Pietarsaari	Finland	   10
Fitchburg, (Mass.)	USA	   10
Superior (Wis.)	USA	   10
[Viborg]	Russia	   10
Pernaviae	Estonia	   10
Turuusa	Finland	   10
Helsinki ;;Viipuri	Finland	    9
Brooklyn	USA	    9
Laihia	Finland	    9
Heidelberg	Germany	    9
Tartu	Estonia	    9
[Berlin]	Germany	    9
Ironwood (Mich.)	USA	    9
[London]	England	    9
Witebergae	Germany	    9
I Åbo	Finland	    9
Linköping	Sweden	    9
Vpsaliae	Sweden	    9
Hamburg	Germany	    9
Hämeenlinna ;;Tampere	Finland	    8
S.-Peterburg	Russia	    8
Viipurissa	Russia	    8
St. Pétersbourg	Russia	    8
New York (N.Y.)	USA	    8
Raahe	Finland	    8
Ashtabula, (Ohio)	USA	    8
Tornio	Finland	    8
[Leipzig]	Germany	    8
Prändäty Turusa	Finland	    8
Rostochi	Germany	    8
Trykkt i Åbo	Finland	    8
[Wiborg]	Russia	    8
Kjöbenhavn	Denmark	    8
[Turku?]	Finland	    8
Weimar	Germany	    7
Pest	Hungary	    7
Copenhague	Denmark	    7
Göteborg	Sweden	    7
Tübingen	Germany	    7
Wiesbaden	Germany	    7
Terijoki	Finland	    7
Mikkelissä	Finland	    7
Nystad	Finland	    7
Zürich	Germany	    7
Eura	Finland	    7
Forssa	Finland	    7
Roma	Italy	    7
Firenze	Italy	    7
[Hämeenlinna]	Finland	    7
Isokyrö	Finland	    7
Astoria (Ore.)	USA	    7
Tukholmassa	Sweden	    7
Lübeck	Germany	    7
Impr. Aboae	Finland	    7
[Rostochii]	Germany	    7
Upsalis	Sweden	    7
Norrköping	Sweden	    7
Gryphiswaldiae	Germany	    7
Arosiae	Sweden	    7
Wiburg	Russia	    7
Stokkholmisa	Sweden	    7
I Stockholm	Sweden	    7
Hernösand	Sweden	    6
Warszawa	Poland	    6
[Jyväskylässä]	Finland	    6
Ísafjördur	Iceland	    6
[Wiipuri]	Russia	    6
Sortawala	Russia	    6
Porissa	Finland	    6
[Waasa]	Finland	    6
St.-Pétersbourg	Russia	    6
Bonn	Germany	    6
Raumo	Finland	    6
Ishpeming (Mich.)	USA	    6
Salo	Finland	    6
[Helsingissä]	Finland	    6
Worcester (Mass.)	USA	    6
Brooklyn, N.Y.	USA	    6
[Dorpat?]	Estonia	    6
Lincopiae	Sweden	    6
Tryckt j Stockholm	Sweden	    6
[Ubsaliae]	Sweden	    6
Stokholmiae	Sweden	    6
Ienae	Germany	    6
[Uppsala]	Sweden	    6
Westerås	Sweden	    6
A Amsterdam	Netherlands	    6
Wilno	Lithuania	    5
Christiania	Norway	    5
Sortavola	Russia	    5
Nikolainkaupungissa	Finland	    5
Sortavalassa	Russia	    5
Lundae	Sweden	    5
S:t Petersburg	Russia	    5
Odense	Denmark	    5
Milano	Italy	    5
Raumalla	Finland	    5
Haapajärvi	Finland	    5
Cambridge	England	    5
Bergen	Norway	    5
Halle	Germany	    5
Jämsä	Finland	    5
Bern	Switzerland	    5
Calumet, (Mich.)	USA	    5
New York Mills (Minn.)	USA	    5
Amsterdam	Netherlands	    5
Rostock	Germany	    5
Rigae	Latvia	    5
Lvgdvni Batavorvm	Netherlands	    5
Gedruckt zu Abo	Finland	    5
[Stockholm?]	Sweden	    5
Upsalae	Sweden	    5
I Åpo	Finland	    5
Pernau	Finland	    5
[Lund]	Sweden	    5
Impressa Aboae	Finland	    5
Wästerås	Sweden	    5
[Tryckt i Åbo]	Finland	    5
[Stockholmis]	Sweden	    5
Stockholm, Upsala och Åbo	Sweden	    5
Tryckt i Wasa	Finland	    5
S.-Peterburg' : A. È. Vineke	Russia	    4
St-Pétersbourg	Russia	    4
[Budapest]	Hungary	    4
Tallinnas	Estonia	    4
Tromsø	Norway	    4
Stockholm :;Helsingfors	Sweden	    4
Sanktpeterburg''	Russia	    4
Tartus	Estonia	    4
[Nytorp]	Sweden	    4
Odessa	Ukraine	    4
[Gel'singfors']	Finland	    4
Hämeenlinna ;;Porvoo	Finland	    4
[Tryckt i Wasa]	Finland	    4
