Name	Count
Total count (na.rm TRUE): 	11724
Lidén,;Vallinkoski	2499
Marklin,;Vallinkoski	1473
Melander	 672
Pipping,;Rämä	 365
Lidén,;Marklin,;Vallinkoski	 114
Pipping	 114
Vallinkoski II	  96
Liden,;Vallinkoski	  94
Leinberg	  82
Vallinkoski	  67
Collijn IV	  62
Stiernman,;Lidén,;Vallinkoski	  50
Rämä	  49
Lidén,;Leinberg	  40
Melander,;SKB	  37
Bring 1958	  30
Lidén,;Stiernman,;Vallinkoski	  29
Marklin,;Leinberg	  25
Lidén,;Vallinkoski,;SKB	  24
Marklin,;Vallinkoski,;Pipping	  23
Elmgren I	  22
Lidén	  22
Ei Melander	  19
Elmgren I s. 127	  19
Elmgren II	  19
Marklin II	  18
Lidén,;SKB,;Vallinkoski	  17
Stiernman,;Melander	  16
Marklin	  15
Marklin II,;Vallinkoski	  15
Lidén,;Stiernman,;Suomen kansallisbibliografia 1488-1700,;Vallinkoski	  14
Marklin,;Pipping,;Vallinkoski	  14
Collijn IV p. 1064	  13
Kaarna & Winter 1005	  13
Melander,;Suomen kansallisbibliografia 1488-1700	  13
Lidén I,;Leinberg	  12
Bring 1961	  11
Kaarna & Winter 1225	  11
Pipping,;Suomen almanakan juhlakirja,;Rämä	  11
Stiernman,;Collijn IV,;Vallinkoski,;SKB	  11
Lidén,;Pipping,;Rämä,;Vallinkoski	  10
Pipping,;Lidén,;Vallinkoski,;Rämä	  10
Sainio	  10
Stiernman,;Collijn IV,;Vallinkoski	  10
Hultin I	   9
Kaarna & Winter 1227	   9
Lidén 113	   9
Melander,;Rämä	   9
Pipping,;Rämä,;Kirjapainotaito Suomessa. 2 / Carl-Rudolf Gardberg	   9
Pipping,;Vasenius,;Kilpi,;Collijn II,;Rämä,;Suomen kansallisbibliografia 1488-1700	   9
Stiernman,;Lidén,;Vallinkoski,;Suomen kansallisbibliografia 1488-1700	   9
Collijn IV,;SKB	   8
Collijn IV,;Suomen kansallisbibliografia 1488-1700	   8
Lidén,;Vallinkoski,;Pipping,;Rämä	   8
Stiernman,;Marklin,;Vallinkoski	   8
Collijn IV p. 312	   7
Collijn IV p. 313	   7
Elmgren II s. 8	   7
Elmgren s. 55. - Collijn IV p. 1073	   7
Hultin II	   7
Lidén;Vallinkoski	   7
Marklin;Vallinkoski	   7
Suomalainen kirjallisuus 1544-1877 / Valfrid Vasenius	   7
Bygdén I	   6
Elmgren I s. 131	   6
Leinberg,;Marklin	   6
SKB,;Vallinkoski	   6
Bygdén	   5
Collijn III,;Melander,;SKB	   5
Collijn IV p. 1065	   5
Elmgren I s. 123	   5
Elmgren I s. 124	   5
Elmgren II s. 18	   5
Elmgren II s. 21	   5
Leinberg,;Lidén	   5
Lidén,;Vallinkoski,;Suomen kansallisbibliografia 1488-1700	   5
Marklin I,;Marklin II,;Vallinkoski	   5
Marklin,;SKB,;Vallinkoski	   5
Pipping,;Hultin I	   5
Pipping,;Rämä,;Tuomas Ragvaldinpoika : hengellinen arkkivirsirunoilija / Pekka Raittila	   5
Rämä 618/619. Lisä	   5
Collijn II	   4
Collijn III	   4
Collijn IV p. 1031	   4
Collijn IV p. 23	   4
Collijn IV p. 273	   4
Collijn IV p. 311	   4
Collijn IV p. 314	   4
Collijn IV p. 610	   4
Collijn IV p. 763	   4
Collijn IV,;Vallinkoski	   4
Elmgren I s. 133	   4
Elmgren I s. 136	   4
Elmgren II s. 11	   4
Elmgren II s. 12	   4
Elmgren II s. 14	   4
Elmgren II s. 27	   4
Elmgren II s. 30	   4
Elmgren II s. 9	   4
Estlander	   4
Kallio s. 118	   4
Lidén II,;Leinberg	   4
Liden,;Marklin,;Vallinkoski	   4
Lidén,;Pipping,;Vallinkoski	   4
Lidèn,;SKB,;Vallinkoski	   4
Lidén,;Vallinkoski,;Pipping	   4
Marklin a;Vallinkoski	   4
Marklin I,;Vallinkoski	   4
Marklin,;Stiernman,;Vallinkoski	   4
Marklin,;Vallinkoski,;SKB	   4
Pipping,;Collijn IV,;Rämä,;SKB	   4
Pipping,;Collijn IV,;Rämä,;Suomen kansallisbibliografia 1488-1700	   4
Pipping,;Melander,;Rämä	   4
Pipping,;Rämä,;Forfatterlexikon omfattende Danmark, Norge og Island tindtil 1814 / H. Ehrencron-Müller. Bd. VII. 1929	   4
Pipping,;Rämä,;Rukoilevaisten kirjoja / Osmo Tiililä	   4
Stiernman,;Collijn IV	   4
Bygdén I:27	   3
Bygdén I:938	   3
Bygdén II	   3
Collijn III,;Melander	   3
Collijn IV p. 151	   3
Collijn IV p. 153-154	   3
Collijn IV p. 167	   3
Collijn IV p. 272	   3
Collijn IV p. 274	   3
Collijn IV p. 315	   3
Collijn IV p. 451	   3
Collijn IV p. 837	   3
Collijn IV,;Stiernman,;Vallinkoski	   3
Collijn IV;Orationes academicae Fennorum extra patriam habitae / K. G. Leinberg;Dissertationen und Orationen der Universität Dorpat 1632-1656 / Matti A. Sainio;Suomen kansallisbibliografia 1488-1700	   3
Elmgren I s. 130	   3
Elmgren I s. 134	   3
Elmgren II s. 17	   3
Elmgren II s. 22	   3
Elmgren II s. 28	   3
Elmgren II s. 4	   3
Finlands botaniska litteratur till och med år 1900 / Th. Saelan	   3
Leinberg 193	   3
Liden	   3
Lidén I	   3
Lidèn,;Vallinkoski,;SKB	   3
Pipping,;Hultin II	   3
Pipping,;Rämä,;SKB	   3
Pipping;Suomalainen kirjallisuus 1544-1877 / Valfrid Vasenius;Suomen kirjalilijat 1809-1916	   3
SAJ s. 311	   3
SAJ s. 312	   3
SAJ s. 313	   3
Stiernman	   3
Stiernman,;Collijn IV,;SKB	   3
Svenskt anonym- och pseudonym-lexikon / Leonard Bygdén	   3
Svenskt boklexikon, åren 1830-1865 / Hjalmar Linnström	   3
Vallinkoski,;SKB	   3
Bring 1961 s. 101	   2
Bring 1961 s. 151	   2
Bring 1961 s. 64	   2
Bygdén I,;Collijn IV,;SKB	   2
Bygdén I:130	   2
Bygdén II s. 226	   2
Bygdén II:33	   2
Bygdén II:740	   2
Collijn IV p. 1063	   2
Collijn IV p. 1064-1065	   2
Collijn IV p. 150	   2
Collijn IV p. 183	   2
Collijn IV p. 237-238	   2
Collijn IV p. 249	   2
Collijn IV p. 263	   2
Collijn IV p. 265-266	   2
Collijn IV p. 266	   2
Collijn IV p. 269-270	   2
Collijn IV p. 310-311	   2
Collijn IV p. 318	   2
Collijn IV p. 363	   2
Collijn IV p. 414	   2
Collijn IV p. 49	   2
Collijn IV p. 6	   2
Collijn IV p. 698	   2
Collijn IV p. 71	   2
Collijn IV p. 751-752	   2
Collijn IV p. 780	   2
Collijn IV p. 781	   2
Collijn IV p. 836-837	   2
Collijn IV p. 882	   2
Collijn IV p. 929	   2
Collijn IV p. 988	   2
Collijn IV p. 996	   2
Collijn IV,;Leinberg Or.,;Sainio,;Tartu ülikooli trükikoda 1632-1710 / Ene-Lille Jaanson	   2
Collijn IV,;Suomen almanakan juhlakirja,;SKB	   2
Collijn IV,;Suomen almanakan juhlakirja,;Suomen kansallisbibliografia 1488-1700	   2
Collijn IV;Suomen kansallisbibliografia 1488-1700	   2
Ei Pipping	   2
Elmgren I p. 127	   2
Elmgren I s. 125	   2
Elmgren I s. 128	   2
Elmgren I s. 135	   2
Elmgren I s. 137	   2
Elmgren I s. 88	   2
Elmgren II s. 10	   2
Elmgren II s. 16	   2
Elmgren II s. 24	   2
Elmgren II s. 29	   2
Elmgren II s. 6	   2
Hultin I,;Henrik Renqvist julkaisijana ja kirjakauppiaana 1815-1866 / Tuija Laine ja Anna Perälä	   2
Katalog öfver den svenska litteraturen i Finland 1896-1900 / H. Bergroth	   2
Lagus 12	   2
