Name	Count
[?] s.	613
1 lehti (verso tyhjä)	443
1 lehti	294
[1] lehti	137
4 lehteä	81
[4] s. (s. [4] tyhjä)	70
2 lehteä	58
[8] s. (s. [8] tyhjä)	51
[4] s. (s. [2] tyhjä)	41
1 arkki	35
[8] s. (s. [2] tyhjä)	32
6 lehteä	20
[16] s. (s. [2] tyhjä)	19
Kollaatio avoin	17
8 lehteä	17
[32] s. (s. [32] tyhjä)	15
1 kartta kahdessa osassa	14
[20] s. (s. [20] tyhjä)	13
8:o.	11
16 lehteä	11
12 lehteä	11
1 kartta kahdella lehdellä	11
10 lehteä	10
[16] s. (s. [16] tyhjä)	10
[1] lehti (verso tyhjä)	10
5 lehteä	9
4:o.	9
[12] s. (s. [12] tyhjä)	8
[8] s. (s. [2] ja [8] tyhjät)	7
[4] s. (s. [4] tyhjä) ; 4:o.	7
[?] lehteä	7
8 lehteä.	6
14 lehteä	6
[6] s. (s. [6] tyhjä)	6
[6] s. (s. [2] tyhjä)	6
[36] s. (s. [36] tyhjä)	6
[28] s. (s. [28] tyhjä)	6
[24] s. (s. [24] tyhjä)	6
[20] s. (s. [2] tyhjä)	6
[2] lehteä	6
[1] lehti.	6
[1] lehti (verso tyhjä?)	6
2 karttaa yhdellä lehdellä	5
1 kartta neljällä lehdellä	5
[28] s. (s. [2] tyhjä)	5
[12] s. (s. [2] tyhjä)	5
6 lehteä.	4
24 lehteä	4
11 lehteä	4
10 lehteä.	4
1 lehti; verso tyhjä	4
[40] s. (s. [40] tyhjä)	4
[4] s. (s. [2] ja [4] tyhjät)	4
[24] s. (s. [2] tyhjä)	4
[12] kuvalehteä	4
? s., 5 kuvaa	4
Plakat.	3
fol.	3
7 kuvalehteä	3
13 lehteä	3
1 kartasto (12 s., 32 kartta-aukeamaa)	3
1 blad.	3
[68] s. (s. [68] tyhjä)	3
[6] lehteä	3
[40] s. (s. [2] tyhjä)	3
[4] lehteä	3
[30] s. (s. [30] tyhjä)	3
[22] s. (s. [22] tyhjä)	3
[1] lehti taitettuna.	3
? s., 6 kuvaa	3
9 lehteä	2
7 lehteä	2
6 kuvaa, 6 s. tekstiä	2
4 karttaa yhdellä lehdellä	2
39 lehteä	2
32 lehteä	2
31 lehteä	2
24 l.	2
22 lehteä	2
20 lehteä	2
2 (alakkain asetettavaa) lehteä (versot tyhjät)	2
18 muotokuvalehteä.	2
16 pl.	2
16 kuvaliitettä	2
16 kuvalehteä.	2
156 lehteä	2
15 kartblad i portfölj.	2
13 kuvasivua	2
12 malliliitettä	2
12 lehteä.	2
12 kuvalehteä	2
10 kuvalehteä	2
1/2 arkkia	2
1 nid.	2
1 l.	2
1 kartblad	2
1 diagrammi	2
1 blad	2
1 bl.	2
[A]-B2. [8] s.	2
[8] s. (s. [2] ja [8] tyhjät	2
[8 kuval.]	2
[5] lehteä	2
[46] s. (s. [2] tyhjä)	2
[44] s. (s. [44] tyhjä)	2
[40] s. (s. [32] tyhjä)	2
[4] s. 2:o.	2
[4] kuvalehteä	2
[36] s. (s. [2] tyhjä)	2
[32] s. (s. [2] tyhjä)	2
[26] s. (s. [2] tyhjä)	2
[20] s. (s. [2] ja [20] tyhjät)	2
[160] s. (s. [2] tyhjä)	2
[16] lehteä	2
[14] s. (s. [14] tyhjä)	2
[10] s. (s. [10] tyhjä)	2
[10] kuvalehteä	2
[?].	2
[?]	2
VI + 100 s.	1
taulukko.	1
Ss. 489-684 (a-o)	1
show 1 s., 8 tabb.	1
S. V	1
N. 500 s useina jaksoina	1
Med filtrerpapper.	1
IX + 313 s.	1
IV + 200 s.	1
Hancock (Mich.)	1
A-C4. 12 numeroimatonta lehteä	1
à 4 s., kuva	1
90 liitettä	1
90 lehteä	1
9 yhteenliimattua lehteä	1
9 nid. (98 s., [25] kuvalehteä)	1
9 nid. (288 s.)	1
9 mallilehteä	1
9 lehteä.	1
9 lehteä tekstiä, 80 lehteä kuvia	1
9 kuvalehteä	1
9 kuval.	1
9 + 24 s.	1
9 + 15 s.	1
80 pl.	1
80 lehteä	1
8 vihkoa.	1
8 s. 8:o.	1
8 osaa (151 s., 106 kuvaa)	1
8 nid. (472 s.)	1
8 nid. ([?] s.)	1
8 mallil.	1
8 luetteloa.	1
8 kuvalehteä	1
8 kuvaa, 1 lehti tekstiä	1
8 kuvaa	1
8 blad.	1
71 s . ja kartta	1
71 lehteä.	1
70 irtokuval. salkussa	1
7 planscher i kartong.	1
7 nid. (312 s.)	1
68 mallilehteä	1
67 3/4 arkkia	1
