Name	Count
edv	119
nicolaus	70
jac	56
christiernus caroli	54
henricus	54
nicolaus laurentii	52
gustaf elis	43
joh	40
konni	40
gustavus	38
benj	34
th	31
wilh	30
henricus henrici	25
mc donnel	24
hall	21
joh rich	21
alb	20
henricus matthiae	16
nicolaus jonae	15
vilh	15
alphonse	13
em	13
guss	13
aug	12
josephus gustavi	12
fr	11
nicolaus abrahamus	11
rud	11
ch	10
gustave	10
aug af	9
chr	9
stein	9
pierre louis moreau de	8
sylvanus	8
upton	8
wilkie	8
guy de	7
jacques de	7
jully	7
k aug	7
l o th	7
orison swett	7
rope	7
wilhelmus robertus	7
auguste	6
bret	6
ernestus thomae	6
jean de	6
joh ev	6
joh gottsch	6
josephus	6
nat	6
octave	6
thomas de witt	6
archibald clavering	5
arvidus magni	5
franciscus	5
frederick de	5
georgius martini	5
hj von	5
h rider	5
louisa m	5
mayne	5
olly	5
romain	5
rudolph	5
seb	5
alfred de	4
georgius marci	4
heinricus martini	4
j b de	4
joannes	4
marta a	4
nicolaus georgius	4
thekla von	4
xavier aymon de	4
albertus erici	3
andr sch	3
anne honoré joseph	3
archibald	3
aug b	3
brownlow	3
carl-jacob von	3
charles de	3
christianus caroli	3
ericus danielis	3
ferd	3
ferd von	3
fergus	3
geo	3
gudmundus jacobi	3
gustavus christiani	3
henr	3
henricus gustavus	3
isaacus jacobi	3
jul wilh	3
miguel de	3
naphtali	3
palle	3
pedro antonio de	3
pierre alexis de	3
ab	2
abbot	2
achille	2
ad	2
adelbert von	2
adolphe	2
adolphus henricus	2
adolphus robertus	2
and joh	2
antal	2
arth	2
aug f	2
aug von	2
burton e	2
david christie	2
edmond de	2
elaus e	2
elaus p	2
elbert	2
ellice	2
e phillips	2
ephraim	2
er aug	2
ericus jacobi	2
ethel m	2
etty	2
eug ferd	2
ewa m	2
fried wilh aug	2
frode	2
fr osk	2
geo w	2
gerardo	2
gustavus henricus	2
hellmuth v	2
henricus abrahami	2
henricus laurentii	2
henricus martini	2
henricus torstani	2
hermannus rudolphus	2
hindric joh	2
humphry mrs	2
irving	2
ivor r	2
jeffery	2
jersy	2
joh pet	2
josephus joachimus	2
josephus josephi	2
jul	2
laur	2
legh	2
lewi	2
louis de	2
newton n	2
nicolas de	2
nicolaus johannis	2
nicolaus magni	2
phillips	2
pierre de	2
ricarda	2
rich v	2
salvadore	2
sophus	2
stephanus	2
stephanus johannis	2
swen	2
thimoty shay	2
tyr	2
william rae	2
abrah	1
abraham de	1
abrahamus wilhelmus	1
achatius nicolaus	1
adolph	1
albert de	1
albert de la	1
alexis de	1
aloys	1
alta	1
ambrose	1
and	1
and e	1
anders de	1
andr	1
andrews	1
anni m	1
antonius de	1
aristide	1
arpad von	1
arthur de capell	1
aubrey mrs	1
benet r	1
bernard le bovier de	1
bernarr	1
blenda	1
bohdan	1
borge	1
canutus jacobi	1
canutus martini	1
carington	1
cesare	1
charlotte m	1
chas h	1
chas s	1
cheyne	1
ch ph h	1
christian de	1
christianus rudolphus	1
christophorus jonae	1
cleveland	1
clotilde von	1
cornelis eliza van	1
demetrios	1
demetrius	1
derk	1
detlev von	1
dodo	1
e aug	1
ed	1
edva	1
eleanor m	1
elisabeth stuart	1
elisaeus eliae	1
emile de	1
emy	1
ephraim axelsson	1
ernestus fridericus	1
ernst de	1
eva m	1
fale	1
f gillet	1
fielden	1
fitzgerald	1
florence a	1
florence m	1
freder	1
fredrique	1
fridericus wilhelmus	1
fried	1
fried joh	1
friedrich de la motte	1
frith	1
fr von	1
gaetano	1
gaylord	1
gene	1
geo peel	1
georgus johannis	1
gerhart	1
gevert johansson	1
g lowes	1
gn	1
gotthold ephraim	1
gray	1
gunther	1
gustavus adolphus	1
gustavus christophori	1
gustavus erici	1
gustavus johannis	1
gustavus magni	1
gustavus martini	1
gustavus nicolaus	1
harlow n	1
harry de	1
hartwig	1
hearn	1
hedvig const fred von	1
helene a	1
hellmuth	1
henrich johansson	1
henrich ludolf	1
henricus claudii	1
henricus esaiae	1
henricus f	1
henricus johannis	1
henricus michaelis	1
henricus reginaldus	1
henricus stephani	1
henr r	1
henry de	1
hermannus caroli	1
h g th	1
hillis	1
hippolyte	1
igino	1
ignaz von	1
irving s	1
isaacus martini	1
isador	1
iwan t	1
joachimus von	1
joann	1
joannes henricus	1
joh b	1
joh ehrenfried	1
joh henr	1
joh l	1
jos	1
josephus laurentii	1
josephus matthiae	1
just wright	1
katherine cecil	1
k aug r	1
k edv	1
klarry	1
ladislaus	1
lassar	1
laurids	1
l baillie	1
leon de	1
lilius	1
lolo	1
ludvig de	1
lyder	1
mads	1
mag	1
magn	1
mariposa	1
mary stewart	1
mathieu de	1
mc donnell	1
meyer	1
modest	1
modest von	1
mund	1
ned	1
neville	1
nicolaus benjamini	1
nicolaus christopheri	1
nicolaus christophori	1
nicolaus danielis	1
nicolaus ebbori	1
nicolaus gregorii	1
nicolaus gustavus	1
nicolaus henr	1
nicolaus henrici	1
nicolaus matthiae	1
nicolaus simonis	1
nicolaus svenonis	1
ol	1
olympe	1
øvre richter	1
p a de	1
pet	1
phil	1
phillips e	1
pierre augustin caron de	1
prentice	1
raf	1
reginald wright	1
rich	1
robert de	1
rosalind	1
rudolphus israël	1
st	1
stephanus n	1
sveno jonae	1
sveno magni	1
theobald	1
theodorus	1
thom	1
thos	1
torb	1
uriah	1
vieno jaakko	1
von und zu peckelsheim	1
wicken von	1
wilhelmus	1
wilhelmus joh	1
woodrow	1
