Name	Count
Hanna	20
Anna	13
Maria	13
Alma	9
Anni	9
Helena	9
Lina	9
Julia	8
Maiju	8
Agnes	7
Hilja	7
Maila	7
Mathilda	7
Minna	7
Selma	7
Aino	6
Alli	6
Ellen	6
Hilda	6
Constance	5
Edit	5
Elis	5
Helmi	5
Karolina	5
Charlotte	4
Hedvig	4
Hilma	4
Laura	4
Lucina	4
Alexandra	3
Annie	3
Elin	3
Hedvig Charlotta	3
Ilmi	3
Ina	3
Rosa	3
Sigrid	3
T De Witt	3
Tekla	3
Vera	3
Y K	3
Yolanda	3
Adi	2
Amalia	2
Caroline	2
Catri	2
Edla	2
Edmondo De	2
Elisabeth	2
Ellen G	2
Elli	2
Emmi	2
Fanny	2
Florence L	2
Ida	2
Jane Af	2
Jenny	2
Lilli	2
Maikki	2
Marja	2
Mary	2
Miina	2
Mimmi	2
Ottilia	2
Sofie	2
Sophia Elisabeth	2
Y O	2
Agatha Elisabeth Von	1
Agnes Von	1
Ain'elisabet	1
Aina	1
Aini	1
Alice	1
Aliina	1
Alina	1
Alma Aleksandra	1
Amalie	1
Amanda	1
Amanda Lydia	1
Angel	1
Anja	1
Astrid	1
Aune	1
Aura	1
Barbara H	1
Bernardin De	1
Berta	1
Carolina Fredrika Theresia	1
Charlotta Maria	1
Christine	1
Cornelia	1
Edel	1
Elin Adèle	1
Elin Oihonna	1
Elise	1
Ellida	1
Elna	1
Else	1
Émile De	1
Eva	1
Fannie E	1
Febe	1
Frances	1
Frances Hodgson	1
Fredrika	1
Fredrika Lovisa	1
Frida	1
Gemma	1
Geraldine	1
Gertrud	1
Greta	1
Gyula	1
Harriet	1
Harriet Cornelia	1
Helene	1
Hildur	1
Honoré De	1
Iida	1
Ilona	1
Impi	1
Ingeborg Maria	1
Ingemund	1
Ingrid Mathilda	1
Ira D	1
Jane	1
Janet	1
Jessie	1
Johanna	1
Julia Kristina	1
Kaino W	1
Katri	1
Kersti	1
Kyllikki	1
Laina	1
Linda	1
Lydia	1
Mabel	1
Maija	1
Marie	1
Marie Sophie	1
Marion	1
Marta	1
Mary E	1
Matilda	1
Matilde	1
Nanny	1
Natalia	1
Olga	1
Olga Von	1
Paula Af	1
Roine	1
Ruth	1
Ruusu	1
Sanny	1
Sara	1
Siiri	1
Siri	1
Sofia	1
Synnöve	1
Thora	1
Tilma	1
Tyra	1
Vivan	1
Vivi	1
Wilh Carol	1
Wilhelmiina	1
