Name	Count
Johannes	127
Johan Ludvig	72
A	53
August	53
Zacharias	51
Johan	48
Martti	46
Pehr	40
Gustaf	39
J	38
Juhani	37
Emil	36
Robert	35
Otto	34
Henrik	33
K A	30
Karl	30
Väinö	30
Arvid	29
Enevaldus Svenonis	29
Gösta	29
Aeschillus Olai	28
Pehr Adrian	28
Henrik Gabriel	27
Max	26
Eino	25
Jaakko	25
Kaarlo	25
Carl Fredrik	23
Torsten	23
Yrjö	23
Arthur	22
Axel	22
Carolus	22
Hannes	22
Hjalmar	22
Adolf	21
Matti	21
Petrus	21
Thomas	21
J H	20
Jacobus	20
John	20
Michael Olai	20
Pietari	20
Alexander	19
Carl	19
Wilhelm	19
Abraham	18
Daniel Erici	18
Ericus Michael	18
Gabriel	18
Johannes Johannis	18
Kaarle	18
Leo	18
Oskar	18
Petrus Olai	18
Ernst	17
Georg	17
Petrus Laurentii	17
Santeri	17
Valfrid	17
Antti	16
Erik	16
Lauri	16
Paul	16
Werner	16
William	16
Frans Michael	15
Heikki	15
Jacob	15
K J	15
Mikael	15
Viktor	15
Vilho	15
A W	14
Andreas	14
Edv	14
Ilmari	14
J A	14
J J	14
Jakob	14
M	14
Petrus Erici	14
Simon Johannis	14
Algothus Asmundi	13
Fredrik	13
Isaacus Hermanni	13
Ivar	13
Jalmari	13
Anders	12
Bernhard	12
Fredrik Gabriel	12
Nils	12
Olaus Georgii	12
Ossian	12
Rolf	12
Samuel	12
Theodor	12
Andreas Andreae	11
Andreas Jacobi	11
Anton	11
Daniel	11
Elias	11
Jonas	11
Kustaa	11
Kustavi	11
Kyösti	11
Paavo	11
Vihtori	11
A F	10
Albert	10
Armas	10
Einar	10
Herman	10
Johan Gabriel	10
Johannes Magni	10
Julius	10
Kalle	10
Martin	10
O M	10
Pekka	10
Rafael	10
Toivo	10
Axel Gabriel	9
Carl Axel	9
Erkki	9
Fredrik Wilhelm	9
Hugo	9
J C	9
J W	9
Johann	9
Johannes Henricus	9
Nestor	9
Onni	9
Yrjö Sakari	9
A K	8
A R	8
Alfred	8
Arvi	8
Eric	8
Felix	8
Gunnar	8
J E	8
O A	8
Samuli	8
Simon Svenonis	8
Viljo	8
Volmar	8
Waldemar	8
Walter	8
Wilh	8
A E	7
A J	7
Abrahamus	7
Aksel	7
Andreas Benedicti	7
Arthur Conan	7
Carl Gustaf	7
Carolus Gustavus	7
Charles	7
David Johannis	7
Edvard	7
Eero	7
G A	7
Georgius Christophori	7
Gustav	7
Hermann	7
J M	7
Johan Henrik	7
Magnus	7
Olof	7
Richard	7
Uno	7
Vladimir	7
Aleksis	6
Alexander Gustaf Julius	6
Alpo	6
Andreas Thuronis	6
Antero	6
Axelius Andreae	6
Carolus Abrahamus	6
Christiernus Caroli	6
David	6
Edward	6
Eliel	6
Frans	6
Frans Ferdinand	6
Friedrich	6
Georg Von	6
Gerhard	6
Isaacus Erlandi	6
J F	6
Johannes Fredericus	6
Johannes Jacobi	6
Jonatan	6
Juho	6
Jules	6
Laurentius Olavi	6
Ludvig	6
M G	6
Matthias	6
Mikko	6
Petrus Adolphus Von	6
R A	6
Rudolf	6
Salomon	6
Sigfridus Aronus	6
Simon Pauli	6
Toimi	6
A A	5
A V	5
Abrahamus Georgii	5
Akseli	5
Alex	5
Alexander Friedrich Franz	5
Antti J	5
Artturi	5
Benj	5
Carl Von	5
Carolus Reginaldus	5
Christian	5
Edouard	5
Friedrich Wilhelm Von	5
Gustaf Adolf	5
Harald	5
Heinrich	5
Henricus	5
Henry	5
Henryk	5
Huugo	5
Iivo	5
Israel	5
Ivar A	5
J R	5
Jack	5
Jean	5
Johan Vilhelm	5
Johann Christoph Von	5
Lars	5
Lars Levi	5
Laurentius	5
Laurentius Gabrielis	5
Lennart	5
Martinus Johannes	5
Mauno	5
Michael	5
Niilo	5
östen	5
Petrus Svenonis	5
Petter	5
Ralf	5
Sigurd	5
Th	5
V A	5
Victor	5
A I	4
Aadolf	4
Aatu	4
Adam	4
Agathon	4
Ahasverus Andreae	4
Albin	4
Anders Johan	4
Arne	4
Arvid Th	4
Aug	4
Aukusti Herman	4
Aukusti Juhana	4
Bertel	4
Bruno	4
Cornelius	4
Edwin	4
Esa	4
F M	4
Ferdinand Von	4
Fredrik Joel	4
Georg August	4
Gustavus Gabriel	4
Hans	4
I A	4
Isak	4
J G	4
J K	4
Jaakko Vihtori	4
James	4
Jens Andreas	4
Johan Olof	4
Johannes Bernhardi	4
Johannes Elai	4
Julian	4
Karl Gustaf	4
Ludvig Gabriel	4
Martinus Aeschilli	4
Nikolai	4
O J	4
Olaus	4
Oskari	4
Osvald	4
P A	4
P J	4
Peder	4
Reinhold	4
Rud	4
Taavi	4
V J	4
V J G	4
Wilho	4
A G	3
A O	3
Aapo	3
Aaro	3
Abel Fabian	3
Adolf Von	3
Alarik	3
Albert G	3
Aleksandr	3
Alexandre	3
Alfred Oswald	3
Allan	3
Andreas Ericus	3
Andreas Henrici	3
Andreas Johannis	3
Antti Daniel	3
Aug Af	3
Axel O	3
Axel Von	3
Bernt	3
Birger	3
C A	3
Carl Johan	3
Carl Oskar	3
Carolus Nicolaus Von	3
Charles M	3
Constantin	3
Daniel Caroli	3
E A	3
Edvard August	3
Edvin Efraim	3
Eeli	3
Ericus Michaelis	3
Ernest	3
Ernst Von	3
Fabian	3
Gustaf Henrik	3
Gustaf Oskar	3
H J	3
Hector	3
Henric Jacob	3
Hjalmar Otto	3
Isak Johan	3
J I	3
J T	3
J V	3
Jaakko Haniel	3
Jacobus Benedicti	3
Joel	3
Johan Rudolf	3
Johan Wilhelm	3
Johannes Petri	3
Jooseppi	3
Josef	3
Juho Rudolf	3
Jussi	3
Juuso	3
Kaapro	3
