Name	Count
Martti	340
A	323
E	271
K	248
J	232
Aeschillus Olai	228
Väinö	227
Enevaldus Svenonis	211
K. A	209
Pehr	206
Yrjö	200
Juhani	196
Jaakko	183
L	178
Kaarlo	177
Pehr Adrian	159
M	153
Gösta	148
Algothus Asmundi	139
Pietari	135
Heikki	127
K. J	121
Edv	119
J. E	110
Juho	108
Kaarle	103
G	99
Antti	96
Pekka	96
Valfrid	96
C	95
Santeri	95
J. J	94
H	93
J. H	93
Hj	90
Ilmari	88
Paavo	88
J. A	84
Kyösti	84
E. N	83
O. M	83
F	82
K. G	82
B. H	80
J. R	80
Olaus Georgii	80
W	79
Ericus Michael	78
Uno	78
Jalmari	77
O. A	76
V	75
N	73
Onni	73
E. G	72
O	72
F. W	71
Hilja	70
Isaacus	70
J. W	67
R	65
Vihtori	64
Toivo	62
K. E	61
A. J	60
A. W	60
Axelius Andreae	60
G. A	60
Maiju	60
P	58
S	58
Vilho	58
A. F	57
B	56
E. A	56
K. F	55
Christiernus Caroli	54
Henricus	54
Isaacus Hermanni	54
Yrjö Sakari	53
R. A	52
Georgius Christophori	51
Laurentius Olavi	51
J. F	50
Kustavi	50
L. L	50
Laurentius Gabrielis	49
C. W	48
Ericus	45
G. R	45
K. O	45
J. C	44
Thiodolf	44
A. E	43
Armas	43
E. J	43
Ludvig	43
Viljo	43
A. R	42
M. G	42
Volmar	42
Erkki	41
E. W	41
J. M	41
Oskari	41
Abrahamus Georgii	40
T	40
C. O	39
Arvi	38
K. R	38
Helmi	37
A. A	36
C. H	36
K. V	36
Zachris	36
A. I	35
G. G	35
Teuvo	35
Agathon	34
Benj	34
O. W	34
Akseli	33
D	33
F. A	33
I. A	33
Sigfridus Aronus	33
I	32
A. K	31
A. M	31
J. G	31
J. V	31
K. E. F	31
Laurentius	31
Th	31
Theodolinda	31
Artturi	30
Isaacus Erlandi	30
Konr	30
P. A	30
Samuli	30
Wilh	30
K. B	29
Huugo	28
K. K	28
Aino	27
B. F	27
Björnstjerne	27
Niilo	27
Osvald	27
A. H	26
Alfr	26
Antti J	26
C. T	26
Émile	26
J. T	26
L. H	26
Toimi	26
A. O	25
G. E	25
Henricus Henrici	25
K. M	25
V. T	25
Georgius	24
O. J	24
Osc	24
V. K. E	24
Ericus Erici	23
H. C	23
Hedvig	23
Iivo	23
Jooseppi	23
Mauno	23
Mc. Donnel	23
S. A	23
Ericus Johannis	22
F. M	22
G. J	22
J. I	22
Kustaa	22
Olli	22
Urho Viljo	22
Veikko	22
V. R	22
Ahasverus Andreae	21
Alpo	21
A. V	21
C. R	21
H. L	21
I. K	21
J. N	21
Joh. Rich	21
J. P	21
Jussi	21
K. W	21
L. W	21
Mór	21
östen	21
T. K	21
Aatu	20
Alb	20
Aukusti	20
Aukusti Juhana	20
F. E	20
F. O	20
H. J	20
J. K	20
Olai	20
S. V	20
T. E	20
V. A	20
Wilho	20
Abrahamus	19
C. A	19
V. F	19
Irmari	18
J. L	18
Mårten	18
N. R. Af	18
Olaus	18
P. J	18
Solmu	18
Tyko	18
U. T	18
A. Benjamin	17
A. G	17
Aukusti Herman	17
Christfrid	17
E. S	17
Kosti	17
O. Von	17
Vilhelm	17
Axelius Adolphus	16
D. L	16
Henricus Matthiae	16
J. O	16
L. J	16
Y. K	16
Gertrud	15
H. G	15
J. Oskar I	15
Laurentius Johannes	15
Severi	15
T. De Witt	15
T. H	15
U. W	15
Vilh	15
V. J	15
Volter	15
Aapo	14
Aukusti Robert	14
Eugène	14
Henric Michelsson	14
Kössi	14
Kustaa Jonatan	14
Ludvig Gabriel	14
Nuutti	14
O. I	14
Olavus	14
Sulo	14
W. W	14
Aukusti Valdemar	13
C. Georg	13
C. M	13
D. E. D	13
Em	13
Ilmi	13
Jaakko Haniel	13
József	13
Juho Rudolf	13
Kaapro	13
K. N	13
O. Hj	13
P. W	13
Svante	13
T. B	13
U	13
Uuno	13
Abrahamus Claudii	12
Atle	12
Aug	12
Evald Ferdinand	12
F. J	12
Fr. W	12
G. L	12
H. M. J	12
Iivari	12
J. S	12
K. O. G	12
M. H	12
Olaus Olai	12
Rafaël	12
W. A	12
Wentzel	12
Aarne	11
Aku	11
Efr	11
E. R	11
F. B	11
Fr	11
Fridericus	11
