Name	Count
Total count: 	37328
28	15707
19	11422
45	 3177
15	 1852
22	  555
20	  430
90	  395
23	  366
18	  296
21	  287
24	  242
35	  240
17	  237
16	  226
25	  211
60	  108
14	   96
12	   89
26	   82
29	   75
30	   70
13	   57
27	   53
32	   53
31	   52
33	   50
42.8	   38
34	   35
42.7	   24
11	   22
36	   19
43	   14
12.5	   13
48.2	   13
38	   12
10	   11
42	   11
68	   11
42.2	   10
42.9	   10
85	   10
46	    9
47	    9
48	    9
51	    9
53	    9
55	    9
73	    9
37	    8
39	    8
40	    8
44	    8
51.3	    8
7	    8
56	    7
69	    7
70	    7
77	    7
92	    7
93	    7
101	    6
25.5	    6
42.5	    6
57.5	    6
63	    6
71	    6
46.7	    5
51.4	    5
51.5	    5
55.4	    5
58	    5
58.5	    5
62.5	    5
71.5	    5
72.5	    5
78	    5
79.5	    5
106	    4
41	    4
41.4	    4
42.6	    4
52	    4
54	    4
54.4	    4
55.2	    4
55.3	    4
57.8	    4
60.5	    4
75	    4
76	    4
81	    4
96.5	    4
100	    3
102	    3
103	    3
113	    3
129	    3
33.5	    3
41.3	    3
49	    3
50	    3
50.4	    3
50.6	    3
51.1	    3
52.5	    3
53.3	    3
53.5	    3
53.7	    3
54.9	    3
55.5	    3
57	    3
59	    3
61	    3
64	    3
69.2	    3
69.5	    3
72	    3
88.7	    3
91	    3
94	    3
96	    3
107	    2
21.4	    2
23.9	    2
31.3	    2
31.7	    2
35.3	    2
37.3	    2
37.5	    2
39.5	    2
41.5	    2
42.1	    2
42.4	    2
50.8	    2
51.6	    2
54.7	    2
56.5	    2
56.8	    2
58.2	    2
61.5	    2
62	    2
62.8	    2
64.4	    2
66	    2
66.3	    2
67	    2
68.7	    2
71.3	    2
71.4	    2
74	    2
80	    2
82	    2
84	    2
86	    2
87.5	    2
89	    2
9	    2
91.5	    2
92.8	    2
96.7	    2
97.7	    2
98.5	    2
99	    2
100.2	    1
100.8	    1
101.5	    1
101.7	    1
104	    1
105	    1
105.3	    1
105.4	    1
106.9	    1
107.5	    1
109.5	    1
114	    1
118.2	    1
119	    1
120	    1
123	    1
123.5	    1
130	    1
137	    1
150	    1
158	    1
165	    1
16.7	    1
17.2	    1
18.5	    1
188	    1
194	    1
198	    1
203	    1
20.4	    1
21.8	    1
22.9	    1
23.1	    1
23.4	    1
24.5	    1
24.7	    1
24.8	    1
25.7	    1
25.8	    1
25.9	    1
26.1	    1
26.4	    1
26.7	    1
26.8	    1
27.2	    1
30.5	    1
30.7	    1
31.2	    1
31.5	    1
31.8	    1
32.3	    1
32.6	    1
32.8	    1
33.2	    1
33.3	    1
33.4	    1
33.6	    1
33.7	    1
34.2	    1
35.2	    1
35.5	    1
35.9	    1
36.4	    1
36.5	    1
36.9	    1
38.5	    1
38.7	    1
39.4	    1
39.8	    1
40.3	    1
40.5	    1
40.7	    1
42.3	    1
43.3	    1
43.8	    1
44.2	    1
44.5	    1
45.3	    1
45.5	    1
46.3	    1
47.4	    1
47.8	    1
48.3	    1
48.8	    1
49.3	    1
49.4	    1
49.8	    1
49.9	    1
50.7	    1
51.2	    1
51.8	    1
52.7	    1
53.1	    1
53.2	    1
53.4	    1
53.8	    1
53.9	    1
54.2	    1
54.3	    1
54.5	    1
54.8	    1
55.6	    1
55.7	    1
56.2	    1
56.4	    1
56.7	    1
57.2	    1
57.4	    1
57.6	    1
58.3	    1
58.6	    1
59.5	    1
59.8	    1
60.3	    1
60.8	    1
61.2	    1
61.6	    1
62.2	    1
62.7	    1
63.8	    1
64.5	    1
66.2	    1
66.4	    1
66.7	    1
67.5	    1
68.3	    1
68.5	    1
69.1	    1
69.8	    1
70.3	    1
70.4	    1
70.7	    1
70.8	    1
71.2	    1
73.5	    1
74.3	    1
7.5	    1
75.5	    1
75.8	    1
76.2	    1
76.6	    1
77.7	    1
78.7	    1
79	    1
79.2	    1
8	    1
81.5	    1
82.5	    1
83	    1
84.8	    1
85.7	    1
86.2	    1
86.7	    1
87.6	    1
88	    1
89.3	    1
89.7	    1
93.8	    1
93.9	    1
94.3	    1
94.5	    1
94.7	    1
95	    1
96.3	    1
97.3	    1
97.5	    1
97.6	    1
98.3	    1
98.7	    1
98.8	    1
99.3	    1
99.5	    1
