Name	Count
Total count: 	12071
FI-H	11939
FI-H;FI-H	   60
FI-Frenckell, Johan Christofer II	    8
FI-H;FI-H;FI-H	    6
FI-losofia	    6
FI-Ruots. kaunokirj. 1	    5
FI-R.Fol.	    3
FI-Carlbohm, Arvid	    2
FI-Fougt, Henrik I (leski)	    2
FI-Heng.laulukirj.1.	    2
FI-HYK	    2
FI-Lahetys	    2
FI-Londicer, Carl Anton	    2
FI-Merckell, Jacob	    2
FI-Suom. kaunokirj. 1	    2
FI-Diss. Ulk.	    1
FI-Fougt, Henrik (leski)	    1
FI-H;FI-H;FI-H;FI-H	    1
FI-H;FI-K.Oikeustiede	    1
FI-H;FI-Kirjatieto 1	    1
FI-H;FI-Kuopio VI:7:122	    1
FI-H;FI-Palosuojelu 2, asetus	    1
FI-H;FI-Palosuojelu 2, Turku	    1
FI-Heng. laulukirj.1.	    1
FI-Heng.laulukirj.1	    1
FI-III.3.b/1	    1
FI-III.3.b/2	    1
FI-K. Hist. asiakirj.	    1
FI-K.Hbrtauskirj.	    1
FI-K.Saarnakirj.	    1
FI-Kirjastot 2 Viipuri	    1
FI-Londicer, Georg Wilhelm	    1
FI-Maantiede 1	    1
FI-Maantiede 1.	    1
FI-Momma, Peter	    1
FI-R. Suom. kaunokirj. 5	    1
FI-Raamatut 5. , Matteus	    1
FI-s.n.	    1
FI-Saarnakirj.	    1
FI-Suom. kaunok. 6	    1
FI-Suom. lastenkirj. 3	    1
FI-Teollisuus 3	    1
Suomi	    1
