Name	Count
Finnish	35137
Swedish	26592
Latin	8312
German	2349
Russian	1080
French	1070
English	551
Greek, Ancient (to 1453)	454
Danish	138
u	130
Hebrew	56
Italian	50
Estonian	49
Norwegian	49
Multiple languages	38
Afroasiatic (Other)	34
Dutch	32
Hungarian	31
Undetermined	31
Finno-Ugrian (Other)	23
Esperanto	21
Polish	18
Sami	16
Icelandic	13
Spanish	13
Germanic (Other)	7
Karelian	7
Greek, Modern (1453-)	5
Lithuanian	5
Arabic	4
Latvian	4
Northern Sami	4
Church Slavic	2
Ukrainian	2
Czech	1
e	1
Erzya	1
f20091772	1
gr	1
Lule Sami	1
Portuguese	1
sws	1
Syriac, Modern	1
Tibetan	1
Votic	1
Yiddish	1
