Name	Count
Total count (na.rm TRUE): 	69911
fin	32355
swe	23022
lat	 6180
ger	 1857
fin;swe	 1382
rus	  730
fre	  617
lat;swe	  591
eng	  344
lat;grc	  260
swe;fin	  194
swe;lat	  178
fin;ger	  135
u	  129
dan	  124
lat;fre	  105
fin;rus	   99
fin;eng	   80
lat;grc;swe	   64
fin;lat	   60
swe;fre	   59
fin;fre	   58
swe;rus	   55
fin;swe;rus	   47
swe;ger	   46
lat;ger	   44
nor	   40
ita	   38
lat;swe;grc	   38
est	   37
mul	   34
afa	   32
hun	   28
lat;fin	   28
dut	   26
fin;ger;fre	   26
lat;fre;swe	   25
lat;swe;fre	   25
lat;swe;fin	   24
swe;eng	   22
und	   21
lat;heb	   20
pol	   18
rus;fin	   17
fin;swe;ger	   16
fin;swe;ger;rus	   16
ger;fin	   15
fiu	   14
rus;swe	   14
fin;swe;eng	   13
fin;swe;fre	   13
ice	   13
spa	   13
ger;lat	   12
grc	   12
grc;lat	   12
eng;rus	   11
fin;swe;lat	   11
fin;swe;ger;fre	   10
epo	    9
fin;swe;eng;ger	    8
ger;fre	    8
lat;eng	    8
smi	    8
fin;epo	    7
lat;ger;swe	    7
lat;heb;swe	    7
lat;swe;ger	    7
swe;fin;rus	    7
fin;est	    6
fiu;rus	    6
rus;fin;swe	    6
rus;fre	    6
eng;fin	    5
fin;und	    5
gem	    5
lat;heb;grc	    5
fin;eng;fre	    4
ger;swe	    4
lav	    4
lit	    4
swe;fin;lat	    4
fin;gre	    3
fin;hun	    3
fin;nor	    3
fin;swe;eng;rus	    3
ger;rus	    3
grc;lat;swe	    3
krl	    3
lat;ara;swe	    3
lat;ger;fre	    3
lat;grc;fin	    3
lat;grc;ger	    3
lat;ita	    3
lat;swe;heb	    3
sme	    3
swe;dan;nor	    3
swe;fin;ger	    3
swe;ger;fre	    3
swe;ger;lat	    3
swe;lat;ger	    3
swe;lat;grc	    3
dut;swe;eng;fre	    2
eng;fre	    2
eng;swe	    2
epo;fin	    2
esp	    2
est;fin	    2
fin;dan	    2
fin;eng;ger	    2
fin;fre;und	    2
fin;ger;rus	    2
fin;swe;eng;fre;ger;rus	    2
fin;swe;eng;ger;fre	    2
fin;swe;eng;ger;rus	    2
fin;swe;ger;lat	    2
fre;fin	    2
fre;rus	    2
fre;swe	    2
ger;fiu	    2
ger;lat;est	    2
ger;swe;lat	    2
grc;swe	    2
krl;rus	    2
lat;fin;swe	    2
lat;ger;grc	    2
lat;grc;fre	    2
lat;grc;fre;swe	    2
lat;grc;heb;swe	    2
lat;grc;swe;fre	    2
lat;ita;grc;fre	    2
lat;swe;eng	    2
lat;swe;fre;fin	    2
lat;swe;ger;fin	    2
rus;chu	    2
rus;ger	    2
rus;krl	    2
rus;lat	    2
smi;swe	    2
swe;dan	    2
swe;fin;eng	    2
swe;fin;eng;ger	    2
swe;fre;ger	    2
swe;fre;lat	    2
swe;lat;fin	    2
swe;lat;fre	    2
afa;fin	    1
cze	    1
dan;eng	    1
dan;lat	    1
eng;ger;fre	    1
eng;ger;fre;swe	    1
eng;swe;fin	    1
epo;fin;swe	    1
est;ger	    1
f20091772;ger	    1
fin;afa	    1
fin;fin	    1
fin;fre;swe	    1
fin;fre;swe;rus	    1
fin;fre;swe;rus;ger	    1
fin;ger;eng	    1
fin;ger;und	    1
fin;heb	    1
fin;lat;ger	    1
fin;lat;swe	    1
fin;rus;swe	    1
fin;smi	    1
fin;smi;ger	    1
fin;swe;eng;rus;fre;ger	    1
fin;swe;ger;dan	    1
fin;swe;ger;fre;rus	    1
fin;swe;gre	    1
fin;swe;rus;eng;fre	    1
fin;swe;rus;ger;eng	    1
fiu;fre	    1
fre;eng	    1
fre;ger	    1
fre;lit	    1
fre;swe;fin	    1
gem;lat	    1
ger;eng	    1
ger;eng;fre	    1
ger;eng;rus	    1
ger;fre;dan	    1
heb	    1
heb;grc;lat	    1
ita;lat	    1
lat;ara	    1
lat;dut	    1
lat;eng;fre;ger;swe	    1
lat;eng;fre;heb	    1
lat;eng;fre;ita;dut;grc	    1
lat;eng;fre;swe;ita	    1
lat;eng;swe	    1
lat;eng;swe;fre	    1
lat;fin;fre;swe	    1
lat;fin;ger	    1
lat;fin;grc	    1
lat;fre;ger;swe	    1
lat;fre;grc	    1
lat;fre;swe;ger	    1
lat;fre;swe;grc	    1
lat;ger;fre;swe	    1
lat;ger;heb;fre;swe	    1
lat;ger;swe;fre	    1
lat;grc;eng;fre;heb	    1
lat;grc;eng;heb;swe	    1
lat;grc;ger;swe	    1
lat;grc;heb	    1
lat;grc;heb;swe;fin	    1
lat;grc;swe;fin;ger;dut;ita	    1
lat;grc;swe;ger	    1
lat;grc;syr	    1
lat;gre;swe	    1
lat;heb;eng	    1
lat;heb;grc;swe	    1
lat;heb;grc;swe;fin	    1
lat;ita;grc	    1
lat;rus	    1
lat;rus;swe	    1
lat;swe;eng;fin	    1
lat;swe;eng;fre	    1
lat;swe;fin;eng	    1
lat;swe;ger;fre	    1
lat;swe;heb;grc	    1
lat;swe;rus	    1
myv	    1
nor;swe;dan	    1
por	    1
rus;fin;mul	    1
rus;fin;swe;ger	    1
rus;gr	    1
rus;swe;fin	    1
smi;dan	    1
smi;fin	    1
smi;sme	    1
swe;eng;fre	    1
swe;eng;fre;ger	    1
swe;eng;ger;fre;rus;ita	    1
swe;est	    1
swe;fin;eng;rus	    1
swe;fin;ger;rus	    1
swe;fre;lat;ger	    1
swe;gem	    1
swe;grc	    1
swe;heb	    1
swe;lat;fre;grc	    1
swe;lat;lat	    1
swe;mul	    1
swe;rus;fin	    1
swe;rus;fin;ger	    1
swe;smi	    1
swe;smj	    1
swe;vot	    1
sws;e	    1
tib	    1
ukr	    1
ukr;rus	    1
yid	    1
