Name	Count
Finnish	34782
Swedish	24129
Latin	 7965
German	 1952
Russian	  804
Undetermined	  733
French	  656
English	  368
Danish	  127
Norwegian	   43
Estonian	   40
Italian	   40
Multiple languages	   36
Afroasiatic (Other)	   33
Greek, Ancient (to 1453)	   31
Dutch	   29
Hungarian	   28
Finno-Ugrian (Other)	   21
Polish	   18
Esperanto	   14
Icelandic	   13
Sami	   13
Spanish	   13
Germanic (Other)	    6
Karelian	    5
Latvian	    4
Lithuanian	    4
Northern Sami	    3
Hebrew	    2
Ukrainian	    2
Czech	    1
Erzya	    1
Portuguese	    1
Tibetan	    1
Yiddish	    1
