Name	Count
Finnish	32708
Swedish	23476
Latin	 6587
German	 1899
Finnish;Swedish	 1397
Russian	  749
Undetermined	  733
French	  646
Latin;Swedish	  610
English	  345
Latin;Greek, Ancient (to 1453)	  272
Swedish;Latin	  206
Swedish;Finnish	  198
Finnish;German	  135
Danish	  125
Latin;French	  105
Finnish;Russian	  101
Finnish;English	   82
Latin;Greek, Ancient (to 1453);Swedish	   64
Finnish;French	   63
Finnish;Latin	   63
Swedish;French	   61
Swedish;Russian	   55
Swedish;German	   49
Finnish;Swedish;Russian	   47
Latin;German	   46
Norwegian	   40
Italian	   39
Latin;Swedish;Greek, Ancient (to 1453)	   38
Estonian	   37
Multiple languages	   36
Afroasiatic (Other)	   32
Latin;Finnish	   30
Hungarian	   28
Dutch	   26
Finnish;German;French	   26
Latin;Swedish;Finnish	   26
Latin;French;Swedish	   25
Latin;Swedish;French	   25
Latin;Hebrew	   22
Swedish;English	   22
Polish	   18
Russian;Finnish	   17
Finnish;Swedish;German	   16
Finnish;Swedish;German;Russian	   16
German;Finnish	   15
Russian;Swedish	   15
Finnish;Swedish;English	   14
Finnish;Swedish;French	   14
Finno-Ugrian (Other)	   14
Greek, Ancient (to 1453)	   14
Icelandic	   13
Spanish	   13
Finnish;Swedish;German;French	   12
German;Latin	   12
Greek, Ancient (to 1453);Latin	   12
English;Russian	   11
Esperanto	   11
Finnish;Swedish;Latin	   11
Latin;English	    9
Finnish;Swedish;English;German	    8
German;French	    8
Latin;Swedish;German	    8
Sami	    8
Finnish;Esperanto	    7
Latin;German;Swedish	    7
Latin;Hebrew;Swedish	    7
Swedish;Finnish;Russian	    7
Finnish;Estonian	    6
Finno-Ugrian (Other);Russian	    6
Russian;Finnish;Swedish	    6
Russian;French	    6
English;Finnish	    5
Finnish;Undetermined	    5
German;Swedish	    5
Germanic (Other)	    5
Latin;Hebrew;Greek, Ancient (to 1453)	    5
Finnish;English;French	    4
Latvian	    4
Lithuanian	    4
Swedish;Finnish;Latin	    4
Swedish;Latin;Greek, Ancient (to 1453)	    4
Finnish;Greek, Modern (1453-)	    3
Finnish;Hungarian	    3
Finnish;Norwegian	    3
Finnish;Swedish;English;Russian	    3
German;Russian	    3
Greek, Ancient (to 1453);Latin;Swedish	    3
Karelian	    3
Latin;Arabic;Swedish	    3
Latin;German;French	    3
Latin;Greek, Ancient (to 1453);Finnish	    3
Latin;Greek, Ancient (to 1453);German	    3
Latin;Italian	    3
Latin;Swedish;Hebrew	    3
Northern Sami	    3
Swedish;Danish;Norwegian	    3
Swedish;Finnish;German	    3
Swedish;German;French	    3
Swedish;German;Latin	    3
Swedish;Latin;Finnish	    3
Swedish;Latin;German	    3
Dutch;Swedish;English;French	    2
English;French	    2
English;Swedish	    2
Esperanto;Finnish	    2
Estonian;Finnish	    2
Finnish;Danish	    2
Finnish;English;German	    2
Finnish;French;Undetermined	    2
Finnish;German;Russian	    2
Finnish;Swedish;English;French;German;Russian	    2
