Name	Count
[?:o].	78
poikittais-1:o [1/2:o?].	29
poikittais-1:o [-1/2:o?].	28
kuv.	10
o.	8
1:o [1/2:o?].	7
8 :o.	4
21-22 cm.	3
?:o.	3
Koko vaihtelee.	2
8:c.	2
4:o [8:o?].	2
18-20 cm.	2
17-18 cm.	2
12 :o.	2
poikittais-1:o 1/2:o?].	1
poikittais-1:o [1/2:o].	1
cm.	1
84:o.	1
8:o [16:o?].	1
4:o 2 [4?] kuvaliitettä.	1
4 :o.	1
38-40 cm.	1
38-39 cm.	1
34-40 cm.	1
31-35 cm.	1
29-37 cm.	1
28-37 cm.	1
28-34 cm.	1
28-32 cm.	1
28 s.	1
27-31 cm.	1
26-33 cm.	1
26-30 cm.	1
25-33 cm.	1
24-31 cm.	1
24-30 cm.	1
22-28 cm.	1
22-24 cm.	1
21:o.	1
20-27 cm.	1
20-22 cm.	1
2:o (4:o?)	1
2 liitekuvaa.	1
1915.	1
1912.	1
1907.	1
19-20 cm.	1
1896.	1
1869.	1
18-21 cm.	1
18-19 cm.	1
17-25 cm.	1
17-19 cm.	1
16-19 cm.	1
15-17 cm.	1
13-18 cm.	1
12:o (=8:o)	1
108 s., 4 kuvalehteä.	1
1/2:o [1:o?].	1
