Name	Count
Total count: 	952
191	3
s. 52	3
195	2
3168.;s. 107.;s. 778.	2
4	2
478	2
96	2
s. 41	2
[1:1];161	1
[1146 b:1]	1
[1148 j:1]	1
[1453 b:1]	1
[1769:1]	1
[622 d:1]	1
[678 g:1]	1
1;1009	1
1;1076	1
1;1189	1
1;1334	1
1;1336	1
1;1411	1
1;1547 var. A	1
1;1695	1
1;1738	1
1;1824	1
1;1864	1
1;2096	1
1;2107	1
1;2110 var. A	1
1;2140	1
1;219	1
1;2203	1
1;222	1
1;2257	1
1;2287	1
1;2550	1
1;2601	1
1;2653	1
1;2660	1
1;2706	1
1;2713	1
1;2753	1
1;2952	1
1;2988	1
1;3232	1
1;3579 var. B	1
1;3582	1
1;3583	1
1;3637	1
1;3638	1
1;3647	1
1;3650	1
1;3670 var. C	1
1;3834	1
1;3874	1
1;3978	1
1;4001	1
1;4063	1
1;4274	1
1;4278	1
1;4437	1
1;4443	1
1;641	1
1;780	1
1;82 & 83	1
1;847	1
1;848	1
1;850	1
1;864	1
1;95	1
1.;4436.	1
10;10;741	1
10;1332	1
10;1405	1
10;2120	1
10;2572	1
10;3001	1
10;3572	1
10;3595	1
10;3997	1
10;4105	1
10;923 var. B	1
100;2852	1
100;4366 var. B	1
1002	1
101;3121	1
102;1652	1
102;3122	1
103;1159	1
103;1653	1
1054	1
1056	1
1058	1
106;31/32. Lisä: 2	1
107;2859	1
1083	1
109;1659	1
109;2861	1
109;3778	1
1093	1
1094	1
11;1170	1
11;1346	1
11;2159	1
11;239	1
11;2939	1
11;3031	1
11;3439	1
11;3669	1
11;3946	1
11;4199	1
11;637	1
111;2863	1
111;3131	1
111;3541	1
112;1976	1
112;3132	1
112b;3543	1
113;1663	1
113;2865	1
113.	1
1141	1
116.;369	1
116=118;4383	1
1179 b;2405	1
118;3549	1
1183	1
1198	1
11q;2589	1
12;2298	1
12;2327	1
12;2764 var. A	1
12;2764 var. B	1
12;2940	1
12;3003	1
12;3440 var. A	1
12;805	1
1208	1
121 ja 122 (Omtryck)	1
121;1985	1
1212;1212;304:1	1
1214 e;1214 c-e;s. 46	1
122;1671	1
122;1986	1
122;375	1
123;123;3793	1
123;1987	1
1243;1243-1245 h	1
1245	1
126;3146	1
1264	1
1275;1275;s. 242	1
128;2881	1
128;3148	1
1285;52;3344;1278-1288	1
129;2883	1
13	1
13;155	1
13;2299	1
13;2765 var. A;s. 42;2833	1
13;3305	1
13;3441	1
13;3598	1
13;3886	1
13;4201	1
13;639	1
13;657	1
13;927	1
130;3150	1
1308 ff.	1
131;131;3801	1
1326;1326	1
132b;2890a	1
133 x;133 x	1
1333 a	1
1335	1
134 c;134 c	1
134;387	1
135;2893	1
135;3805 var. B	1
1352;1352	1
1357	1
1367	1
1373, 1483, 1735, 1856, [1883], 1886²	1
1396	1
13b;3949	1
14 b;3850	1
14;108	1
14;1560	1
14;1685	1
14;1858	1
14;2124	1
14;28 c./29. Lisä	1
14;614	1
1405	1
141;54	1
142;2006	1
142;3812	1
1421 a;1418-1425	1
1421;1418-1425	1
143;143;3813	1
143:3	1
144 b;2390	1
1453 h.;s. 198.	1
1455;1455, [1455:1]	1
146;2009	1
1474;1474;s. 223	1
1475;1475-1480	1
148;2906 var. B	1
148;4424	1
1484;1481-1488	1
149;3169	1
1490;3269	1
1493	1
14b;2084	1
14b;999	1
15;1409	1
15;2301	1
15;2621 var. B	1
15;2767 var. A	1
15;615	1
1506;1503 a-1506	1
1524	1
153;2911	1
1532;1532-1533	1
154;3824 var. B	1
1540 b;1540 b	1
1557 b;1557 b	1
1558 c;1558 c-f	1
1559	1
155e;2913d	1
156;3176	1
157;3827 var. A	1
157;3827 var. C	1
1575	1
159;3829	1
1596	1
16;269	1
16;3054	1
16;3308	1
16;3852	1
16;73	1
161:7 (ks. myös 161:1-6, 8-11).	1
1623 c;1623 b-d;s. 183	1
164;417	1
1658	1
166;3186	1
166;419	1
1663	1
1668	1
1671	1
168;421	1
1680	1
1687;1685-1694	1
1688	1
1694	1
17;1371	1
17;1723	1
17;2087	1
17;2623	1
17;3008	1
17;3364	1
17;3917	1
17;4205 var. A	1
17;769	1
1706;1705-1706	1
172;606;172-174;s. 72;4	1
1729	1
1759;s. 328;1759	1
176;3196	1
1764 b;s. 92	1
1772:2	1
1784	1
1788;s. 512	1
179	1
18;1431	1
18;1689	1
18;3009	1
18;3038	1
18;3855	1
18;3918 var. A	1
18;3960	1
18;4300 var. B	1
18;618	1
1803	1
1805 c;1805 c;s. 89	1
1818	1
1837	1
1845	1
1849	1
185;3205	1
186	1
1876	1
188;3208	1
19;162	1
19;1691	1
19;19 var. B;49	1
19;2089	1
19;2626	1
19;s. 128;4207	1
190	1
1916	1
1931	1
194;3214	1
1943;s. 330;1943-1947	1
196;449	1
199;3219	1
1c;3349	1
2	1
2;1010	1
2;1190	1
2;1305	1
2;1319	1
2;1335	1
2;1351	1
2;1396	1
2;1538	1
2;1548 var. A	1
2;1548 var. B	1
2;1751	1
2;2259	1
2;2288	1
2;2371	1
2;2561	1
2;2654	1
2;2670	1
2;2703	1
2;3267	1
2;3273	1
2;3430	1
2;3875	1
2;4087	1
2;4089	1
2;749	1
2;790	1
2;852	1
2;857	1
2;865	1
2;s .136;3247;3350 var. A	1
2;s .136;3247;3350 var. B	1
20;1884	1
20;20 var. B;50	1
20;2132	1
20;2279	1
20;2772	1
20;3312	1
20;3448	1
20;905	1
200;453	1
2004	1
201	1
2011	1
2017	1
205;3225	1
2060	1
2063	1
2072	1
2080	1
21;1252	1
21;1885	1
21;2035	1
21;2475	1
21;4024 var. A	1
2104	1
211;3231	1
211;464	1
2110	1
2112	1
2113 a	1
2125	1
2131	1
2134	1
2138	1
214;467	1
2158	1
21c;117	1
22;165	1
22;1693	1
22;2036	1
22;2281	1
22;2488 var. A;2338	1
22;2774	1
22;2951	1
22;3954	1
22;812	1
223;476	1
226	1
229;482	1
23;1182	1
23;1729	1
23;23 var. A;67	1
23;2630	1
23;3014	1
2310	1
233	1
235	1
236	1
2379	1
24;151:3	1
24;277	1
24;2776	1
24;4129	1
2409	1
2414	1
243	1
244, 245	1
2465;47;2364	1
247	1
2496	1
25	1
25;1036	1
25;160:2	1
25;2039	1
25;2284	1
25;25;948 var. A	1
25;3016	1
25;3317	1
250	1
2504	1
2553 b;s. 93;78 b (s. 252)	1
2559	1
257	1
26;26;710	1
26;3017	1
26;3695	1
26;4032	1
26²	1
267, 268, 271;267, 268, 270-271	1
27;1215	1
27;1381	1
27;2041	1
27;2779 var. B	1
27;280	1
27;510	1
27;817	1
27b;4216	1
28;1084	1
28;1187	1
28;125	1
28;1382	1
28;1892	1
28;2344	1
28;2780	1
28;4217	1
28;596	1
281	1
29;126	1
29;3421	1
29;4184	1
2904a	1
291:1	1
2b;3930	1
3	1
3;1056	1
3;1326 var. A	1
3;135	1
3;144 var. A	1
3;1697	1
3;185	1
