Name	Count
Total count: 	n= 35537  ( 100 % non-NA values)
Nimeke tekstin alkusanoista.	2870
Suomennos	1186
Painovuosi nimekkeestä.	 855
Nimeke tekstin alkusanoista.;Painovuosi päiväyksestä.	 307
Ilmestynyt vain kerran.	 156
Painaja Melanderin mukaan.;Painovuosi nimekkeestä.	 154
Nimeke tekstin alusta.;Painovuosi päiväyksestä.	 152
Nimeke tekstin alkusanoista.;Ei verrattu julkaisuun.	 126
Tekijä s. [4].;Painovuosi nimekkeestä.	 124
Anonyymi.;Painovuosi nimekkeestä.	 123
Kuvakirja	 122
Nimeke otsikosta.	 111
Sammanhäftad med den finska upplagan	 105
Priv.: J. A. Carlbohm.	  96
Painaja Melanderin mukaan. Painovuosi nimekkeestä.	  85
Kartan esitystekniikka: maastokartta.;Venäläisten sotilastopografien laatima kartasto, joka käsittää kaikkiaan 86 karttalehteä.;Suomessa tunnetaan nimellä Kalmbergin kartasto kartoitustyötä johtaneen eversti Gustaf Adolf Kalmbergin mukaan.;Kartat kotelossa.;Kotelossa nimeke: Kalmbergin Suomen sotilastopografinen kartta.	  84
Painovuosi päiväyksestä.	  78
Ei ole tiedossa säilynyttä kappaletta.;Pippingin mukaan.	  77
Priv.: Jacob Merckell.;Painovuosi päiväyksestä.	  75
Öfversättning	  72
Arkit: A4.	  72
Painovuosi nimekkeestä.;Arkit: A4.	  66
Priv.: H. C. Merckell (leski).;Painovuosi päiväyksestä.	  61
Suomennos.	  60
Blandad svensk och finsk text	  60
Ruotsinkielinen runo.;Painovuosi nimekkeestä.	  59
Julkaisua ei nähty.;Nimeke ja ulkoasutiedot Vallinkosken mukaan.;Julkaisutiedot oletettu.	  59
Inv.: Jesuxen nimeen.	  59
Kuvilla varustettu	  56
Illustr.	  55
Även finsk titel	  53
Toim.: Suomalaisen Kirjallisuuden Seura.	  52
Priv.: Jacob Merckell.	  48
Kartan esitystekniikka: maastokartta.	  48
Tekijä runon lopusta.;Painovuosi nimekkeestä.	  46
Läroverksprogram.	  46
Suomen ja ruotsin kielellä	  45
Nimeke ja painovuosi otsikosta.	  43
Mittakaava laskettu janamittakaavasta	  43
Painaja Melanderin mukaan.	  42
Titel äfven på finska	  38
Nimeke otsikosta.;Julkaisutiedot kolofonista.	  38
Anonyymi.	  37
Inv.: D.D.	  36
Kuvitettu	  32
Arkit: )(4.	  32
Arkit: A-B4.	  31
0-meridiaani : Helsinki.;Kartan esitystekniikka: maastokartta.	  31
Painovuosi nimekkeestä.;Ruots. runo.	  30
Ei ole tiedossa säilynyttä kappaletta. Kuvailu Pippingin mukaan.	  30
Painovuosi nimekkeestä.;Ruotsinkielinen runo.	  28
Arkit: ):(4.;Painovuosi päiväyksestä.	  28
Öfversättning från finskan	  27
Inv.: I.N.J.	  27
Ei verrattu julkaisuun.	  27
