Name	Count
Total count: 	813
Turku	671
Upsala	 32
Helsingin yliopisto	 26
Uppsala	 26
Tartto	 14
Helsingfors universitet.	  9
Helsingin yliopisto.	  6
Marburg	  2
Rostock	  2
Suomen Keisarillinen Aleksanterin yliopisto.	  2
Universität Leipzig.	  2
Wittenberg	  2
1700.	  1
Jena	  1
Kaiserl. Alexander-Universität in Finland.	  1
Kaiserl. Alexanders-Universität in Helsingfors.	  1
Keisarillinen Suomen Aleksanterin yliopisto.	  1
Kejserliga Aleksanders-Universitetet i Finland.	  1
Kokkola	  1
Leiden	  1
Ludwigs-Universität.	  1
Lund	  1
Pärnu	  1
Strasbourg	  1
Suomen yliopisto [Helsingin yliopisto].	  1
Tûbingen' : Tûbingenskìj universitet'	  1
Universität Tübingen.	  1
Uppsala universitet	  1
Uppsala.	  1
Viipuri	  1
Wittenbergae : Academia Wittenbergensis	  1
