Name	Count
Total count: 	1641
Lidén,;Vallinkoski	348
Marklin,;Vallinkoski	213
Melander	 92
Pipping,;Rämä	 67
Leinberg	 14
Lidén,;Marklin,;Vallinkoski	 14
Pipping	 12
Vallinkoski	 12
Liden,;Vallinkoski	 11
Vallinkoski II	  7
Lidén,;Leinberg	  6
Rämä	  6
Stiernman,;Lidén,;Vallinkoski	  6
Bring 1958	  5
Collijn IV	  5
Elmgren I	  5
Elmgren II	  5
Lidén,;Stiernman,;Vallinkoski	  5
Lidén,;Vallinkoski,;SKB	  5
Collijn IV p. 1064	  4
Elmgren I s. 127	  4
Pipping,;Suomen almanakan juhlakirja,;Rämä	  4
Collijn IV p. 315	  3
Collijn IV,;Suomen kansallisbibliografia 1488-1700	  3
Lidén	  3
Lidén 113	  3
Marklin	  3
Marklin,;Leinberg	  3
Melander,;Rämä	  3
Stiernman,;Melander	  3
Bring 1961	  2
Bygdén I	  2
Collijn IV p. 313	  2
Collijn IV p. 314	  2
Collijn IV;Suomen kansallisbibliografia 1488-1700	  2
Elmgren I p. 127	  2
Elmgren I s. 131	  2
Elmgren s. 55. - Collijn IV p. 1073	  2
Hultin II	  2
Kaarna & Winter 1005	  2
Kaarna & Winter 1225	  2
Lidén,;Stiernman,;Suomen kansallisbibliografia 1488-1700,;Vallinkoski	  2
Marklin II	  2
Melander,;SKB	  2
Melander,;Suomen kansallisbibliografia 1488-1700	  2
Pipping,;Collijn IV,;Rämä,;Suomen kansallisbibliografia 1488-1700	  2
Pipping,;Lidén,;Vallinkoski,;Rämä	  2
Pipping,;Rämä,;Hultin I	  2
Pipping;Suomalainen kirjallisuus 1544-1877 / Valfrid Vasenius;Suomen kirjalilijat 1809-1916	  2
Rämä 578:1[:1]	  2
Sainio	  2
Stiernman,;Collijn IV,;Vallinkoski,;SKB	  2
Stiernman,;Pipping,;Melander,;Rämä	  2
Bibliographie der lappischen Litteratur / J. Qvigstad und K. B. Wiklund,;Collijn IV	  1
Bring 1958 121	  1
Bring 1958 22:1	  1
Bring 1958 41	  1
Bring 1958 413:2	  1
Bring 1958 413:8	  1
Bring 1958 417:1	  1
Bring 1958 564:1. - Ks. myös 564:2	  1
Bring 1958 647:1	  1
Bring 1958 776:2	  1
Bring 1958 91:1	  1
Bring 1961 106-107	  1
Bring 1961 s. 101	  1
Bygdén I,;Collijn IV,;SKB	  1
Bygdén I:179. - Bring 1961 s. 133	  1
Bygdén I:27	  1
Bygdén I:601	  1
Bygdén I:938	  1
Bygdén II s. 226	  1
Bygdén II:177	  1
Bygdén II:209	  1
Bygdén II:225	  1
Bygdén II:33	  1
Bygdén II:740	  1
Bygdén;Vallinkoski II	  1
Bygdn I p. 829. - Collijn IV p. 519	  1
Catalogue général des livres imprimés de la Bibliothèque nationale. Auteurs. Tome CI,;Suomen kansallisbibliografia 1488-1700	  1
Collijn I,;Manuale seu exequiale Aboense 1522. - Helsinki, 1980	  1
Collijn I;ISTC Incunabula Short Title Catalogue;Gesamtkatalog der Wiegendrucke	  1
Collijn III s. 120	  1
Collijn III s. 53. Melander 27. - SKB 1042	  1
Collijn III,;Melander	  1
Collijn IV p. 1064-1065	  1
Collijn IV p. 151	  1
Collijn IV p. 182	  1
Collijn IV p. 22-23	  1
Collijn IV p. 220-221	  1
Collijn IV p. 266	  1
Collijn IV p. 312	  1
Collijn IV p. 313-314	  1
Collijn IV p. 414	  1
Collijn IV p. 445-446. - Vallinkoski 2043 ff. - SKB 2115	  1
Collijn IV p. 451	  1
Collijn IV p. 451. - SAJ s. 307. - SKB 2130	  1
Collijn IV p. 477	  1
Collijn IV p. 581	  1
Collijn IV p. 612	  1
Collijn IV p. 698	  1
Collijn IV p. 702	  1
Collijn IV p. 71	  1
Collijn IV p. 764	  1
Collijn IV p. 781	  1
Collijn IV p. 882	  1
Collijn IV p. 924	  1
Collijn IV p. 925. - SAJ s. 306. - SKB 3804	  1
Collijn IV p. 955-956	  1
Collijn IV p. 996. - SKB 4276	  1
Collijn IV,;Leinberg, K. G. Orationes academicae Fennorum extra patriam habitae,;Sainio, Matti A. Dissertationen und Orationen der Universität Dorpat 1632-1656,;Suomen kansallisbibliografia 1488-1700	  1
Collijn IV,;SKB	  1
Collijn IV,;Suomen almanakan juhlakirja,;SKB	  1
Collijn IV,;Vallinkoski	  1
Collijn IV;Orationes academicae Fennorum extra patriam habitae / K. G. Leinberg;Dissertationen und Orationen der Universität Dorpat 1632-1656 / Matti A. Sainio;Suomen kansallisbibliografia 1488-1700	  1
Ei Melander	  1
Ei Pipping	  1
Elmgren I s. 123:1741	  1
Elmgren I s. 124	  1
Elmgren I s. 129	  1
Elmgren I s. 13. - Bring 1958 852:2	  1
Elmgren I s. 130	  1
Elmgren II s. 11	  1
Elmgren II s. 12	  1
Elmgren II s. 14	  1
Elmgren II s. 17	  1
Elmgren II s. 18	  1
Elmgren II s. 21	  1
Elmgren II s. 22	  1
Elmgren II s. 29	  1
Elmgren II s. 4	  1
Elmgren II s. 6	  1
Elmgren II s. 9	  1
Elmgren, Sven Gabriel. Öfversigt af Finlands litteratur ifrån år 1542 till 1770	  1
Göran Magnus Sprengtporten : XII / K. K. Tigerstedt	  1
Hjelt s. 457. - Collijn IV p. 108	  1
Hultin I	  1
Lagus 14	  1
Leinberg 194	  1
Leinberg 197	  1
Leinberg 20	  1
Leinberg 215	  1
Leinberg 25. - Collijn IV p. 440	  1
Leinberg 31	  1
Leinberg 34	  1
Leinberg,;Collijn IV	  1
Leinberg,;Lidén	  1
Leinberg,;Marklin	  1
Liden	  1
Lidén 101. - Leinberg 44	  1
Lidén 111. - Vallinkoski 1975	  1
Lidén 113. - Leinberg 122	  1
Lidén 119. - Leinberg 66	  1
Lidén 15. - Leinberg 111	  1
Lidén 18. - Vallinkoski 1882	  1
Liden 20	  1
Lidén 21. - Leinberg 110 [b]	  1
Lidén 22. - Marklin 22. - Vallinkoski 945	  1
Liden 25	  1
Lidén 29	  1
Lidén 29. - Leinberg 107 [b]	  1
Lidén 335. - Leinberg 104 [b]	  1
Lidén 34. - Leinberg 102	  1
Lidén 35	  1
Lidén 49. - Vallinkoski 1597	  1
Liden 77. - Vallinkoski 4394	  1
Lidén 85. - Leinberg 98	  1
Liden 88. - Vallinkoski 4405	  1
Lidén I	  1
Lidén I s. 282, 284. - Leinberg 19	  1
Lidén I s. 330-331	  1
Lidén I s. 407, 410. - Leinberg 25	  1
Lidén I s. 47-48. - Leinberg 26	  1
Lidén I s. 47. - Melander lisä s. 374	  1
Lidén I,;Leinberg	  1
Lidén I,;Leinberg,;Suomen kansallisbibliografia 1488-1700	  1
Lidén II	  1
Lidén III,;Collijn IV	  1
Lidén,;Pipping	  1
Lidén,;SKB,;Vallinkoski	  1
