Name	Count
Total count (na.rm TRUE): 	71301
0	51490
16	  809
32	  422
8	  387
12	  309
24	  278
15	  249
20	  243
14	  218
10	  207
48	  195
18	  194
22	  179
11	  172
23	  170
19	  167
26	  160
28	  159
31	  157
40	  154
30	  153
7	  135
13	  133
17	  132
36	  124
80	  116
64	  115
21	  114
46	  114
25	  107
34	  107
56	  106
29	  104
39	  104
112	  102
72	  101
27	  100
44	  100
35	   99
9	   97
96	   97
52	   94
42	   90
60	   90
50	   88
62	   86
37	   85
38	   83
54	   83
63	   83
95	   80
108	   80
84	   79
51	   78
47	   77
100	   77
58	   76
76	   76
61	   74
128	   74
78	   73
120	   73
55	   72
99	   72
160	   72
66	   71
192	   71
4	   70
92	   70
33	   69
88	   69
136	   69
127	   68
144	   68
6	   67
102	   67
43	   66
93	   65
53	   64
79	   64
103	   63
70	   62
71	   62
94	   62
124	   62
104	   60
132	   60
152	   60
45	   59
98	   59
109	   59
110	   59
111	   59
118	   59
91	   58
184	   58
67	   57
87	   57
114	   57
122	   57
59	   56
68	   56
83	   56
159	   56
200	   56
116	   55
74	   54
86	   54
41	   53
105	   53
126	   53
69	   52
106	   52
101	   51
134	   51
156	   51
168	   51
180	   51
57	   50
77	   50
113	   50
176	   50
117	   49
85	   48
135	   48
90	   47
240	   47
131	   46
139	   46
142	   46
154	   46
158	   46
49	   45
89	   45
107	   45
140	   45
148	   45
137	   44
155	   44
170	   44
183	   44
73	   43
75	   43
119	   43
143	   43
146	   43
151	   43
82	   42
130	   42
171	   42
125	   41
138	   41
150	   41
194	   41
65	   40
157	   40
196	   40
198	   40
97	   39
147	   39
208	   39
216	   39
141	   38
163	   38
172	   38
224	   38
153	   37
218	   37
81	   36
191	   36
232	   36
115	   35
149	   35
166	   35
167	   35
121	   34
162	   34
173	   34
175	   34
212	   34
540	   34
174	   33
199	   33
214	   33
272	   33
165	   32
256	   32
264	   32
539	   32
123	   31
164	   31
206	   31
210	   31
219	   31
220	   31
244	   31
182	   30
187	   30
197	   30
252	   30
400	   30
129	   29
169	   29
179	   29
248	   29
161	   28
178	   28
266	   28
133	   27
181	   27
185	   27
188	   27
205	   27
211	   27
213	   27
280	   27
320	   27
189	   26
190	   26
193	   26
207	   26
222	   26
227	   26
230	   26
237	   26
246	   26
202	   25
226	   25
238	   25
304	   25
2	   24
145	   24
204	   24
228	   24
242	   24
263	   24
285	   24
3	   23
217	   23
223	   23
302	   23
186	   22
234	   22
251	   22
258	   22
271	   22
274	   22
5	   21
203	   21
239	   21
270	   21
288	   21
294	   20
327	   20
209	   19
243	   19
283	   19
307	   19
324	   19
383	   19
241	   18
247	   18
249	   18
300	   18
310	   18
336	   18
177	   17
215	   17
221	   17
235	   17
250	   17
255	   17
277	   17
284	   17
287	   17
290	   17
296	   17
337	   17
195	   16
231	   16
236	   16
253	   16
254	   16
259	   16
260	   16
261	   16
267	   16
268	   16
276	   16
315	   16
318	   16
322	   16
368	   16
384	   16
432	   16
245	   15
278	   15
286	   15
316	   15
317	   15
332	   15
334	   15
359	   15
225	   14
229	   14
269	   14
275	   14
292	   14
295	   14
312	   14
333	   14
338	   14
343	   14
372	   14
408	   14
262	   13
265	   13
279	   13
281	   13
291	   13
309	   13
360	   13
1	   12
233	   12
257	   12
319	   12
349	   12
352	   12
406	   12
411	   12
416	   12
201	   11
282	   11
306	   11
308	   11
313	   11
326	   11
328	   11
341	   11
354	   11
363	   11
373	   11
375	   11
431	   11
464	   11
273	   10
325	   10
340	   10
342	   10
347	   10
379	   10
380	   10
381	   10
398	   10
404	   10
405	   10
480	   10
520	   10
538	   10
298	    9
301	    9
311	    9
323	    9
335	    9
344	    9
357	    9
366	    9
370	    9
378	    9
390	    9
392	    9
410	    9
420	    9
421	    9
430	    9
436	    9
439	    9
446	    9
509	    9
552	    9
293	    8
303	    8
321	    8
330	    8
331	    8
356	    8
362	    8
367	    8
371	    8
374	    8
395	    8
423	    8
424	    8
428	    8
438	    8
447	    8
456	    8
497	    8
297	    7
305	    7
314	    7
329	    7
339	    7
346	    7
348	    7
382	    7
385	    7
388	    7
389	    7
407	    7
415	    7
427	    7
443	    7
445	    7
463	    7
473	    7
500	    7
502	    7
508	    7
523	    7
577	    7
351	    6
355	    6
361	    6
364	    6
397	    6
399	    6
412	    6
419	    6
426	    6
437	    6
444	    6
449	    6
462	    6
472	    6
474	    6
479	    6
487	    6
488	    6
490	    6
504	    6
505	    6
512	    6
524	    6
548	    6
554	    6
566	    6
574	    6
584	    6
640	    6
299	    5
350	    5
353	    5
369	    5
386	    5
387	    5
402	    5
409	    5
414	    5
422	    5
440	    5
441	    5
452	    5
454	    5
455	    5
466	    5
468	    5
478	    5
492	    5
496	    5
516	    5
518	    5
527	    5
528	    5
544	    5
547	    5
550	    5
568	    5
592	    5
620	    5
668	    5
710	    5
716	    5
289	    4
345	    4
376	    4
377	    4
391	    4
394	    4
396	    4
401	    4
403	    4
418	    4
425	    4
429	    4
442	    4
448	    4
450	    4
458	    4
470	    4
475	    4
476	    4
477	    4
484	    4
485	    4
486	    4
499	    4
501	    4
510	    4
519	    4
530	    4
532	    4
537	    4
543	    4
546	    4
562	    4
564	    4
565	    4
580	    4
588	    4
608	    4
633	    4
634	    4
644	    4
652	    4
670	    4
676	    4
688	    4
764	    4
828	    4
-Inf	    3
358	    3
365	    3
413	    3
435	    3
457	    3
459	    3
461	    3
467	    3
469	    3
481	    3
482	    3
507	    3
513	    3
517	    3
531	    3
536	    3
542	    3
563	    3
575	    3
576	    3
586	    3
589	    3
595	    3
599	    3
600	    3
604	    3
606	    3
607	    3
614	    3
615	    3
618	    3
623	    3
639	    3
648	    3
650	    3
664	    3
672	    3
687	    3
692	    3
696	    3
715	    3
732	    3
738	    3
756	    3
763	    3
848	    3
991	    3
1596	    3
393	    2
417	    2
433	    2
434	    2
451	    2
453	    2
460	    2
483	    2
494	    2
495	    2
498	    2
503	    2
506	    2
511	    2
514	    2
515	    2
522	    2
526	    2
529	    2
534	    2
535	    2
549	    2
551	    2
553	    2
555	    2
556	    2
558	    2
559	    2
567	    2
570	    2
571	    2
578	    2
579	    2
581	    2
583	    2
587	    2
597	    2
598	    2
603	    2
610	    2
624	    2
629	    2
630	    2
632	    2
635	    2
636	    2
638	    2
642	    2
645	    2
656	    2
657	    2
661	    2
662	    2
663	    2
666	    2
673	    2
678	    2
681	    2
691	    2
701	    2
709	    2
724	    2
730	    2
734	    2
735	    2
736	    2
745	    2
750	    2
758	    2
759	    2
776	    2
782	    2
797	    2
812	    2
815	    2
817	    2
820	    2
835	    2
900	    2
936	    2
1135	    2
1144	    2
1229	    2
1320	    2
1588	    2
-174	    1
-52	    1
-12	    1
-8	    1
465	    1
471	    1
489	    1
491	    1
493	    1
521	    1
525	    1
533	    1
541	    1
557	    1
560	    1
561	    1
569	    1
582	    1
585	    1
590	    1
593	    1
602	    1
612	    1
616	    1
617	    1
619	    1
622	    1
625	    1
626	    1
627	    1
628	    1
631	    1
643	    1
647	    1
651	    1
654	    1
655	    1
658	    1
660	    1
667	    1
674	    1
677	    1
680	    1
684	    1
686	    1
693	    1
694	    1
698	    1
704	    1
706	    1
711	    1
714	    1
721	    1
731	    1
733	    1
739	    1
740	    1
744	    1
748	    1
751	    1
752	    1
757	    1
768	    1
769	    1
770	    1
772	    1
774	    1
775	    1
777	    1
779	    1
781	    1
789	    1
791	    1
793	    1
800	    1
808	    1
816	    1
818	    1
819	    1
823	    1
824	    1
827	    1
832	    1
838	    1
839	    1
843	    1
850	    1
852	    1
854	    1
855	    1
857	    1
858	    1
861	    1
863	    1
864	    1
865	    1
869	    1
872	    1
877	    1
895	    1
897	    1
905	    1
909	    1
911	    1
912	    1
916	    1
923	    1
924	    1
927	    1
929	    1
941	    1
943	    1
946	    1
952	    1
954	    1
955	    1
964	    1
973	    1
981	    1
1003	    1
1005	    1
1006	    1
1011	    1
1014	    1
1020	    1
1037	    1
1039	    1
1045	    1
1046	    1
1056	    1
1066	    1
1071	    1
1083	    1
1086	    1
1088	    1
1096	    1
1105	    1
1106	    1
1114	    1
1122	    1
1131	    1
1148	    1
1152	    1
1160	    1
1163	    1
1166	    1
1167	    1
1168	    1
1176	    1
1179	    1
1192	    1
1206	    1
1215	    1
1218	    1
1222	    1
1236	    1
1238	    1
1267	    1
1381	    1
1397	    1
1440	    1
1490	    1
1542	    1
1582	    1
1676	    1
1716	    1
2275	    1
2517	    1
5571	    1
