Name	Count
Total count: 	22831
2	3096
4	2499
8	1143
3	 907
6	 861
16	 326
7	 320
5	 291
1	 279
10	 277
12	 272
32	 232
15	 231
11	 189
24	 189
14	 172
20	 168
31	 157
9	 154
18	 151
19	 129
23	 124
22	 123
13	 118
30	 116
26	 115
28	 111
39	 110
36	 109
48	 109
17	 105
35	 103
25	  96
21	  94
27	  93
34	  92
62	  92
46	  91
29	  90
40	  89
64	  84
47	  83
63	  83
42	  81
44	  76
33	  74
38	  74
54	  72
95	  71
41	  69
43	  69
52	  68
51	  66
60	  65
58	  64
37	  63
56	  63
55	  59
80	  57
84	  57
79	  56
72	  55
45	  53
50	  53
105	  52
112	  52
61	  52
71	  52
76	  51
102	  50
120	  50
110	  49
78	  49
93	  49
104	  48
53	  48
66	  48
68	  48
92	  48
59	  47
99	  47
88	  46
128	  45
118	  44
100	  43
111	  43
49	  43
74	  43
103	  42
127	  42
132	  41
139	  40
57	  40
77	  40
94	  40
98	  40
144	  39
151	  39
86	  39
124	  38
148	  38
160	  38
179	  38
87	  38
65	  37
83	  37
143	  36
109	  35
114	  35
126	  35
67	  35
73	  35
106	  34
116	  34
158	  34
159	  34
75	  34
82	  34
90	  34
91	  34
147	  33
163	  33
192	  33
85	  33
96	  33
107	  32
108	  32
134	  32
141	  32
89	  32
70	  31
130	  30
156	  30
117	  29
119	  29
125	  29
135	  29
204	  29
69	  29
122	  28
136	  28
142	  28
194	  28
81	  28
101	  27
115	  27
137	  27
146	  27
180	  27
198	  27
97	  27
113	  26
140	  26
175	  26
176	  26
155	  25
171	  25
174	  25
178	  25
187	  25
121	  24
150	  24
152	  24
166	  24
177	  24
191	  24
218	  24
123	  23
189	  23
196	  23
200	  23
145	  22
157	  22
162	  22
167	  22
168	  22
172	  22
184	  22
582	  22
131	  21
185	  21
199	  21
202	  21
208	  21
210	  21
212	  21
252	  21
271	  21
129	  20
138	  20
213	  20
214	  20
224	  20
235	  20
240	  20
154	  19
164	  19
165	  19
173	  19
190	  19
220	  19
188	  18
216	  18
274	  18
288	  18
133	  17
153	  17
183	  17
186	  17
193	  17
225	  17
241	  17
254	  17
256	  17
263	  17
564	  17
149	  16
169	  16
197	  16
219	  16
230	  16
236	  16
244	  16
278	  16
161	  15
170	  15
203	  15
206	  15
226	  15
227	  15
249	  15
250	  15
251	  15
260	  15
270	  15
280	  15
332	  15
181	  14
207	  14
211	  14
217	  14
221	  14
222	  14
228	  14
239	  14
268	  14
238	  13
242	  13
245	  13
246	  13
264	  13
266	  13
294	  13
318	  13
322	  13
384	  13
195	  12
205	  12
223	  12
237	  12
