Name	Count
Total count (na.rm TRUE): 	71301
0	67686
8	  659
4	  471
7	  341
6	  338
5	  177
10	  151
12	  139
9	  132
11	  125
16	  122
3	  119
14	  107
15	   79
2	   77
13	   48
24	   45
18	   42
20	   37
32	   29
22	   25
17	   19
19	   18
28	   18
26	   16
23	   15
30	   15
31	   15
27	   14
34	   14
21	   12
25	   12
40	   12
29	    8
42	    8
36	    6
49	    6
54	    6
35	    5
39	    5
47	    5
80	    5
37	    4
60	    4
71	    4
33	    3
38	    3
43	    3
44	    3
46	    3
48	    3
50	    3
55	    3
57	    3
59	    3
63	    3
64	    3
86	    3
1	    2
41	    2
45	    2
52	    2
53	    2
68	    2
74	    2
75	    2
88	    2
89	    2
105	    2
115	    2
131	    2
134	    2
146	    2
153	    2
56	    1
58	    1
61	    1
62	    1
65	    1
70	    1
72	    1
78	    1
79	    1
81	    1
83	    1
85	    1
87	    1
91	    1
92	    1
94	    1
104	    1
106	    1
107	    1
108	    1
114	    1
119	    1
120	    1
125	    1
137	    1
139	    1
143	    1
147	    1
150	    1
160	    1
173	    1
190	    1
272	    1
288	    1
350	    1
