Name	Count
Total count (na.rm TRUE): 	71299
0	36058
2	 1887
16	 1808
8	 1439
4	 1024
32	 1024
24	  918
12	  796
15	  683
20	  582
14	  533
48	  496
40	  454
31	  450
36	  429
10	  419
64	  410
23	  402
6	  399
22	  396
30	  373
7	  371
28	  354
18	  332
11	  305
19	  280
26	  257
39	  256
29	  245
96	  242
47	  233
52	  233
34	  232
80	  229
27	  227
21	  224
35	  224
56	  222
13	  218
38	  217
44	  217
46	  208
72	  193
60	  189
42	  179
63	  176
25	  170
54	  160
62	  157
17	  156
45	  153
37	  151
43	  150
55	  148
68	  147
50	  146
128	  143
112	  142
51	  134
3	  132
95	  132
100	  129
59	  126
104	  125
160	  124
41	  121
70	  121
76	  121
33	  120
84	  120
88	  114
9	  112
78	  112
92	  110
120	  110
66	  109
132	  108
58	  107
79	  106
61	  100
83	   97
108	   97
124	   97
74	   96
94	   96
144	   96
136	   94
75	   93
87	   93
111	   92
67	   91
102	   89
110	   88
86	   86
71	   84
82	   84
90	   83
49	   82
103	   81
119	   80
5	   77
53	   77
98	   77
143	   77
116	   76
152	   74
176	   74
57	   73
192	   73
114	   72
126	   72
77	   70
69	   68
81	   67
180	   67
91	   66
127	   66
106	   63
134	   62
156	   62
118	   61
109	   60
168	   60
93	   59
107	   59
117	   59
164	   58
99	   57
101	   57
122	   57
148	   57
150	   56
85	   55
123	   55
115	   54
140	   54
154	   54
200	   54
224	   54
130	   53
184	   52
73	   50
135	   50
65	   49
138	   48
89	   47
172	   47
125	   46
105	   45
159	   45
163	   45
131	   44
97	   43
139	   43
166	   43
167	   43
216	   42
151	   41
173	   41
175	   41
162	   40
208	   40
204	   39
158	   38
256	   38
121	   37
142	   37
188	   37
196	   37
212	   37
113	   36
178	   36
141	   35
146	   35
157	   34
182	   34
155	   33
147	   32
170	   32
174	   32
190	   32
198	   32
169	   31
183	   31
187	   31
129	   30
186	   30
202	   30
232	   30
137	   29
280	   29
133	   28
171	   28
179	   28
264	   28
288	   28
206	   27
210	   27
222	   27
248	   27
149	   26
195	   26
203	   26
220	   26
228	   26
276	   26
215	   25
230	   25
240	   25
161	   24
214	   24
218	   24
227	   24
239	   24
320	   24
153	   23
194	   23
207	   23
254	   23
272	   23
165	   22
177	   22
191	   22
213	   22
226	   22
252	   22
145	   21
193	   21
260	   21
268	   21
368	   21
1	   20
294	   20
384	   20
270	   19
296	   19
181	   18
185	   18
189	   18
197	   18
199	   18
221	   18
223	   18
238	   18
244	   18
258	   18
259	   18
225	   17
242	   17
274	   17
292	   17
336	   17
219	   16
245	   16
247	   16
250	   16
251	   16
278	   16
312	   16
324	   16
348	   16
205	   15
229	   15
237	   15
243	   15
287	   15
303	   15
304	   15
315	   15
318	   15
322	   15
209	   14
246	   14
282	   14
286	   14
300	   14
308	   14
328	   14
338	   14
344	   14
201	   13
231	   13
234	   13
235	   13
236	   13
281	   13
290	   13
327	   13
352	   13
356	   13
416	   13
211	   12
253	   12
263	   12
269	   12
275	   12
298	   12
301	   12
306	   12
364	   12
217	   11
241	   11
249	   11
266	   11
271	   11
295	   11
311	   11
366	   11
233	   10
255	   10
265	   10
279	   10
293	   10
302	   10
332	   10
340	   10
346	   10
349	   10
380	   10
392	   10
400	   10
273	    9
284	    9
307	    9
323	    9
343	    9
360	    9
370	    9
383	    9
472	    9
261	    8
262	    8
289	    8
299	    8
319	    8
334	    8
335	    8
342	    8
350	    8
354	    8
358	    8
382	    8
386	    8
390	    8
408	    8
438	    8
448	    8
455	    8
480	    8
277	    7
283	    7
316	    7
321	    7
325	    7
326	    7
329	    7
339	    7
347	    7
359	    7
372	    7
376	    7
387	    7
412	    7
426	    7
432	    7
436	    7
450	    7
468	    7
500	    7
568	    7
257	    6
305	    6
310	    6
313	    6
314	    6
330	    6
331	    6
333	    6
357	    6
367	    6
378	    6
394	    6
417	    6
418	    6
445	    6
447	    6
452	    6
496	    6
503	    6
509	    6
510	    6
532	    6
544	    6
267	    5
285	    5
317	    5
351	    5
363	    5
371	    5
374	    5
395	    5
406	    5
420	    5
422	    5
427	    5
434	    5
440	    5
442	    5
444	    5
456	    5
464	    5
476	    5
482	    5
490	    5
516	    5
552	    5
576	    5
594	    5
848	    5
291	    4
297	    4
309	    4
337	    4
353	    4
393	    4
403	    4
405	    4
411	    4
414	    4
423	    4
428	    4
429	    4
435	    4
446	    4
462	    4
469	    4
478	    4
491	    4
518	    4
520	    4
536	    4
578	    4
587	    4
591	    4
599	    4
600	    4
616	    4
720	    4
756	    4
907	    4
976	    4
341	    3
355	    3
377	    3
379	    3
391	    3
397	    3
399	    3
402	    3
409	    3
410	    3
415	    3
431	    3
437	    3
439	    3
443	    3
451	    3
463	    3
470	    3
474	    3
488	    3
495	    3
505	    3
508	    3
512	    3
528	    3
535	    3
548	    3
569	    3
572	    3
580	    3
588	    3
592	    3
596	    3
608	    3
610	    3
632	    3
633	    3
644	    3
672	    3
712	    3
714	    3
768	    3
772	    3
813	    3
920	    3
1033	    3
345	    2
361	    2
365	    2
369	    2
375	    2
381	    2
388	    2
389	    2
396	    2
398	    2
404	    2
413	    2
424	    2
430	    2
433	    2
454	    2
458	    2
459	    2
460	    2
461	    2
465	    2
467	    2
471	    2
473	    2
481	    2
486	    2
499	    2
504	    2
506	    2
507	    2
511	    2
514	    2
515	    2
522	    2
524	    2
534	    2
539	    2
540	    2
541	    2
542	    2
543	    2
546	    2
560	    2
574	    2
582	    2
589	    2
598	    2
602	    2
612	    2
615	    2
617	    2
618	    2
619	    2
620	    2
623	    2
624	    2
628	    2
636	    2
639	    2
640	    2
660	    2
663	    2
669	    2
680	    2
684	    2
685	    2
692	    2
694	    2
701	    2
702	    2
704	    2
748	    2
750	    2
760	    2
777	    2
784	    2
792	    2
797	    2
806	    2
832	    2
845	    2
864	    2
880	    2
902	    2
912	    2
913	    2
924	    2
968	    2
973	    2
994	    2
1050	    2
1434	    2
362	    1
373	    1
385	    1
407	    1
419	    1
425	    1
441	    1
449	    1
453	    1
457	    1
475	    1
477	    1
479	    1
484	    1
485	    1
487	    1
489	    1
492	    1
493	    1
494	    1
497	    1
498	    1
501	    1
521	    1
523	    1
525	    1
526	    1
527	    1
529	    1
530	    1
533	    1
537	    1
538	    1
545	    1
550	    1
551	    1
555	    1
557	    1
558	    1
559	    1
561	    1
562	    1
563	    1
564	    1
565	    1
570	    1
571	    1
575	    1
577	    1
581	    1
583	    1
584	    1
585	    1
595	    1
604	    1
621	    1
626	    1
629	    1
635	    1
637	    1
642	    1
643	    1
647	    1
648	    1
651	    1
652	    1
656	    1
661	    1
662	    1
667	    1
668	    1
675	    1
676	    1
678	    1
683	    1
688	    1
691	    1
700	    1
703	    1
709	    1
713	    1
716	    1
717	    1
719	    1
722	    1
723	    1
733	    1
738	    1
740	    1
744	    1
745	    1
749	    1
752	    1
759	    1
763	    1
766	    1
767	    1
769	    1
774	    1
775	    1
779	    1
785	    1
786	    1
789	    1
793	    1
795	    1
796	    1
801	    1
803	    1
808	    1
811	    1
815	    1
816	    1
820	    1
829	    1
830	    1
835	    1
839	    1
844	    1
851	    1
867	    1
870	    1
887	    1
888	    1
889	    1
891	    1
895	    1
897	    1
899	    1
901	    1
903	    1
905	    1
906	    1
908	    1
911	    1
916	    1
922	    1
940	    1
944	    1
945	    1
948	    1
949	    1
958	    1
959	    1
960	    1
981	    1
982	    1
986	    1
1000	    1
1011	    1
1013	    1
1015	    1
1027	    1
1047	    1
1048	    1
1055	    1
1069	    1
1075	    1
1080	    1
1089	    1
1106	    1
1114	    1
1123	    1
1129	    1
1130	    1
1174	    1
1176	    1
1186	    1
1206	    1
1230	    1
1235	    1
1237	    1
1247	    1
1250	    1
1253	    1
1261	    1
1271	    1
1298	    1
1320	    1
1339	    1
1361	    1
1374	    1
1419	    1
1440	    1
1457	    1
1504	    1
1560	    1
1620	    1
1714	    1
1772	    1
1876	    1
1898	    1
1908	    1
