Name	Count
Total count: 	n= 40579  ( 100 % non-NA values)
4	12071
2	 5062
6	 2566
17	 1776
38	 1732
3	 1620
10	 1531
8	 1525
65	 1222
18	  590
30	  568
23	  536
22	  455
24	  437
31	  433
19	  425
11	  407
5	  395
14	  341
29	  317
25	  268
16	  256
27	  246
350	  245
21	  223
32	  206
15	  196
84	  182
28	  168
1037	  156
1324	  141
54	  136
20	  130
1344	  123
89	  105
71	  105
12	  104
75	  101
79	   89
191	   83
162	   81
33	   79
1	   79
39	   71
77	   66
13	   66
125	   64
239	   62
166	   61
42	   59
26	   59
55	   57
35	   57
45	   55
256	   55
34	   54
40	   52
167	   52
47	   51
43	   51
9	   49
37	   47
87	   46
49	   46
95	   44
48	   41
7	   40
151	   40
123	   39
62	   38
36	   38
268	   37
64	   36
52	   36
81	   34
159	   34
111	   34
147	   33
496	   32
104	   31
103	   31
63	   30
51	   30
904	   28
131	   28
46	   27
50	   25
1348	   24
67	   23
441	   23
44	   23
60	   22
139	   21
86	   20
234	   20
416	   19
671	   18
582	   17
58	   17
157	   17
115	   17
564	   16
41	   15
56	   14
406	   14
88	   13
580	   13
235	   13
158	   13
72	   12
53	   12
70	   11
626	   11
576	   11
92	   10
74	   10
253	   10
127	   10
83	    9
73	    9
59	    9
262	    9
126	    9
93	    8
61	    8
341	    8
308	    8
148	    8
142	    8
68	    7
578	    7
336	    7
143	    7
80	    6
76	    6
66	    6
535	    6
534	    6
177	    6
108	    6
-Inf	    5
82	    5
78	    5
69	    5
657	    5
316	    5
312	    5
261	    5
252	    5
120	    5
117	    5
106	    5
102	    5
99	    4
57	    4
566	    4
532	    4
437	    4
393	    4
373	    4
344	    4
180	    4
1676	    4
152	    4
132	    4
128	    4
118	    4
94	    3
735	    3
677	    3
467	    3
432	    3
429	    3
389	    3
372	    3
335	    3
303	    3
274	    3
260	    3
250	    3
226	    3
225	    3
215	    3
194	    3
188	    3
187	    3
179	    3
161	    3
160	    3
155	    3
146	    3
122	    3
114	    3
98	    2
90	    2
664	    2
623	    2
591	    2
544	    2
542	    2
494	    2
459	    2
456	    2
448	    2
445	    2
438	    2
434	    2
398	    2
392	    2
376	    2
351	    2
346	    2
306	    2
302	    2
289	    2
287	    2
286	    2
280	    2
276	    2
265	    2
264	    2
258	    2
248	    2
247	    2
231	    2
224	    2
223	    2
217	    2
216	    2
205	    2
202	    2
196	    2
183	    2
176	    2
168	    2
156	    2
150	    2
141	    2
135	    2
129	    2
124	    2
1177	    2
112	    2
105	    2
100	    2
998	    1
977	    1
97	    1
96	    1
954	    1
943	    1
935	    1
91	    1
873	    1
872	    1
870	    1
866	    1
854	    1
85	    1
847	    1
814	    1
767	    1
766	    1
743	    1
741	    1
729	    1
710	    1
684	    1
683	    1
633	    1
631	    1
628	    1
625	    1
624	    1
619	    1
612	    1
601	    1
596	    1
594	    1
593	    1
568	    1
551	    1
531	    1
530	    1
527	    1
518	    1
517	    1
516	    1
510	    1
497	    1
490	    1
481	    1
464	    1
440	    1
439	    1
431	    1
430	    1
423	    1
422	    1
420	    1
419	    1
408	    1
400	    1
394	    1
390	    1
384	    1
371	    1
364	    1
362	    1
360	    1
348	    1
347	    1
338	    1
337	    1
332	    1
329	    1
327	    1
325	    1
323	    1
321	    1
315	    1
310	    1
305	    1
300	    1
295	    1
294	    1
292	    1
291	    1
290	    1
288	    1
284	    1
283	    1
281	    1
275	    1
271	    1
266	    1
263	    1
255	    1
254	    1
245	    1
244	    1
241	    1
240	    1
233	    1
230	    1
222	    1
221	    1
220	    1
212	    1
210	    1
208	    1
207	    1
206	    1
203	    1
201	    1
199	    1
198	    1
193	    1
192	    1
189	    1
186	    1
1853	    1
184	    1
181	    1
178	    1
174	    1
171	    1
170	    1
1654	    1
164	    1
163	    1
154	    1
153	    1
149	    1
145	    1
144	    1
140	    1
138	    1
137	    1
134	    1
133	    1
1264	    1
1261	    1
121	    1
119	    1
1176	    1
116	    1
113	    1
110	    1
109	    1
1031	    1
101	    1
