original	polished	Count
[4] s.	4	3948
16 s.	38	1705
[1] s.	17	1703
[8] s.	2	1619
[2] s.	10	1214
8 s.	65	1159
24 s.	4	852
15 s.	4	699
[16] s.	4	691
12 s.	4	659
[?] s.	4	613
[3] s.	30	531
20 s.	8	527
48 s.	6	476
14 s.	4	475
1 lehti (verso tyhjä)	23	443
40 s.	18	420
23 s.	2	406
36 s.	4	401
22 s.	22	363
30 s.	11	345
10 s.	6	342
28 s.	2	312
[12] s.	4	299
1 lehti	14	294
19 s.	6	283
29 s.	350	247
80 s.	24	239
96 s.	2	238
[24] s.	4	236
47 s.	6	233
26 s.	2	227
35 s.	4	225
[20] s.	6	215
34 s.	8	212
56 s.	31	208
44 s.	3	202
46 s.	2	201
6 s.	8	199
72 s.	25	187
[6] s.	4	184
63 s.	84	174
60 s.	29	171
42 s.	4	170
17 s.	1037	160
[48] s.	19	160
45 s.	4	149
55 s.	6	147
50 s.	1324	140
128 s.	3	139
[1] lehti	24	137
112 s.	5	136
3 s.	4	130
100 s.	1344	123
59 s.	27	123
41 s.	31	121
160 s.	6	120
84 s.	21	116
70 s.	3	115
132 s.	19	106
92 s.	8	105
[28] s.	28	105
120 s.	89	104
58 s.	4	103
108 s.	4	95
94 s.	3	94
74 s.	4	91
102 s.	5	84
71 s.	75	83
49 s.	3	82
[40] s.	2	82
110 s.	6	81
119 s.	191	78
82 s.	6	77
143 s.	162	77
15, [1] s.	19	77
116 s.	3	76
53 s.	4	76
176 s.	71	74
57 s.	18	74
152 s.	6	73
192 s.	4	73
98 s.	4	73
114 s.	3	71
126 s.	2	69
69 s.	4	69
[10] s.	4	62
[36] s.	3	62
31, [1] s.	4	61
134 s.	166	61
168 s.	239	60
117 s.	79	60
93 s.	77	57
99 s.	54	56
85 s.	256	55
[96] s.	10	55
[2], 12 s.	21	54
140 s.	22	53
224 s.	4	53
154 s.	4	53
184 s.	167	52
130 s.	8	52
123 s.	125	52
[8] s. (s. [8] tyhjä)	54	51
135 s.	2	50
[18] s.	2	50
[14] s.	5	49
65 s.	10	48
138 s.	6	47
89 s.	27	47
97 s.	33	42
[2], [1] 2-16 s.	87	42
[2], 18 s.	18	42
[22] s.	4	42
173 s.	4	41
175 s.	2	41
[4] s. (s. [2] tyhjä)	4	41
166 s.	4	39
256 s.	8	39
158 s.	3	37
[2], 10 s.	29	37
188 s.	4	36
[4], 16 s.	42	36
[4?] s.	268	36
7, [1] s.	2	35
178 s.	16	35
141 s.	123	35
182 s.	2	34
142 s.	4	34
157 s.	49	34
19, [1] s.	3	33
155 s.	81	33
[2], [1] 2-12 s.	29	33
[64] s.	16	33
190 s.	496	32
[8] s. (s. [2] tyhjä)	3	32
187 s.	20	31
[2], [1] 2-20 s.	4	31
[2], [1] 2-8 s.	95	31
[2], 8 s.	4	31
232 s.	8	30
169 s.	151	30
[2], 20 s.	16	30
186 s.	159	29
[2], 24 s.	32	29
39, [1] s.	65	29
[2], [1] 2-14 s.	11	29
171 s.	904	28
[108] s.	4	28
[7] s.	4	28
[4], 20 s.	10	28
[4], 12 s.	16	28
[2], 30 s.	4	27
23, [1] s.	6	27
[56] s.	3	27
95, [1] s.	17	27
[1-3] 4-16 s.	45	27
[1-2] 3-8 s.	15	27
276 s.	4	26
195 s.	3	26
206 s.	103	26
[44] s.	4	26
11, [1] s.	16	25
228 s.	131	25
230 s.	111	25
215 s.	6	25
47, [1] s.	104	25
214 s.	10	24
227 s.	1348	24
240 s.	4	23
320 s.	14	23
153 s.	441	23
218 s.	55	23
[1-3] 4-8 s.	4	23
[1-2] 3-16 s.	10	23
[2], 32 s.	2	22
207 s.	147	22
8  s.	65	22
[72] s.	3	22
[46] s.	3	22
145 s.	6	21
[2], 26 s.	2	21
[2] s., s. 17-32	29	20
1 s.	234	20
[30] s.	4	20
127, [1] s.	416	19
[2], 13, [1] s.	4	19
[30], 539, [13], 464 s.	20	19
[52] s.	3	19
[1-2] 3-12 s.	15	19
[16] s. (s. [2] tyhjä)	31	19
244 s.	79	18
225 s.	139	18
27, [1] s.	12	18
223 s.	8	18
189 s.	671	18
[1-3] 4-12 s.	25	18
[1-3] 4-32 s.	6	18
292 s.	15	17
242 s.	8	17
8 lehteä	6	17
[34] s.	4	17
238 s.	4	17
13, [1] s.	8	17
[2], [1] 2-22 s.	2	17
[2], [1] 2-18 s.	13	17
[4], 28 s.	2	17
Kollaatio avoin	12	17
[2], 46 s.	8	16
61, [1] s.	4	16
[4], 8 s.	28	16
[1-3] 4-24 s.	2	16
[1-3] 4-48 s.	4	16
[4], 32 s.	2	15
247 s.	157	15
[4], 44 s.	4	15
324 s.	2	15
303 s.	2	15
287 s.	4	15
[2], 15, [1] s.	2	15
4 s., 6 kuvaa	35	15
[32] s. (s. [32] tyhjä)	25	15
[4], 84 s.	26	15
246 s.	115	14
300 s.	4	14
278 s.	406	14
282 s.	1	14
[128] s.	8	14
209 s.	2	14
[1-3] 4-20 s.	65	14
[2], 19, [1] s.	39	14
[4], 23, [1] s.	8	14
105, [1] s.	10	14
30, [2] s.	67	13
344 s.	3	13
338 s.	6	13
[2] s., s. 9-16	2	13
327 s.	4	13
416 s.	40	13
[4], 15, [1] s.	4	13
[4], 48 s.	62	13
[5] s.	2	13
[20] s. (s. [20] tyhjä)	3	13
298 s.	29	12
119, [1] s.	37	12
77, [1] s.	4	12
87, [1] s.	3	12
[2], 11, [1] s.	17	12
111, [1] s.	6	12
143, [1] s.	235	12
[4], 36 s.	31	12
42, [1] s.	54	12
[4], 27, [1] s.	4	12
[8], 24 s.	3	12
306 s.	9	11
[4], 10 s.	6	11
[2], 34 s.	6	11
[11] s.	4	11
[4], 112 s.	2	11
8:o.	86	11
118, [1] s.	1	11
311 s.	10	11
[2], [1] 2-26 s.	2	11
[4], [1] 2-24 s.	10	11
[2], [1] 2-24 s.	29	11
[1-2] 3-24 s.	50	11
[4], 22 s.	43	11
[2], 38 s.	2	11
110, [1] s.	4	11
[4], 18 s.	8	10
[2], 48 s.	6	10
349 s.	125	10
[4], 180 s.	2	10
[2] s., s. 49-64	8	10
21, [1] s.	15	10
[1-5] 6-16 s.	25	10
[16] s. (s. [16] tyhjä)	8	10
[4], [1] 2-16 s.	2	10
[4], 11, [1] s.	23	10
93, [2] s.	62	10
[2], 21 s.	3	10
[8], 32 s.	6	10
[1] lehti (verso tyhjä)	4	10
[4], [1] 2-32 s.	37	10
[6], 18 s.	2	10
360 s.	8	9
6, [1] s.	3	9
[15] s.	15	9
17, [1] s.	2	9
4:o.	158	9
[4], 92 s.	64	9
323 s.	4	9
[2] s., s. 33-48	15	9
[2], 62 s.	15	9
[42] s.	8	9
307 s.	262	9
[120] s.	6	9
[4], 40 s.	38	9
[2], 50 s.	126	9
136, [1] s.	4	9
90, [1] s.	31	9
102, [2] s.	3	9
57, [1] s.	2	9
91, [1] s.	4	9
[1-2] 3-10 s.	23	9
[28], 539, [13], 464 s.	10	9
262 s.	45	8
408 s.	4	8
89, [1] s.	127	8
194, [1] s.	64	8
370 s.	4	8
[4], 51 s.	253	8
[12] s. (s. [12] tyhjä)	21	8
[2], 74 s.	6	8
335 s.	3	8
[4], 54 s.	4	8
157, [1] s.	4	8
[2], [1] 2-30 s.	22	8
[6], 26 s.	19	8
[4], 60 s.	28	8
[4], 103 s.	4	8
122, [1] s.	34	8
[2], 40 s.	4	8
[4], 194 s.	6	8
179, [1] s.	21	8
[2], 23 s.	19	8
106, [1] s.	63	8
69, [1] s.	341	8
139, [1] s.	9	8
9, [1] s.	8	8
[8], 23, [1] s.	4	8
[4], [1] 2-15 [16] s.	3	8
[2-?] s.	55	8
[54] s.	6	8
[1-2] 3-20 s.	32	8
[1-3] 4-64 s.	6	8
[1-2] 3-48 s.	3	8
[24], 540, [12], 468 s.	4	8
[4], 19, [1] s.	25	8
386 s.	47	7
450 s.	71	7
[19] s.	3	7
[2], 16, [2] s.	27	7
432 s.	23	7
[66] s.	24	7
43, [1] s.	4	7
378 s.	15	7
326 s.	3	7
[8] s. (s. [2] ja [8] tyhjät)	27	7
[2], [1] 2-15 [16] s.	21	7
[2], [1] 2-13 [14] s.	21	7
329 s.	18	7
321 s.	7	7
[82] s.	4	7
277 s.	51	7
[4], 64 s.	2	7
[2], [1] 2-34 s.	22	7
110, [2] s.	2	7
[1-3] 4-36 s.	4	7
[2], 21, [1] s.	60	7
[4], 116 s.	308	7
[4], 34 s.	2	7
[4], 86 s.	6	7
[6], 24 s.	39	7
14, [2] s.	2	7
[4], 26 s.	2	7
117, [1] s.	142	7
[1-3] 4-96 s.	71	7
[8?] s.	72	7
[6], 34 s.	3	7
[1-3] 4-26 s.	2	7
[1-3] 4-56 s.	6	7
[4] s. (s. [4] tyhjä) ; 4:o.	74	7
[4], [1] 2-28 s.	2	7
[34], 577, [15], 332 s.	7	7
[6], 16 s.	4	7
383 s.	16	6
310 s.	336	6
374 s.	2	6
452 s.	32	6
[1], 16 s.	10	6
[2], 29, [1] s.	30	6
26, [2] s.	4	6
[2], 118 s.	3	6
22, [2] s.	2	6
313 s.	4	6
[2], 116 s.	3	6
333 s.	75	6
[6] s. (s. [2] tyhjä)	4	6
417 s.	2	6
[2], [1] 2-17 [18] s.	4	6
[2], [1] 2-23 [24] s.	6	6
357 s.	2	6
[4], 214 s.	2	6
[1-3] 4-34 s.	5	6
11 s., 4 s. kuvia	32	6
[1-3] 4-31 [32] s. (s. [32] tyhjä)	10	6
[1-3] 4-10 s.	11	6
[2], [1] 2-21 [22] s.	3	6
[2] s., s. 33-40	6	6
[2] s., s. 25-32	32	6
[2], 31, [1] s.	27	6
[4], 82 s.	3	6
214, [1] s.	2	6
[8], 192 s.	51	6
[2], 52 s.	22	6
120, [1] s.	5	6
[6], 50 s.	47	6
271, [1] s.	27	6
107, [1] s.	2	6
61, [3] s.	17	6
[2 s.].	2	6
[4], 21, [3] s.	12	6
[8], 30, [2] s.	52	6
[20] s. (s. [2] tyhjä)	31	6
[36] s. (s. [36] tyhjä)	4	6
[1] 2-12 s.	31	6
[1-3] 4-11 [12] s. (s. [12] tyhjä)	4	6
[8], 22, [2] s.	40	6
[28] s. (s. [28] tyhjä)	6	6
[4], [1] 2-36 s.	23	6
[24] s. (s. [24] tyhjä)	4	6
[6], [1] 2-24 s.	4	6
[6] s. (s. [6] tyhjä)	3	6
[68] s.	108	6
[1] lehti (verso tyhjä?)	4	6
[42], [1] 2-103 [104-114] s.	5	6
[1-2] 3-176 [177-180] s.	2	6
444 s.	12	5
576 s.	43	5
6  s.	8	5
134, [1] s.	4	5
285 s.	75	5
476 s.	5	5
[2] s., s. 81-96	38	5
422 s.	6	5
[144] s.	4	5
418 s.	10	5
427 s.	14	5
848 s.	52	5
[2], 192 s.	88	5
[4], [1] 2-40 s.	43	5
[1-5] 6-40 s.	10	5
[1-5] 6-36 s.	84	5
[1-3] 4-18 s.	4	5
[4], 105 s.	52	5
[6], 66 s.	88	5
[1-3] 4-78 s.	12	5
[4], [1] 2-18 s.	4	5
[2], [1] 2-32 s.	18	5
[2] s., s. 41-48	20	5
[1-3] 4-14 s.	34	5
[4], 115 s.	63	5
[2], 112 s.	4	5
VIII, 162 s.	31	5
73, [1] s.	4	5
[4], 30 s.	13	5
[2], 27 s.	4	5
125, [2] s.	92	5
[6], 32 s.	23	5
33, [1] s.	657	5
[4], 240 s.	10	5
[10 s.]	535	5
[4], 185 s.	2	5
67, [1] s.	6	5
[12 s.].	6	5
116, [1] s.	2	5
[88] s.	32	5
131, [1] s.	4	5
[8], 51, [5] s.	48	5
[4], 26, [2] s.	13	5
[12] s. (s. [2] tyhjä)	3	5
[4], [1] 2-12 s.	32	5
[6], 20, [2] s.	15	5
[8], 20, [4] s.	6	5
[16?] s.	4	5
[8], 27, [1] s.	19	5
[6], 16, [2] s.	4	5
[1-3] 4-23 [24] s. (s. [24] tyhjä)	37	5
[8], 35, [1] s.	39	5
[1-2] 3-28 s.	86	5
[1-2] 3-18 s.	62	5
[8], 36, [4] s.	27	5
16, [2] s.	37	4
536 s.	64	4
[1], 25 s.	8	4
591 s.	312	4
158, [2] s.	10	4
113, [2] s.	4	4
VIII, 406 s.	10	4
464 s.	32	4
187, [1] s.	2	4
99, [3] s.	582	4
19, [2] s.	2	4
12, [1] s.	2	4
[4], 141 s.	2	4
[31] s.	2	4
[12] kuvalehteä	106	4
496 s.	3	4
[152] s.	6	4
478 s.	48	4
462 s.	61	4
756 s.	3	4
[4], [1] 2-10 s.	15	4
[2], [1] 2-194 s.	4	4
48, [4] s.	34	4
[2] s., s. 21-40	16	4
[2] s., s. 65-80	8	4
291 s.	40	4
[8], 56 s.	2	4
[76] s.	26	4
[100] s.	4	4
[55] s.	3	4
309 s.	20	4
469 s.	29	4
520 s.	64	4
[1-3] 4-22 s.	80	4
[1-3] 4-38 [39-40] s. (s. [39-40] tyhjät)	13	4
[9] s.	4	4
24 lehteä	2	4
S. 1-192.	3	4
403 s.	4	4
[1-3] 4-100 s.	2	4
[1-3] 4-72 s.	4	4
[1-3] 4-60 s.	4	4
[1-9], 10-193 [194-200] s.	46	4
[2], 9, [1] s.	2	4
[2] s., s. 13-24	16	4
[2], 6 s.	38	4
[8], 144 s.	2	4
[4], 71 s.	2	4
[8], 232 s.	27	4
[2], 95 s.	39	4
[6], 70 s.	15	4
84, [2] s.	6	4
[6], 48 s.	4	4
[4], 46 s.	143	4
[4], 236 s.	2	4
[6], 134 s.	12	4
[2], 213 s.	47	4
24 s., 1 kuvaliite	34	4
[4], 184 s.	534	4
[8], 147 s.	532	4
99, [2] s.	2	4
[4], 6 s.	16	4
[2], 78 s.	4	4
[4], 50 s.	8	4
97, [2] s.	2	4
146, [1] s.	2	4
25, [1] s.	49	4
13, [2] s.	3	4
199, [1] s.	2	4
12, [2] s.	18	4
[8], 40 s.	73	4
155, [1] s.	15	4
227, [1] s.	10	4
152, [1] s.	117	4
24, [1] s.	75	4
72, [2] s.	70	4
[112] s.	2	4
[62] s.	2	4
[6], 33, [1] s.	20	4
[8], 31, [1] s.	23	4
[1-5] 6-20 s.	55	4
1 lehti; verso tyhjä	1676	4
[4] s	373	4
[8] s	2	4
[1-3] 4-112 s.	4	4
[1] 2-8 s.	4	4
[40] s. (s. [40] tyhjä)	3	4
[1-3] 4-28 s.	3	4
[4], 22, [2] s.	2	4
[2], [1] 2-46 s.	52	4
[4], 21, [1] s.	2	4
[14-?] s.	13	4
[4], 42, [2] s.	4	4
[4], [1] 2-52 s.	19	4
[6], 20 s.	43	4
[6], [1] 2-26 s.	6	4
[6], 23, [1] s.	19	4
[24] s. (s. [2] tyhjä)	31	4
[84] s.	58	4
[4], [1] 2-22 s.	6	4
[6], [1] 2-34 s.	56	4
[6], [1] 2-20 s.	23	4
[4], [1] 2-44 s.	58	4
[1-2] 3-32 s.	3	4
[1-2] 3-84 s.	4	4
[8], 40, [4] s.	2	4
[8], 44, [4] s.	4	4
[8], 48, [4] s.	4	4
[8], [1] 2-52 s.	4	4
[4] s. (s. [2] ja [4] tyhjät)	20	4
[4], [1] 2-29 [30-32] s.	47	4
[1-3] 4-31 [32] s.	6	4
[2], [1] 2-17 [18] s. (s. [18] tyhjä)	6	4
[4], [1] 2-108 s.	28	4
[2], [1] 2-195 [196] s. (s. [196] tyhjä)	4	4
[1-3] 4-11 [12] s.	39	4
IV, 12 s.	13	3
[1], 14 s.	2	3
[2] s., s. 169-184	32	3
610 s.	2	3
572 s.	4	3
443 s.	15	3
379 s.	10	3
[1], 8 s.	3	3
[2], 71, [1] s.	15	3
1 kartasto (12 s., 32 kartta-aukeamaa)	26	3
[2], 68 s.	2	3
438, [1] s.	2	3
86, [2] s.	580	3
IV, 100 s.	2	3
IV, 108 s.	56	3
[6], 104 s.	2	3
77, [2] s.	8	3
616 s.	83	3
112 s., 2 lehteä kart.	274	3
53, [3] s.	13	3
[69] s.	39	3
377 s.	71	3
505 s.	2	3
528 s.	2	3
470 s.	2	3
[30] s. (s. [30] tyhjä)	6	3
[2] s., s. 21-38	8	3
[2] s., s. 97-112	10	3
[2], [1] 2-18  s.	13	3
[4], 48, [2] s.	33	3
[2], 168 s.	2	3
[74] s.	15	3
[103] s.	2	3
608 s.	437	3
[663] s.	2	3
[118] s.	3	3
[145] s.	2	3
[194] s.	23	3
[94] s.	63	3
588 s.	180	3
409 s.	47	3
[4], [1] 2-13 [14] s.	46	3
[2], [1] 2-42 s.	3	3
[4], [1] 2-38 s.	43	3
[1-3] 4-54 [55-56] s. (s. [55-56] tyhjät)	15	3
VIII, 143 s.	5	3
463 s.	4	3
S. 1-240.	32	3
435 s.	151	3
[1-3] 4-444 [445-464] s.	4	3
768 s.	12	3
153 s., kuva	5	3
[58] s.	18	3
[22] s. (s. [22] tyhjä)	3	3
[35] s.	4	3
[2] s., s. 23-30	3	3
[1-3] 4-110 [111-112] s.	8	3
[8], [1] 2-992 s.	3	3
644 s.	4	3
40 s., kartta	16	3
240 s., 3 kuvalehteä	155	3
[4], 224 s.	71	3
[2], [1] 2-116 [117-118] s.	2	3
[30], [1] 2-88 [89-108] s.	32	3
[1-3] 4-38 s.	25	3
[1-8] 9-95 [96] s. (s. [96] tyhjä)	6	3
[20], [1] 2-412 s.	15	3
[1-3] 4-47 [48] s. (s. [48] tyhjä)	8	3
[2] s., s. 13-20	36	3
[2] s., s. 89-104	6	3
[2], [1] 2-28 s.	22	3
[2], [1] 2-9 [10] s.	2	3
[4] s., s. 17-32	2	3
[2] s., s. 25-36	10	3
[2], [1] 2-11 [12] s. (s. [12] tyhjä)	35	3
[2], 39, [1] s.	4	3
[2] s., s. [17]-32	4	3
IV, 20 s.	2	3
[6], 14 s.	2	3
30  s.	11	3
[8], 308 s.	2	3
[4], 212 s.	79	3
[4], 191 s.	45	3
[4], 151 s.	2	3
[4], 302 s.	2	3
[4], 272 s.	33	3
38, [2] s.	3	3
50, [2] s.	29	3
3  s.	4	3
[2], 59 s.	55	3
341 s.	12	3
VIII, 288 s.	389	3
[4], 98 s.	2	3
[6], 92 s.	32	3
[2], 123 s.	4	3
238, [1] s.	4	3
[4], 256 s.	2	3
26 s., 1 tab.	52	3
fol.	9	3
[8], 134 s.	4	3
[2], 120 s.	3	3
41, [2] s.	4	3
VII, 244 s.	2	3
[16 s.].	1	3
[15 s.]	2	3
VII, 232 s.	43	3
285, [1] s.	4	3
[8], 27, [3] s.	66	3
[8], 34, [6] s.	3	3
[4], 23, [3] s.	33	3
[4], 32, [4] s.	15	3
[4] s., s. 289-304, [4] s.	159	3
[6], 49, [1] s.	2	3
[6], [1] 2-32 s.	2	3
[16-?] s.	344	3
[1-3] 4-19 [20] s.	3	3
[4], [1] 2-22 [23-24] s.	3	3
[1-3] 4-14 s. (s. [2] tyhjä)	4	3
[8], [1] 2-43 [44] s.	15	3
[4], 48, [4] s.	26	3
[8], 18, [2] s.	60	3
[8], 26, [2] s.	30	3
[8], [1] 2-22 [23-24] s.	7	3
[4], 24, [2] s.	2	3
[4], 31, [1] s.	15	3
[4], [1] 2-148 s.	6	3
[4], [1] 2-18 [19-20] s.	17	3
[8], [1] 2-38 [39-40] s.	2	3
[1-6] 7-24 s.	46	3
[8], [1] 2-28 s.	2	3
[8], [1] 2-27 [28] s.	4	3
S. [?], [65-96], [?]	2	3
[8], 39, [5] s.	34	3
[40] s. (s. [2] tyhjä)	2	3
[8], [1] 2-18 s.	26	3
[1-2] 3-40 s.	3	3
S. [?], [33-64], [?]	2	3
[8], 38, [2] s.	19	3
[8], 60 s.	23	3
[8], 16 s.	5	3
[4]	316	3
[68] s. (s. [68] tyhjä)	2	3
[1-3] 4-68 s.	3	3
[26], 540, [12], 468 s.	8	3
[8], 44 s.	45	3
[8], [1] 2-44 [45-48] s.	33	3
[8], 63, [1] s.	2	3
[8], [1] 2-36 s.	8	3
[43], [1] 2-103 [104-113] s.	42	3
[43], [1] 2-103 [104-113] s. (s. [113] tyhjä)	4	3
[6], [1] 2-207 [208-210] s.	36	3
[2], [1] 2-420 s.	11	3
[10], 29, [1] s.	33	3
[2], [1] 2-6 s.	25	3
[6], [1] 2-18 s.	3	3
[8], [1] 2-16 s.	20	3
[2], 27, [3] s.	4	3
[6], [1] 2-12 s.	24	3
S. [17]-32	24	3
[8], 34 s.	4	3
[1], 24 s.	2	2
750 s.	32	2
582 s.	18	2
430 s.	3	2
504 s.	9	2
381 s.	32	2
660 s.	29	2
806 s.	3	2
539 s.	161	2
[1], 17 s.	8	2
[1] s., s. 25-32	67	2
[1] s., s. 17-24	52	2
[1] s., s. 9-16	50	2
[1], 61 s.	346	2
[1], 104, [1] s.	3	2
[1], 28 s.	5	2
[3], 56 s.	2	2
XXXII, 98 s.	64	2
VII, 283 s.	35	2
163, [2] s.	8	2
VI, 163 s.	152	2
[8], 48 s.	2	2
24 p., 24 leaves of plates	6	2
21, 12 s.	2	2
X, 114, 62 s.	4	2
IX, 246 s.	2	2
VIII, 336 s.	12	2
III, 37 s.	2	2
11, 11 s.	2	2
80, [4] s.	2	2
184, [4] s.	70	2
[7], 164 s.	35	2
32, [2] s.	335	2
589 s.	6	2
598 s.	3	2
VIII, 67 s.	276	2
[187] s.	2	2
124, [4] s.	4	2
[2], 85 s.	2	2
[14] s. (s. [14] tyhjä)	35	2
206, [1] s.	2	2
[23] s.	8	2
694 s.	42	2
IV, 180 s.	432	2
563 s.	45	2
557 s.	40	2
546 s.	151	2
[2], 72 s.	2	2
973 s.	4	2
702 s.	16	2
459 s.	2	2
[2], [1] 2-101 [102] s.	3	2
[2] s., s. [27] 28-44	4	2
[2] s., s. 41-56	111	2
[2], [1] 2-16  s.	87	2
[2] s., s. [29]-44	12	2
[2] s., s. 33-44	32	2
[IV], 159 s.	50	2
93 s., [3] ilmoitussivua	5	2
10 s., 10 pl.	2	2
467 s.	3	2
832 s.	32	2
542 s.	38	2
55, [3] s.	31	2
[220] s.	6	2
[121] s.	2	2
[51] s.	19	2
[364] s.	52	2
[133] s.	2	2
[161] s.	2	2
[512] s.	2	2
902 s.	6	2
[387] s.	2	2
389 s.	31	2
612 s.	4	2
[119] s.	2	2
[140] s.	8	2
777 s.	48	2
VI, 96 s.	3	2
IV, 136 s.	8	2
404 s.	4	2
620 s.	37	2
797 s.	16	2
48 s., kuva	64	2
160, [2] s.	2	2
541 s.	3	2
920 s.	34	2
968 s.	58	2
1050 s.	16	2
636 s.	735	2
S. 1-320.	2	2
481 s.	32	2
[1-3] 4-39 [40] s. (s. [40] tyhjä)	5	2
42 s., 2 karttaa	3	2
123, [5] s.	2	2
388 s.	677	2
369 s.	53	2
288 s., kuva	8	2
220 s., 32 kuval.	30	2
624 s.	3	2
628 s.	3	2
534 s.	3	2
VI, 126 s.	3	2
685 s.	8	2
92 s., kuva	4	2
294 s., kuva	32	2
