gatherings	physical_extent	estimated_pagecount	Count
Total count: 	1544		
NA	NA	61	671
4to	[?] s.	10	363
NA	[?] s.	61	148
8vo	[?] s.	54	 43
8vo	NA	54	 42
2fo	[?] s.	4	 24
1to	[?] s.	2	 20
12mo	Kollaatio avoin	68	 14
12mo	[?] s.	68	 13
12mo	NA	68	  7
4to	NA	10	  6
4to	[8] s. (s. [2] ja [8] tyhjät)	10	  6
2fo	NA	4	  4
NA	Plakat.	61	  3
4to	[4] s. (s. [2] ja [4] tyhjät)	10	  3
NA	1 diagrammi	61	  2
4to	1 nid.	10	  2
NA	1 l.	61	  2
4to	[8 kuval.]	10	  2
4to	15 kartblad i portfölj.	10	  2
NA	[?].	61	  2
4to	[20] s. (s. [2] ja [20] tyhjät)	10	  2
24mo	Kollaatio avoin	184	  2
8vo	A8 B4. [24] s.	54	  2
NA	[4] s. 2:o.	61	  2
NA	1298 s. useina jaksoina	61	  1
NA	2 profiilia yhdellä lehdellä	61	  1
NA	244 s. [1] karttalehti (taitettuna)	61	  1
NA	20 koteloa.	61	  1
8vo	34 osaa	54	  1
NA	1 mikrofilmirulla (296 s.)	61	  1
NA	4 vihkoa.	61	  1
NA	8 vihkoa.	61	  1
NA	14 nid.	61	  1
8vo	[161] s. useina jaksoina	54	  1
4to	28 s. [7] kuvataulua	10	  1
2fo	13 foliopalstaa	4	  1
NA	Hancock (Mich.)	61	  1
NA	2 delen.	61	  1
8vo	5 vol.	54	  1
8vo	2 vol.	54	  1
4to	[8] s. (s. [8] tyhjät	10	  1
8vo	[8] s. (s. [2] ja [8] tyhjät)	54	  1
2fo	[?] s., 12 planscher	4	  1
NA	1 sävelmäkokoelma (24 s.)	61	  1
NA	52 s. 16:o.	61	  1
12mo	2 osaa (121 s. ja kuva, 134 s. ja kuva)	68	  1
8vo	117 ja lisäys 39 s.	54	  1
4to	[15] s. neljässä jaksossa	10	  1
8vo	146 s. : kartt.	54	  1
4to	166 palsta	10	  1
4to	N. 500 s useina jaksoina	10	  1
8vo	1851: 26 n:roa à 16 s. - 1852 : samoin. - 1853: 26 n:roa à 8 s.	54	  1
NA	[n. 30 s.].	61	  1
NA	[?] s., à 6 kuvaa	61	  1
32mo	283 s. ja taulu	94	  1
2fo	9 lehteä tekstiä, 80 lehteä kuvia	4	  1
NA	4 s. ja 6 kuvaa	61	  1
8vo	71 s . ja kartta	54	  1
NA	16 s. ja tauluja.	61	  1
8vo	46 s ja taulu	54	  1
8vo	30 s. ja kuva	54	  1
12mo	1 osa (23 s.), 2 vihko (36 s.)	68	  1
NA	31 s. 8:o.	61	  1
NA	200 s. 8:o.	61	  1
NA	48 s. (1 vihko ja  2-3 yhteensä)	61	  1
NA	48 s. (1 vihko ja kaksoisvihko 2-3 yhteensä)	61	  1
4to	11 kuvas.	10	  1
4to	14 kuvas.	10	  1
NA	21 s. £c 12:o.	61	  1
4to	64 palstaa, kuva	10	  1
4to	30 palstaa [15 s.], kuva	10	  1
NA	? s.	61	  1
NA	à 4 s., kuva	61	  1
4to	764 palstaa [382 s.]	10	  1
4to	24 l.	10	  1
NA	160 spalter.	61	  1
NA	64 s. ja taulu.	61	  1
4to	S. V	10	  1
NA	Med filtrerpapper.	61	  1
2fo	1 tabell.	4	  1
NA	[?] s., väggtafla.	61	  1
NA	[Väggtafla, med illustrationer]	61	  1
NA	10 vyer	61	  1
NA	show 1 s., 8 tabb.	61	  1
NA	[Plakat].	61	  1
NA	7 planscher i kartong.	61	  1
8vo	11 pl., med text	54	  1
NA	[37] s. useina jaksoina	61	  1
NA	4 uppfordrade blad.	61	  1
NA	1 blad i omslag.	61	  1
4to	40 tekstisivua ja 100 taululiitettä	10	  1
NA	1 blad jämte 14 + 15 s. text i omslag.	61	  1
4to	[24 s.], kuvaliite	10	  1
4to	11 blad planscher	10	  1
NA	18 s. jämte jagtjournal och blad för anteckningar.	61	  1
2fo	[10] blad i kartong	4	  1
NA	16 s. : taul.	61	  1
NA	320 s. (10 n:roa)	61	  1
NA	1 mikrofilmirulla (132 s.)	61	  1
4to	[10 s.] 4b kuv.	10	  1
NA	12 n:roa eli [278] s.	61	  1
NA	Näytenumero, 4 n:roa eli [88] s.	61	  1
NA	12 n:roa eli 350 s.	61	  1
NA	8 nid. ([?] s.)	61	  1
NA	[3] s. ja 10 kuvasivua	61	  1
NA	[4 s.], taululiite	61	  1
NA	64 s. (à 16 s.)	61	  1
NA	58 x 84 cm. 5 taulua	61	  1
NA	taulukko.	61	  1
4to	12 planschblad	10	  1
4to	[1 s.], mallilehdet 255-300	10	  1
4to	[1 s.], mallilehdet 191-254	10	  1
4to	[1 s.], mallilehdet 127-190	10	  1
4to	[1 s.], mallilehdet 65-126	10	  1
NA	347 [1] s.	61	  1
NA	[35] s. useina jaksoina	61	  1
4to	[?]	10	  1
NA	128 s. (à 32 s.)	61	  1
NA	48 kuvalehteä ja 2 karttalehteä	61	  1
2fo	90 liitettä	4	  1
NA	17 l.	61	  1
4to	[6 s.], 21 eri taulukkoa	10	  1
NA	2 l.	61	  1
NA	16 l.	61	  1
2fo	[2 + 2 s.], 17 mallil.	4	  1
NA	640 palstaa.	61	  1
4to	(4) 73 s.	10	  1
2fo	24 l.	4	  1
4to	70 irtokuval. salkussa	10	  1
NA	[?:o]	61	  1
12mo	[?]	68	  1
4to	[8] s. (s. [2] ja [8] tyhjät	10	  1
8vo	[8] s. (s. [2] ja [8] tyhjät	54	  1
4to	[12] s. (s. [2] ja [12] tyhjät)	10	  1
8vo	4 l.	54	  1
4to	6 l.	10	  1
4to	[20] s. (s. [2] ja [4] tyhjät)	10	  1
4to	1[-?] lehteä	10	  1
4to	1[16] s.	10	  1
12mo	[312] l.	68	  1
16mo	[?] s.	48	  1
32mo	[?] s.	94	  1
4to	[16] s. (s. [2] ja [16] tyhjät)	10	  1
4to	Kollaatio avoin	10	  1
4to	36[-?] lehteä	10	  1
4to	2[-?] lehteä	10	  1
16mo	2[-?] lehteä	48	  1
4to	53 [54?] lehteä	10	  1
8vo	171[-?] lehteä	54	  1
12mo	[60] s. (s. [2] ja [60] tyhjät)	68	  1
4to	[34] s. (s. [2] ja [34] tyhjät)	10	  1
8vo	528 s. (s. 2 tyhjä)	54	  1
8vo	[176] s. (s. [2] ja [176] tyhjät)	54	  1
12mo	[72] s. (s. [2] ja [72] tyhjät)	68	  1
8vo	[64] s. (s. [2] ja [6] tyhjät)	54	  1
12mo	300 [56] s. (s. [2] tyhjä)	68	  1
8vo	[200] s. (s. [2] ja [16] tyhjät)	54	  1
8vo	[248] s. (s. [2], [246] tyhjät)	54	  1
16mo	[16 ...?] s.	48	  1
2fo	3 yhteenliimattua arkkia	4	  1
4to	[22] s. (s. [2] js [22] tyhjät)	10	  1
1to	[4] s. (s. [2] ja [4] tyhjät)	2	  1
2fo	[36] s. (s. [34] ja [36] tyhjät)	4	  1
2fo	[28] s. (s. [6] ja [28])	4	  1
4to	[28] s. (s. [2] ja [28] tyhjät)	10	  1
1to	1 arkintunnukseton lehti (verso tyhjä)	2	  1
2fo	[8] s. (s. [2] ja [4] tyhjät)	4	  1
2fo	[4] s. (s. [1] ja [4] tyhjät)	4	  1
12mo	30 a	68	  1
8vo	67 3/4 arkkia	54	  1
12mo	[40 a.]	68	  1
8vo	):(4. [8] s.	54	  1
8vo	)(4. [8] s.	54	  1
4to	)(4. [8] s.	10	  1
4to	)(4 2)(2. [12] s.	10	  1
2fo	[(] s.	4	  1
4to	A-C4. 12 numeroimatonta lehteä	10	  1
2fo	2 (alakkain asetettavaa) lehteä (versot tyhjät)	4	  1
1to	2 (alakkain asetettavaa) lehteä (versot tyhjät)	2	  1
NA	8 s. 8:o.	61	  1
2fo	[8] s. (s. 2 tyhjä)	4	  1
