Name	Count
Total count: 	n= 471  ( 100 % non-NA values)
1 piirrosliite.	75
1 kuvaliite.	72
1 taulukkoliite.	28
1 karttaliite.	27
liite.	25
2 kuvaliitettä.	11
4 kuvaliitettä.	 7
2 karttaliitettä.	 6
1 kartta.	 5
taululiite.	 4
liite (4 s.)	 4
liite (16 s.)	 4
karttaliite.	 4
3 kuvaliitettä.	 4
1 kuval.	 4
1 karttal.	 4
liite (45 s.)	 3
liite (38 s.)	 3
korjauslehti.	 3
karttal.	 3
5 kuvaliitettä.	 3
2 taulukkoliitettä.	 3
2 liitettä.	 3
2 kuparipiirrosliitettä.	 3
1 liite.	 3
1 korjausliuska.	 3
liite: 51 s., kartta.	 2
liite 39 s.	 2
liite (36 s.)	 2
liite (32 s.)	 2
liite (21 s.)	 2
liite (19 s.)	 2
kuvaliite.	 2
kuval.	 2
kuv.	 2
3 karttaliitettä.	 2
1 pirrosliite.	 2
1 kuva- ja karttaliite.	 2
1 karttaliite, 9 piirrosliitettä.	 2
tvär 4:o.	 1
(tuloskirja 15 s.)	 1
taulul.	 1
taulukkoliite.	 1
taulu.	 1
taitelehti.	 1
supplement (8 s.)	 1
sukutaululiite.	 1
stor folio.	 1
Sanakirja (57 s.)	 1
Psalttarin kanssa 587 s.	 1
priloženìe (123 s.), 1 kartta.	 1
Priloženìâ (190 s.)	 1
nuottiliite.	 1
Nimilehti ja esipuhe (14 s.)	 1
musikbilaga.	 1
muotok.	 1
lukujärjestys.	 1
lomakkeita.	 1
liitteitä.	 1
liitteet I-VI, 1-6.	 1
(liitteet 60 s.)	 1
liitteet.	 1
(liite: tuloskirja)	 1
liite (s. 177-209)	 1
Liite: Dag-bok, för gästgifwerie ; ... [12] s.	 1
liite (9 s.)	 1
liite (8 s.)	 1
liite (6 s.)	 1
liite (64 s.)	 1
liite (63 s.)	 1
liite ([4], 91 s.)	 1
liite (48 s.)	 1
liite (44 s.)	 1
liite (44,  [2] s., [3] kuval.)	 1
liite (44, [1] s.)	 1
liite (42 s.)	 1
liite ([4], 110 s.)	 1
liite (36 s., [1] kuvalehti taitettuna)	 1
liite 35 s.	 1
liite 32 s.	 1
liite (31 s., 22 pl.)	 1
liite (31 s.)	 1
liite ([2] s., 36 pl.)	 1
liite (28 s.)	 1
liite (25 s. ; 25 cm).	 1
liite (24 s. ; 24 cm).	 1
liite (23 s.)	 1
liite (23, 26 s.)	 1
liite (22 s.)	 1
liite (22 liitel.)	 1
liite (22, [7] s.)	 1
liite 21 s.	 1
liite 1 (XII, 377 s.), liite 2 (VII, 172 s., 30 kuvalehteä), liite 3 ([2], 238 s.), liite 4 ([2], 127 s.)	 1
liite (1 s.)	 1
liite 18 s.	 1
liite (17 s.)	 1
liite 179 s.	 1
liite 15 s.	 1
liite (139, [1] s.)	 1
liite (125 s.)	 1
liite (116 s.)	 1
liite (10 s.)	 1
liite 104 s.	 1
lehtijakokartta.	 1
kuvioliite.	 1
kuval., karttal.	 1
kuvaliite (viininpuristin)	 1
kartta.	 1
kartt.	 1
irtoliitt.	 1
folio.	 1
8:o.	 1
8 kuvaliitettä [n:ot 12-19, kuparipiirroksia].	 1
8 kuvaliitettä.	 1
7 s. taulukkoliitteitä.	 1
7 karttaliitettä.	 1
6 piirrosliitettä.	 1
6 liitettä.	 1
6 kuvaliitettä.	 1
6 karttaliitettä, 10 kuvaliitettä.	 1
5 taulukkoliitettä, 1 karttaliite.	 1
5 liitettä.	 1
4 taulukkoliitettä ([16] s.)	 1
4 taulukkoliitettä.	 1
4 taulua.	 1
4 liitelehteä.	 1
3 taulua.	 1
3 liitettä ([10] s.)	 1
3 liitettä.	 1
3 liitelehteä.	 1
3 kuvataulua.	 1
3 kuvaliitettä, 1 karttaliite.	 1
(38 s.)	 1
34 kuvaliitettä.	 1
2 tilastollista taululiitettä.	 1
2 taulukkoliitettä 3 kuvaliitettä.	 1
2 taulukkoliitettä, 1 piirrosliite.	 1
2 taulua.	 1
2 supplement (8, 9 s.)	 1
[2] liitettä.	 1
2 liitekuvaa.	 1
2 kuva-, 2 karttaliitettä.	 1
2 karttaliitettä, 6 taulukkoliitettä.	 1
2 karttaliitettä, 1 tekstiliite ([2] s.)	 1
2 irtol.	 1
27 s.	 1
22 kuvaliitettä.	 1
1 tekstiliite ([2] s.)	 1
1 taulukkoliite, 5 kuvaliitettä.	 1
1 taulukkoliite, 1 piirrosliite.	 1
[1 taulukkoliite].	 1
1 sanastoliite.	 1
[1] liitel.	 1
1 kuvaliite, 3 karttaliitettä.	 1
1 kuvaliite ([2], XXII s.), 1 nuottiliite ([8] s.)	 1
1 kuvaliite, 2 taulukkoliitettä.	 1
1 kuva- ja taulukkoliite ([4] s.]).	 1
1 karttaliite (kuparipiirros)	 1
1 kartbil.	 1
1 irtokartta.	 1
19 cm.	 1
17 piirrosliitettä.	 1
17 kuparipiirrosliitettä.	 1
16 muistiinpanolehteä.	 1
16 kuvataulua.	 1
16 irtonaista harjoituskaavaketta.	 1
12:o.	 1
12 liitekuvaa.	 1
11 kuvaliitettä.	 1
10 kaava-lehteä.	 1
