Name	Count
Total count: 	n= 8218  ( 100 % non-NA values)
kuv.	5175
kuv., kartt.	 763
kartt.	 517
vär.	 492
taul.	 222
nuott.	 203
kuv., taul.	 203
kaksivär.	  57
kuparipiirros, käsinvär.	  52
käsinvär.	  37
kuv., kartt., taul.	  34
käsinpiirros, vär.	  29
kuv. +	  24
ill.	  24
[kuv.].	  19
kuv., nuott.	  18
taul., kartt.	  17
kartt., taul.	  16
kartt., kuv.	  16
kuv., muotok.	  11
muotokuva	  10
kuparipiirros	  10
muotokuv.	   9
käsinpiirros	   9
kuv., taul., kartt.	   8
kuv., kartta.	   7
ill., map	   7
kuv., muotokuv.	   6
ill., map (fold.)	   6
muotok.	   5
kuparipiirros, väritetty	   5
kokonaan kuv.	   5
ilm.	   5
fol.	   5
1 kuva	   5
kuv., muotokuv., taul.	   4
kuv., kartt. +	   4
kuv	   4
kartta.	   4
ill., maps	   4
8:o.	   4
pääosin kuv.	   3
map	   3
kuv. kartt.	   3
karttal.	   3
ill. (some col.)	   3
taulu	   2
nuott. .	   2
muotokuva.	   2
maps	   2
map (fold.)	   2
kuv., karttal.	   2
kuv.,  kartt.	   2
[kuv.], kartt.	   2
kuvalehti	   2
kuv. ; 22 cm.	   2
kuv.?	   2
kartt. kuv.	   2
ilm., kuv., kartt.	   2
fig.	   2
8 kuvaa	   2
52 karttaa, vär.	   2
3 kuvaa	   2
32 karttaa, vär.	   2
24 karttaa, vär.	   2
1 kuvalehti	   2
12:o.	   2
viidellä kuvalla	   1
vär. kartt.	   1
Työmies kustannusyhtiö	   1
taulu.	   1
taulu +	   1
taul. ; 22 cm.	   1
taul. +	   1
tab. I-VIII, [IX-X]	   1
Prenttijuvvum K. E. Bark lut	   1
piirroskuv.	   1
pääasiassa kuvia	   1
pääasiassa kuv.	   1
nuott., muotok.	   1
nuottik.	   1
musikbilaga	   1
muotok. +	   1
maps, tables	   1
map (col., fold.)	   1
map (col.)	   1
kuv., vär. kartt., taul.	   1
kuv., vär.	   1
kuv., taulul.	   1
kuv., taul., nuott., muotok.	   1
kuv., taul., muotokuv., kartt.	   1
kuv., taul. ; 25 cm.	   1
kuv. ; taul.	   1
kuv., liitel.	   1
kuv., kuvaliit.	   1
kuv., kartt., vär.	   1
kuv., kartt., taul., muotokuv.	   1
kuv., kartt., muotokuv.	   1
kuv., kartt., muotok., taul., nuott.	   1
kuv., kartt., muotok.	   1
kuv., kartta	   1
kuv.., kartt.	   1
kuv. , kartt.	   1
kuv, kartt.	   1
[kuv., kartt.].	   1
kuv., diagram.	   1
kuvataul.	   1
kuvaliite.	   1
kuvalehti.	   1
kuval.	   1
kuv., [2] karttalehteä	   1
kuv., [1] karttalehti	   1
kuv., 1 karttal.	   1
kuv.,.	   1
kuparipiirros, vär.	   1
kartt. taul.	   1
kartt., nuott. +	   1
karttalehti.	   1
kartta	   1
karta.	   1
kart.	   1
ja kartta.	   1
ill., map (col.)	   1
ill., karta.	   1
folio.	   1
col. map	   1
9 karttaa	   1
8 lehteä kaavoja.	   1
8 kuvaa [kuparipiirrosta]	   1
8 karttaa, vär.	   1
7 leht. kuvia	   1
7 karttaa, vär.	   1
6 puupiirrosta	   1
6 karttaa, vär.	   1
68 puupiirroskuvaa	   1
60 kuvaa	   1
5 kuvalehteä	   1
4:o.	   1
4 kuval.	   1
4 kuvaa	   1
49 karttaa.	   1
43:lla kuvapiirroksella	   1
43 karttaa, vär.	   1
41 kuvaa, 1 kartt.	   1
41 kuvaa	   1
41 karttaa, vär.	   1
30 karttaa, vär.	   1
2 tab, 12 pl.	   1
2 tab.	   1
2 puupiirrosta	   1
2 pl.	   1
2 muotokuvaa	   1
2 kuvalehteä	   1
2 kuval.	   1
2 kuvaa.	   1
2 karttaa	   1
29 kuvaa	   1
29 cm.	   1
23 karttaa, vär.	   1
23 cm.	   1
22 cm.	   1
1 taulukko	   1
[1] kuvalehti, [11] kuvas., [1] karttalehti, [1] taulukkol. (taitettuna)	   1
[1] kuvalehti	   1
[1] karttas.	   1
[1] karttalehti taitettuna	   1
1 kartta	   1
18 cm.	   1
16:o.	   1
16 kuvilla kaunistettu pain.	   1
13 kuv.	   1
11 kuvaa [kuparipiirrosta]	   1
110 kuvaa	   1
